mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5		0	0	3/4	3	2	1/8	1/8	1		1	43	G2	2	13
1	1	0	0	0.5		0	0	3/4	2	2	1/8	1/8	1		1	55	G3	3	9
1	1	0	0	1.0		0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	6
1	1	0	0	1.0		0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	3
1	1	0	0	1.0		0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	1/2	0.5		1/8	1/8	3/4	3	2	1/8	1/8	1		6	42	F#2	2	14
1	1	1/2	1/2	0.5		1/8	1/8	3/4	2	2	1/8	1/8	1		6	54	F#3	3	10
1	1	1	1	1.0		1/4	1/4	3/4	3	2	1/4	1/4	1		4	40	E2	2	15
1	1	1	1	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	11
1	1	1	1	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	1	1	1	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	4
1	1	1	1	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	2	2	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		2	38	D2	2	16
1	1	2	2	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	12
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	8
1	1	2	2	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	2	2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	2	3	3	1.0		0	0	3/4	3	2	1/4	1/4	1		1	31	G1	1	26
2	2	3	3	1.0		0	0	3/4	2	2	1/4	1/4	1		1	43	G2	2	24
2	2	3	3	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	22
2	2	3	3	0.5		0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	19
2	2	3	3	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	17
2	2	7/2	7/2	0.5		1/8	1/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	20
2	2	4	4	2.0		1/4	1/4	3/4	3	2	1/2	1/2	1		0	36	C2	2	27
2	2	4	4	2.0		1/4	1/4	3/4	2	2	1/2	1/2	1		0	48	C3	3	25
2	2	4	4	2.0		1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	23
2	2	4	4	2.0		1/4	1/4	3/4	1	2	1/2	1/2	1		4	64	E4	4	21
2	2	4	4	2.0		1/4	1/4	3/4	1	1	1/2	1/2	1		1	67	G4	4	18
3	3	6	6	1.5		0	0	3/4	3	2	3/8	1/4	3/2		-1	41	F2	2	40
3	3	6	6	1.5		0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	37
3	3	6	6	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	34
3	3	6	6	1.0		0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	31
3	3	6	6	1.0		0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	28
3	3	7	7	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	35
3	3	7	7	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	32
3	3	7	7	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	29
3	3	15/2	15/2	0.5		3/8	3/8	3/4	3	2	1/8	1/8	1		4	40	E2	2	41
3	3	15/2	15/2	0.5		3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	38
3	3	8	8	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		2	38	D2	2	42
3	3	8	8	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	39
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	36
3	3	8	8	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	33
3	3	8	8	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	30
4	4	9	9	1.0		0	0	3/4	3	2	1/4	1/4	1		0	36	C2	2	53
4	4	9	9	1.0		0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	50
4	4	9	9	2.0		0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	47
4	4	9	9	2.0		0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	45
4	4	9	9	2.0		0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	43
4	4	10	10	1.0		1/4	1/4	3/4	3	2	1/4	1/4	1		4	40	E2	2	54
4	4	10	10	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	51
4	4	11	11	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		1	43	G2	2	55
4	4	11	11	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	52
4	4	11	11	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		2	62	D4	4	48
4	4	11	11	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	46
4	4	11	11	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	44
4	4	23/2	23/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	49
5	5	12	12	3.0		0	0	3/4	3	2	3/4	1/2	3/2		0	36	C2	2	60
5	5	12	12	3.0		0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	59
5	5	12	12	3.0		0	0	3/4	2	1	3/4	1/2	3/2		4	64	E4	4	58
5	5	12	12	3.0		0	0	3/4	1	2	3/4	1/2	3/2		1	67	G4	4	57
5	5	12	12	3.0		0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	56
6	6	15	15	1.0		0	0	3/4	3	2	1/4	1/4	1		1	43	G2	2	74
6	6	15	15	1.0		0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	70
6	6	15	15	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	67
6	6	15	15	1.0		0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	64
6	6	15	15	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	61
6	6	16	16	0.5		1/4	1/4	3/4	3	2	1/8	1/8	1		1	43	G2	2	75
6	6	16	16	0.5		1/4	1/4	3/4	2	2	1/8	1/8	1		1	55	G3	3	71
6	6	16	16	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	68
6	6	16	16	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		1	67	G4	4	65
6	6	16	16	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	62
6	6	33/2	33/2	0.5		3/8	3/8	3/4	3	2	1/8	1/8	1		6	42	F#2	2	76
6	6	33/2	33/2	0.5		3/8	3/8	3/4	2	2	1/8	1/8	1		6	54	F#3	3	72
6	6	17	17	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		4	40	E2	2	77
6	6	17	17	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	73
6	6	17	17	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	69
6	6	17	17	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	66
6	6	17	17	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	63
7	7	18	18	2.0		0	0	3/4	3	2	1/2	1/2	1		2	38	D2	2	86
7	7	18	18	2.0		0	0	3/4	2	2	1/2	1/2	1		2	50	D3	3	84
7	7	18	18	1.0		0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	82
7	7	18	18	1.0		0	0	3/4	1	2	1/4	1/4	1		6	66	F#4	4	80
7	7	18	18	1.0		0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	78
7	7	19	19	2.0		1/4	1/4	3/4	2	1	1/2	1/2	1		2	62	D4	4	83
7	7	19	19	2.0		1/4	1/4	3/4	1	2	1/2	1/2	1		6	66	F#4	4	81
7	7	19	19	2.0		1/4	1/4	3/4	1	1	1/2	1/2	1		3	69	A4	4	79
7	7	20	20	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		2	38	D2	2	87
7	7	20	20	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	85
8	8	21	21	1.0		0	0	3/4	3	2	1/4	1/4	1		1	43	G2	2	101
8	8	21	21	1.0		0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	98
8	8	21	21	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	95
8	8	21	21	1.0		0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	91
8	8	21	21	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	88
8	8	22	22	1.0		1/4	1/4	3/4	3	2	1/4	1/4	1		3	45	A2	2	102
8	8	22	22	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	96
8	8	22	22	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		3	57	A3	3	99
8	8	22	22	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		1	67	G4	4	92
8	8	22	22	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	89
8	8	23	23	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		5	47	B2	2	103
8	8	23	23	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		5	59	B3	3	100
8	8	23	23	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	97
8	8	23	23	0.5		1/2	1/2	3/4	1	2	1/8	1/8	1		6	66	F#4	4	93
8	8	23	23	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	90
8	8	47/2	47/2	0.5		5/8	5/8	3/4	1	2	1/8	1/8	1		1	67	G4	4	94
9	9	24	24	1.0		0	0	3/4	3	2	1/4	1/4	1		2	38	D2	2	118
9	9	24	24	1.0		0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	115
9	9	24	24	0.5		0	0	3/4	2	1	1/8	1/8	1		2	62	D4	4	111
9	9	24	24	1.0		0	0	3/4	1	2	1/4	1/4	1		3	69	A4	4	106
9	9	24	24	2.0		0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	104
9	9	49/2	49/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	112
9	9	25	25	1.0		1/4	1/4	3/4	3	2	1/4	1/4	1		1	43	G2	2	119
9	9	25	25	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	116
9	9	25	25	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	113
9	9	25	25	0.5		1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	G4	4	107
9	9	51/2	51/2	0.5		3/8	3/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	108
9	9	26	26	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		3	45	A2	2	120
9	9	26	26	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	114
9	9	26	26	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		3	57	A3	3	117
9	9	26	26	0.5		1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	G4	4	109
9	9	26	26	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	105
9	9	53/2	53/2	0.5		5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	110
10	10	27	27	3.0		0	0	3/4	3	2	3/4	1/2	3/2		2	38	D2	2	125
10	10	27	27	3.0		0	0	3/4	2	2	3/4	1/2	3/2		2	50	D3	3	124
10	10	27	27	3.0		0	0	3/4	2	1	3/4	1/2	3/2		3	57	A3	3	123
10	10	27	27	3.0		0	0	3/4	1	2	3/4	1/2	3/2		6	66	F#4	4	122
10	10	27	27	3.0		0	0	3/4	1	1	3/4	1/2	3/2		2	74	D5	5	121
11	11	30	30	1.0		0	0	3/4	3	2	1/4	1/4	1		2	38	D2	2	138
11	11	30	30	1.0		0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	135
11	11	30	30	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	132
11	11	30	30	1.0		0	0	3/4	1	2	1/4	1/4	1		6	66	F#4	4	129
11	11	30	30	1.0		0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	126
11	11	31	31	1.0		1/4	1/4	3/4	3	2	1/4	1/4	1		0	36	C2	2	139
11	11	31	31	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	136
11	11	31	31	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	133
11	11	31	31	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		6	66	F#4	4	130
11	11	31	31	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	127
11	11	32	32	1.0		1/2	1/2	3/4	3	2	1/4	1/4	1		5	35	B1	1	140
11	11	32	32	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		5	47	B2	2	137
11	11	32	32	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	134
11	11	32	32	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		8	68	G#4	4	131
11	11	32	32	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	128
12	12	33	33	1.0		0	0	3/4	3	2	1/4	1/4	1		3	33	A1	1	155
12	12	33	33	1.0		0	0	3/4	2	2	1/4	1/4	1		3	45	A2	2	152
12	12	33	33	1.0		0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	148
