mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		5	35	B1	1	4
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	1	1	1	0.5	0	0	4/4	3	2	1/8	1/8	1		0	36	C2	2	29
2	1	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		0	48	C3	3	23
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	17
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	11
2	1	1	1	0.5	0	0	4/4	1	1	1/8	1/8	1		1	67	G4	4	5
2	1	3/2	3/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		0	36	C2	2	30
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	24
2	1	3/2	3/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	6
2	1	2	2	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		1	31	G1	1	31
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	25
2	1	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	18
2	1	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	12
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	7
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	19
