mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
10	10	36	36	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		313
10	10	36	36	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		311
10	10	36	36	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		293
10	10	36	36	4.0		0	0	4/4	12	2	1		1	1		2	50	D3	3		310
10	10	36	36	3.0		0	0	4/4	9	1	3/4		1/2	3/2		2	62	D4	4		302
10	10	36	36	3.0		0	0	4/4	12	1	3/4		1/2	3/2		2	62	D4	4		308
10	10	36	36	2.0		0	0	4/4	8	2	1/2		1/2	1		1	67	G4	4		300
10	10	36	36	2.0		0	0	4/4	11	2	1/2		1/2	1		1	67	G4	4		306
10	10	36	36	1.0		0	0	4/4	1	2	1/4		1/4	1		3	69	A4	4		289
10	10	36	36	4.0		0	0	4/4	3	1	1		1	1		3	69	A4	4		295
10	10	36	36	4.0		0	0	4/4	4	1	1		1	1		3	69	A4	4		296
10	10	36	36	4.0		0	0	4/4	5	1	1		1	1		3	69	A4	4		297
10	10	36	36	4.0		0	0	4/4	6	1	1		1	1		3	69	A4	4		298
10	10	36	36	4.0		0	0	4/4	7	1	1		1	1		3	69	A4	4		299
10	10	36	36	4.0		0	0	4/4	10	1	1		1	1		3	69	A4	4		304
10	10	36	36	4.0		0	0	4/4	11	1	1		1	1		3	69	A4	4		305
10	10	36	36	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		281
10	10	73/2	73/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		282
10	10	37	37	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		290
10	10	37	37	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		283
10	10	75/2	75/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		0	72	C5	5		291
10	10	75/2	75/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		284
10	10	38	38	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	26	D1	1		314
10	10	38	38	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	38	D2	2		312
10	10	38	38	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		294
10	10	38	38	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		6	66	F#4	4		301
10	10	38	38	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		6	66	F#4	4		307
10	10	38	38	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		3	69	A4	4		292
10	10	38	38	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		2	74	D5	5		285
10	10	77/2	77/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		286
10	10	39	39	1.0		3/4	3/4	4/4	9	1	1/4		1/4	1		3	57	A3	3		303
10	10	39	39	1.0		3/4	3/4	4/4	12	1	1/4		1/4	1		3	57	A3	3		309
10	10	39	39	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		287
10	10	79/2	79/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		288
11	11	40	40	1.0		0	0	4/4	14	1	1/4		1/4	1		1	31	G1	1		339
11	11	40	40	1.0		0	0	4/4	2	1	1/4		1/4	1		1	43	G2	2		324
11	11	40	40	1.0		0	0	4/4	13	1	1/4		1/4	1		1	43	G2	2		337
11	11	40	40	4.0		0	0	4/4	12	2	1		1	1		1	43	G2	2		336
11	11	40	40	4.0		0	0	4/4	9	1	1		1	1		5	59	B3	3		331
11	11	40	40	4.0		0	0	4/4	12	1	1		1	1		5	59	B3	3		335
11	11	40	40	4.0		0	0	4/4	8	2	1		1	1		2	62	D4	4		330
11	11	40	40	4.0		0	0	4/4	11	2	1		1	1		2	62	D4	4		334
11	11	40	40	1.0		0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4		320
11	11	40	40	4.0		0	0	4/4	3	1	1		1	1		1	67	G4	4		325
11	11	40	40	4.0		0	0	4/4	4	1	1		1	1		1	67	G4	4		326
11	11	40	40	4.0		0	0	4/4	5	1	1		1	1		1	67	G4	4		327
11	11	40	40	4.0		0	0	4/4	6	1	1		1	1		1	67	G4	4		328
11	11	40	40	4.0		0	0	4/4	7	1	1		1	1		1	67	G4	4		329
11	11	40	40	4.0		0	0	4/4	10	1	1		1	1		1	67	G4	4		332
11	11	40	40	4.0		0	0	4/4	11	1	1		1	1		1	67	G4	4		333
11	11	40	40	1.0		0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4		315
11	11	41	41	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		321
11	11	41	41	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		316
11	11	83/2	83/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		322
11	11	83/2	83/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		317
11	11	42	42	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		5	35	B1	1		340
11	11	42	42	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		5	47	B2	2		338
11	11	42	42	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1	1	1	67	G4	4		323
11	11	42	42	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4		318
11	11	43	43	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		1	79	G5	5		319
12	12	44	44	1.0		0	0	4/4	14	1	1/4		1/4	1		0	36	C2	2		350
12	12	44	44	1.0		0	0	4/4	13	1	1/4		1/4	1		0	48	C3	3		348
12	12	44	44	4.0		0	0	4/4	1	2	1		1	1	0	1	67	G4	4		347
12	12	44	44	1.0		0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4		341
12	12	45	45	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		3	69	A4	4		342
12	12	91/2	91/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		1	67	G4	4		343
12	12	46	46	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		3	33	A1	1		351
12	12	46	46	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		3	45	A2	2		349
12	12	46	46	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	A4	4		344
12	12	47	47	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		345
12	12	95/2	95/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		346
13	13	48	48	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		367
13	13	48	48	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		365
13	13	48	48	4.0		0	0	4/4	1	2	1		1	1	-1	1	67	G4	4		360
13	13	48	48	0.5		0	0	4/4	1	1	1/8		1/8	1		5	71	B4	4		352
13	13	97/2	97/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		361
13	13	97/2	97/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		353
13	13	49	49	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		2	50	D3	3		362
13	13	49	49	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		354
13	13	99/2	99/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		363
13	13	99/2	99/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		355
13	13	50	50	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		5	35	B1	1		368
13	13	50	50	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		5	47	B2	2		366
13	13	50	50	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		364
13	13	50	50	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		5	71	B4	4		356
13	13	101/2	101/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		357
13	13	51	51	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		358
13	13	103/2	103/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		359
14	14	52	52	1.0		0	0	4/4	14	1	1/4		1/4	1		4	40	E2	2		393
14	14	52	52	1.0		0	0	4/4	2	1	1/4		1/4	1		1	43	G2	2		385
14	14	52	52	1.0		0	0	4/4	13	1	1/4		1/4	1		4	52	E3	3		389
14	14	52	52	1.0		0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4		377
14	14	52	52	1.0		0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4		369
14	14	53	53	1.0		1/4	1/4	4/4	14	1	1/4		1/4	1		0	36	C2	2		394
14	14	53	53	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		1	43	G2	2		386
14	14	53	53	1.0		1/4	1/4	4/4	13	1	1/4		1/4	1		0	48	C3	3		390
14	14	53	53	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		378
14	14	53	53	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		370
14	14	107/2	107/2	0.25		3/8	3/8	4/4	1	2	1/16		1/16	1		3	69	A4	4		379
14	14	107/2	107/2	0.25		3/8	3/8	4/4	1	1	1/16		1/16	1		0	72	C5	5		371
14	14	215/4	215/4	0.25		7/16	7/16	4/4	1	2	1/16		1/16	1		5	71	B4	4		380
14	14	215/4	215/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		2	74	D5	5		372
14	14	54	54	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	38	D2	2		395
14	14	54	54	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		2	50	D3	3		387
14	14	54	54	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	50	D3	3		391
14	14	54	54	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		3	69	A4	4		381
14	14	54	54	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		0	72	C5	5		373
14	14	109/2	109/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		382
14	14	109/2	109/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		374
14	14	55	55	1.0		3/4	3/4	4/4	14	1	1/4		1/4	1		2	26	D1	1		396
14	14	55	55	1.0		3/4	3/4	4/4	13	1	1/4		1/4	1		2	38	D2	2		392
14	14	55	55	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3		388
14	14	55	55	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		2	62	D4	4		383
14	14	55	55	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		3	69	A4	4		375
14	14	111/2	111/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		5	59	B3	3		384
14	14	111/2	111/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		1	67	G4	4		376
15	15		56	1.0	1	0	0	4/4	14	1	1/4		1/4	1		1	31	G1	1		429
15	15		56	1.0	1	0	0	4/4	13	1	1/4		1/4	1		1	43	G2	2		427
15	15		56	2.0	1	0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		413
15	15		56	0.5	1	0	0	4/4	1	2	1/8		1/8	1		5	59	B3	3		405
15	15		56	0.5	1	0	0	4/4	1	1	1/8		1/8	1		1	67	G4	4		397
15	15		113/2	0.5	1	1/8	1/8	4/4	1	2	1/8		1/8	1		1	55	G3	3		406
15	15		113/2	0.5	1	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	D4	4		398
15	15		57	0.5	1	1/4	1/4	4/4	1	2	1/8		1/8	1		5	59	B3	3		407
15	15		57	0.5	1	1/4	1/4	4/4	1	1	1/8		1/8	1		1	67	G4	4		399
15	15		115/2	0.5	1	3/8	3/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		408
15	15		115/2	0.5	1	3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		400
15	15		58	1.0	1	1/2	1/2	4/4	14	1	1/4		1/4	1		1	43	G2	2		430
15	15		58	2.0	1	1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		414
15	15		58	1.0	1	1/2	1/2	4/4	13	1	1/4		1/4	1		1	55	G3	3		428
15	15		58	2.0	1	1/2	1/2	4/4	12	2	1/2		1/2	1		1	55	G3	3		426
15	15		58	2.0	1	1/2	1/2	4/4	9	1	1/2		1/2	1		5	59	B3	3		421
15	15		58	2.0	1	1/2	1/2	4/4	12	1	1/2		1/2	1		5	59	B3	3		425
15	15		58	0.5	1	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4		409
15	15		58	2.0	1	1/2	1/2	4/4	8	2	1/2		1/2	1		1	67	G4	4		420
15	15		58	2.0	1	1/2	1/2	4/4	11	2	1/2		1/2	1		1	67	G4	4		424
15	15		58	0.5	1	1/2	1/2	4/4	1	1	1/8		1/8	1		5	71	B4	4		401
15	15		58	2.0	1	1/2	1/2	4/4	3	1	1/2		1/2	1		2	74	D5	5		415
15	15		58	2.0	1	1/2	1/2	4/4	4	1	1/2		1/2	1		2	74	D5	5		416
15	15		58	2.0	1	1/2	1/2	4/4	5	1	1/2		1/2	1		2	74	D5	5		417
15	15		58	2.0	1	1/2	1/2	4/4	6	1	1/2		1/2	1		2	74	D5	5		418
15	15		58	2.0	1	1/2	1/2	4/4	7	1	1/2		1/2	1		2	74	D5	5		419
15	15		58	2.0	1	1/2	1/2	4/4	10	1	1/2		1/2	1		2	74	D5	5		422
15	15		58	2.0	1	1/2	1/2	4/4	11	1	1/2		1/2	1		2	74	D5	5		423
15	15		117/2	0.5	1	5/8	5/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		410
15	15		117/2	0.5	1	5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		402
15	15		59	0.5	1	3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		411
15	15		59	0.5	1	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		403
15	15		119/2	0.5	1	7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		412
15	15		119/2	0.5	1	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		404
16	15	56	60	1.0	2	0	0	4/4	14	1	1/4		1/4	1		1	31	G1	1		450
16	15	56	60	1.0	2	0	0	4/4	2	1	1/4		1/4	1		1	43	G2	2		447
16	15	56	60	1.0	2	0	0	4/4	13	1	1/4		1/4	1		1	43	G2	2		448
16	15	56	60	0.5	2	0	0	4/4	1	2	1/8		1/8	1		5	59	B3	3		439
16	15	56	60	0.5	2	0	0	4/4	1	1	1/8		1/8	1		1	67	G4	4		431
16	15	113/2	121/2	0.5	2	1/8	1/8	4/4	1	2	1/8		1/8	1		1	55	G3	3		440
16	15	113/2	121/2	0.5	2	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	D4	4		432
16	15	57	61	0.5	2	1/4	1/4	4/4	1	2	1/8		1/8	1		5	59	B3	3		441
16	15	57	61	0.5	2	1/4	1/4	4/4	1	1	1/8		1/8	1		1	67	G4	4		433
16	15	115/2	123/2	0.5	2	3/8	3/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		442
16	15	115/2	123/2	0.5	2	3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		434
16	15	58	62	1.0	2	1/2	1/2	4/4	14	1	1/4		1/4	1		4	28	E1	1		451
16	15	58	62	1.0	2	1/2	1/2	4/4	13	1	1/4		1/4	1		4	40	E2	2		449
16	15	58	62	0.5	2	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4		443
16	15	58	62	0.5	2	1/2	1/2	4/4	1	1	1/8		1/8	1		5	71	B4	4		435
16	15	117/2	125/2	0.5	2	5/8	5/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		444
16	15	117/2	125/2	0.5	2	5/8	5/8	4/4	1	1	1/8		1/8	1		7	73	C#5	5		436
16	15	59	63	0.5	2	3/4	3/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		445
16	15	59	63	0.5	2	3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		437
16	15	119/2	127/2	0.5	2	7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		446
16	15	119/2	127/2	0.5	2	7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		438
17	16	60	64	1.0		0	0	4/4	14	1	1/4		1/4	1		2	26	D1	1		482
17	16	60	64	1.0		0	0	4/4	13	1	1/4		1/4	1		2	38	D2	2		480
17	16	60	64	1.5		0	0	4/4	1	2	3/8		1/4	3/2		3	69	A4	4		458
17	16	60	64	1.5		0	0	4/4	1	1	3/8		1/4	3/2		6	78	F#5	5		452
17	16	121/2	129/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		464
17	16	61	65	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		2	50	D3	3		465
17	16	123/2	131/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		466
17	16	123/2	131/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		5	71	B4	4		459
17	16	123/2	131/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		1	79	G5	5		453
17	16	62	66	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	38	D2	2		483
17	16	62	66	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	50	D3	3		481
17	16	62	66	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		467
17	16	62	66	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		2	50	D3	3		479
17	16	62	66	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		474
17	16	62	66	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		478
17	16	62	66	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		6	66	F#4	4		473
17	16	62	66	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		6	66	F#4	4		477
17	16	62	66	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		3	69	A4	4		460
17	16	62	66	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		3	69	A4	4		468
17	16	62	66	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		3	69	A4	4		469
17	16	62	66	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		3	69	A4	4		470
17	16	62	66	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		3	69	A4	4		471
17	16	62	66	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		3	69	A4	4		472
17	16	62	66	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		3	69	A4	4		475
17	16	62	66	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		3	69	A4	4		476
17	16	62	66	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		6	78	F#5	5		454
17	16	125/2	133/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		461
17	16	125/2	133/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		455
17	16	63	67	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4		462
17	16	63	67	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		456
17	16	127/2	135/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		463
17	16	127/2	135/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		457
18	17	64	68	1.0		0	0	4/4	14	1	1/4		1/4	1		2	26	D1	1		520
18	17	64	68	1.0		0	0	4/4	13	1	1/4		1/4	1		2	38	D2	2		518
18	17	64	68	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		492
18	17	64	68	2.0		0	0	4/4	12	2	1/2		1/2	1		2	50	D3	3		516
18	17	64	68	2.0		0	0	4/4	9	1	1/2		1/2	1		2	62	D4	4		506
18	17	64	68	2.0		0	0	4/4	12	1	1/2		1/2	1		2	62	D4	4		514
18	17	64	68	2.0		0	0	4/4	8	2	1/2		1/2	1		6	66	F#4	4		504
18	17	64	68	2.0		0	0	4/4	11	2	1/2		1/2	1		6	66	F#4	4		512
18	17	64	68	0.5		0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4		488
18	17	64	68	2.0		0	0	4/4	3	1	1/2		1/2	1		3	69	A4	4		494
18	17	64	68	2.0		0	0	4/4	4	1	1/2		1/2	1		3	69	A4	4		496
18	17	64	68	2.0		0	0	4/4	5	1	1/2		1/2	1		3	69	A4	4		498
18	17	64	68	2.0		0	0	4/4	6	1	1/2		1/2	1		3	69	A4	4		500
18	17	64	68	2.0		0	0	4/4	7	1	1/2		1/2	1		3	69	A4	4		502
18	17	64	68	2.0		0	0	4/4	10	1	1/2		1/2	1		3	69	A4	4		508
18	17	64	68	2.0		0	0	4/4	11	1	1/2		1/2	1		3	69	A4	4		510
18	17	64	68	0.5		0	0	4/4	1	1	1/8		1/8	1		6	78	F#5	5		484
18	17	129/2	137/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		489
18	17	129/2	137/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		485
18	17	65	69	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		3	69	A4	4		490
18	17	65	69	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		486
18	17	66	70	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	38	D2	2		521
18	17	66	70	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	50	D3	3		519
18	17	66	70	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		493
18	17	66	70	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		2	50	D3	3		517
18	17	66	70	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		507
18	17	66	70	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		515
18	17	66	70	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		6	66	F#4	4		505
18	17	66	70	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		6	66	F#4	4		513
18	17	66	70	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		3	69	A4	4		495
18	17	66	70	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		3	69	A4	4		497
18	17	66	70	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		3	69	A4	4		499
18	17	66	70	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		3	69	A4	4		501
18	17	66	70	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		3	69	A4	4		503
18	17	66	70	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		3	69	A4	4		509
18	17	66	70	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		3	69	A4	4		511
18	17	67	71	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		3	69	A4	4		491
18	17	67	71	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		6	78	F#5	5		487
19	18	68	72	1.0		0	0	4/4	14	1	1/4		1/4	1		1	31	G1	1		559
19	18	68	72	1.0		0	0	4/4	13	1	1/4		1/4	1		1	43	G2	2		557
19	18	68	72	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		529
19	18	68	72	2.0		0	0	4/4	12	2	1/2		1/2	1		1	55	G3	3		555
19	18	68	72	2.0		0	0	4/4	9	1	1/2		1/2	1		2	62	D4	4		543
19	18	68	72	2.0		0	0	4/4	12	1	1/2		1/2	1		2	62	D4	4		552
19	18	68	72	2.0		0	0	4/4	8	2	1/2		1/2	1		1	67	G4	4		541
19	18	68	72	2.0		0	0	4/4	11	2	1/2		1/2	1		1	67	G4	4		550
19	18	68	72	0.5		0	0	4/4	1	2	1/8		1/8	1		5	71	B4	4		525
19	18	68	72	2.0		0	0	4/4	3	1	1/2		1/2	1		5	71	B4	4		531
19	18	68	72	2.0		0	0	4/4	4	1	1/2		1/2	1		5	71	B4	4		533
19	18	68	72	2.0		0	0	4/4	5	1	1/2		1/2	1		5	71	B4	4		535
19	18	68	72	2.0		0	0	4/4	6	1	1/2		1/2	1		5	71	B4	4		537
19	18	68	72	2.0		0	0	4/4	7	1	1/2		1/2	1		5	71	B4	4		539
19	18	68	72	2.0		0	0	4/4	10	1	1/2		1/2	1		5	71	B4	4		546
19	18	68	72	2.0		0	0	4/4	11	1	1/2		1/2	1		5	71	B4	4		548
19	18	68	72	1.0		0	0	4/4	1	1	1/4		1/4	1		1	79	G5	5		522
19	18	137/2	145/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		526
19	18	69	73	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		1	67	G4	4		527
19	18	69	73	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		523
19	18	70	74	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		5	35	B1	1		560
19	18	70	74	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		1	43	G2	2		556
19	18	70	74	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		5	47	B2	2		558
19	18	70	74	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		530
19	18	70	74	1.0		1/2	1/2	4/4	9	1	1/4		1/4	1		2	62	D4	4		544
19	18	70	74	1.0		1/2	1/2	4/4	12	1	1/4		1/4	1		2	62	D4	4		553
19	18	70	74	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		1	67	G4	4		542
19	18	70	74	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		1	67	G4	4		551
19	18	70	74	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		5	71	B4	4		532
19	18	70	74	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		5	71	B4	4		534
19	18	70	74	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4		536
19	18	70	74	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		5	71	B4	4		538
19	18	70	74	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		5	71	B4	4		540
19	18	70	74	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		5	71	B4	4		547
19	18	70	74	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		5	71	B4	4		549
19	18	71	75	1.0		3/4	3/4	4/4	9	1	1/4		1/4	1		4	64	E4	4		545
19	18	71	75	1.0		3/4	3/4	4/4	12	1	1/4		1/4	1		4	64	E4	4		554
19	18	71	75	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		5	71	B4	4		528
19	18	71	75	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		1	79	G5	5		524
20	19	72	76	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		587
20	19	72	76	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		585
20	19	72	76	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		571
20	19	72	76	2.0		0	0	4/4	12	2	1/2		1/2	1		2	50	D3	3		584
20	19	72	76	2.0		0	0	4/4	9	1	1/2		1/2	1		6	66	F#4	4		579
20	19	72	76	2.0		0	0	4/4	12	1	1/2		1/2	1		6	66	F#4	4		583
