mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	1	2	2	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		2	74	D5	5		22
1	1	2	2	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		2	74	D5	5		23
1	1	2	2	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		2	74	D5	5		26
1	1	2	2	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		2	74	D5	5		27
1	1	5/2	5/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		1	43	G2	2		16
1	1	5/2	5/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		9
1	1	5/2	5/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		3
1	1	3	3	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		1	43	G2	2		17
1	1	3	3	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		10
1	1	3	3	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		4
1	1	7/2	7/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		1	43	G2	2		18
1	1	7/2	7/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		11
1	1	7/2	7/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		5
2	2	4	4	1.0		0	0	4/4	14	1	1/4		1/4	1		1	43	G2	2		73
2	2	4	4	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		43
2	2	4	4	1.0		0	0	4/4	13	1	1/4		1/4	1		1	55	G3	3		71
2	2	4	4	2.0		0	0	4/4	12	2	1/2		1/2	1		1	55	G3	3		69
2	2	4	4	1.0		0	0	4/4	9	1	1/4		1/4	1		5	59	B3	3		57
2	2	4	4	1.0		0	0	4/4	12	1	1/4		1/4	1		5	59	B3	3		66
2	2	4	4	2.0		0	0	4/4	8	2	1/2		1/2	1		1	67	G4	4		55
2	2	4	4	2.0		0	0	4/4	11	2	1/2		1/2	1		1	67	G4	4		64
2	2	4	4	0.5		0	0	4/4	1	2	1/8		1/8	1		5	71	B4	4		39
2	2	4	4	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		35
2	2	4	4	2.0		0	0	4/4	3	1	1/2		1/2	1		2	74	D5	5		45
2	2	4	4	2.0		0	0	4/4	4	1	1/2		1/2	1		2	74	D5	5		47
2	2	4	4	2.0		0	0	4/4	5	1	1/2		1/2	1		2	74	D5	5		49
2	2	4	4	2.0		0	0	4/4	6	1	1/2		1/2	1		2	74	D5	5		51
2	2	4	4	2.0		0	0	4/4	7	1	1/2		1/2	1		2	74	D5	5		53
2	2	4	4	2.0		0	0	4/4	10	1	1/2		1/2	1		2	74	D5	5		60
2	2	4	4	2.0		0	0	4/4	11	1	1/2		1/2	1		2	74	D5	5		62
2	2	9/2	9/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		40
2	2	9/2	9/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		36
2	2	5	5	1.0		1/4	1/4	4/4	9	1	1/4		1/4	1		2	62	D4	4		58
2	2	5	5	1.0		1/4	1/4	4/4	12	1	1/4		1/4	1		2	62	D4	4		67
2	2	5	5	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		1	67	G4	4		41
2	2	5	5	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		5	71	B4	4		37
2	2	6	6	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		1	31	G1	1		74
2	2	6	6	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		1	43	G2	2		72
2	2	6	6	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		44
2	2	6	6	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		1	55	G3	3		70
2	2	6	6	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		1	67	G4	4		59
2	2	6	6	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		1	67	G4	4		68
2	2	6	6	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		5	71	B4	4		56
2	2	6	6	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		5	71	B4	4		65
2	2	6	6	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		2	74	D5	5		46
2	2	6	6	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		2	74	D5	5		48
2	2	6	6	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		2	74	D5	5		50
2	2	6	6	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		2	74	D5	5		52
2	2	6	6	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		2	74	D5	5		54
2	2	6	6	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		2	74	D5	5		61
2	2	6	6	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		2	74	D5	5		63
2	2	7	7	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		5	71	B4	4		42
2	2	7	7	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		2	74	D5	5		38
3	3	8	8	1.0		0	0	4/4	14	1	1/4		1/4	1		0	36	C2	2		110
3	3	8	8	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		82
3	3	8	8	1.0		0	0	4/4	13	1	1/4		1/4	1		0	48	C3	3		108
3	3	8	8	2.0		0	0	4/4	12	2	1/2		1/2	1		0	60	C4	4		106
3	3	8	8	2.0		0	0	4/4	9	1	1/2		1/2	1		1	67	G4	4		96
3	3	8	8	2.0		0	0	4/4	12	1	1/2		1/2	1		1	67	G4	4		104
3	3	8	8	1.0		0	0	4/4	1	2	1/4		1/4	1		0	72	C5	5		79
3	3	8	8	2.0		0	0	4/4	8	2	1/2		1/2	1		0	72	C5	5		94
3	3	8	8	2.0		0	0	4/4	11	2	1/2		1/2	1		0	72	C5	5		102
3	3	8	8	0.5		0	0	4/4	1	1	1/8		1/8	1		4	76	E5	5		75
3	3	8	8	2.0		0	0	4/4	3	1	1/2		1/2	1		4	76	E5	5		84
3	3	8	8	2.0		0	0	4/4	4	1	1/2		1/2	1		4	76	E5	5		86
3	3	8	8	2.0		0	0	4/4	5	1	1/2		1/2	1		4	76	E5	5		88
3	3	8	8	2.0		0	0	4/4	6	1	1/2		1/2	1		4	76	E5	5		90
3	3	8	8	2.0		0	0	4/4	7	1	1/2		1/2	1		4	76	E5	5		92
3	3	8	8	2.0		0	0	4/4	10	1	1/2		1/2	1		4	76	E5	5		98
3	3	8	8	2.0		0	0	4/4	11	1	1/2		1/2	1		4	76	E5	5		100
3	3	17/2	17/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		76
3	3	9	9	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		1	67	G4	4		80
3	3	9	9	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		0	72	C5	5		77
3	3	10	10	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		4	40	E2	2		111
3	3	10	10	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		83
