mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	33/2	33/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	67
5	5	17	17	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		6	54	F#3	3	68
5	5	17	17	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	65
5	5	17	17	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	63
5	5	17	17	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		10	70	A#4	4	61
6	5		18	2.0	1	0	1/2	4/4	2	2	1/2		1/2	1		5	47	B2	2	72
6	5		18	2.0	1	0	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	71
6	5		18	2.0	1	0	1/2	4/4	1	2	1/2		1/2	1		6	66	F#4	4	70
6	5		18	2.0	1	0	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	69
7	5	18	20	2.0	2	0	1/2	4/4	2	2	1/2		1/2	1		5	47	B2	2	76
7	5	18	20	2.0	2	0	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	75
7	5	18	20	2.0	2	0	1/2	4/4	1	2	1/2		1/2	1		6	66	F#4	4	74
7	5	18	20	2.0	2	0	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	73
8	6	21	23	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		9	63	D#4	4	81
8	6	21	23	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	77
8	6	43/2	47/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	82
8	6	43/2	47/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		8	68	G#4	4	78
8	6	22	24	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	83
8	6	22	24	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	A4	4	79
8	6	23	25	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	49	C#3	3	88
8	6	23	25	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	84
8	6	23	25	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	86
8	6	23	25	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		8	68	G#4	4	80
8	6	47/2	51/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	89
8	6	47/2	51/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	87
8	6	47/2	51/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	85
9	7	24	26	0.5		0	0	4/4	2	2	1/8		1/8	1		4	52	E3	3	105
9	7	24	26	0.5		0	0	4/4	2	1	1/8		1/8	1		7	61	C#4	4	99
9	7	24	26	0.5		0	0	4/4	1	2	1/8		1/8	1		8	68	G#4	4	94
9	7	24	26	1.5		0	0	4/4	1	1	3/8		1/4	3/2		7	73	C#5	5	90
9	7	49/2	53/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	106
9	7	49/2	53/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	95
9	7	49/2	53/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	100
9	7	25	27	0.5		1/4	1/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	107
9	7	25	27	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	96
9	7	25	27	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		8	68	G#4	4	101
9	7	51/2	55/2	0.5		3/8	3/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	108
9	7	51/2	55/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		6	66	F#4	4	102
9	7	51/2	55/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	97
9	7	51/2	55/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		9	75	D#5	5	91
9	7	26	28	0.0		1/2	1/2	4/4	1	1	0	appoggiatura	1/8	1		7	73	C#5	5	92
9	7	26	28	0.0		1/2	1/2	4/4	2	1	0	appoggiatura	1/8	1		4	64	E4	4	103
9	7	26	28	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		8	44	G#2	2	109
9	7	26	28	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	104
9	7	26	28	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		8	68	G#4	4	98
9	7	26	28	2.0		1/2	1/2	4/4	1	1	1/2		1/2	1		12	72	B#4	4	93
9	7	27	29	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	110
9	7	55/2	59/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	111
10	8	28	30	3.0		0	0	4/4	2	2	3/4		1/2	3/2		4	52	E3	3	124
10	8	29	31	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	120
10	8	29	31	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	116
10	8	29	31	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		7	73	C#5	5	112
10	8	59/2	63/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	121
10	8	59/2	63/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	117
10	8	59/2	63/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	113
10	8	30	32	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		7	61	C#4	4	122
10	8	30	32	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	118
10	8	30	32	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		10	70	A#4	4	114
10	8	31	33	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		9	51	D#3	3	125
10	8	31	33	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		9	63	D#4	4	123
10	8	31	33	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	119
10	8	31	33	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	115
10	8	63/2	67/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	126
11	9	32	34	1.0		0	0	4/4	2	2	1/4		1/4	1		6	54	F#3	3	139
11	9	32	34	0.5		0	0	4/4	2	1	1/8		1/8	1		7	61	C#4	4	135
11	9	32	34	1.0		0	0	4/4	1	2	1/4		1/4	1		6	66	F#4	4	132
11	9	32	34	1.0		0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	127
11	9	65/2	69/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	136
11	9	33	35	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		6	42	F#2	2	140
11	9	33	35	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	137
11	9	33	35	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	133
11	9	33	35	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		10	70	A#4	4	128
11	9	34	36	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		5	47	B2	2	141
11	9	34	36	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		9	63	D#4	4	138
11	9	34	36	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	134
11	9	34	36	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4	129
11	9	35	37	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	130
11	9	71/2	75/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		6	66	F#4	4	131
12	10	36	38	1.5		0	0	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	142
12	10	37	39	0.5		1/4	1/4	4/4	2	2	1/8		1/8	1		5	47	B2	2	152
12	10	37	39	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		9	63	D#4	4	148
12	10	37	39	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		6	66	F#4	4	146
12	10	75/2	79/2	0.5		3/8	3/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	153
12	10	75/2	79/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	149
12	10	75/2	79/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	143
12	10	38	40	0.5		1/2	1/2	4/4	2	2	1/8		1/8	1		4	52	E3	3	154
12	10	38	40	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	150
12	10	38	40	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		8	68	G#4	4	144
12	10	77/2	81/2	0.5		5/8	5/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	155
12	10	39	41	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	49	C#3	3	156
12	10	39	41	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	151
12	10	39	41	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	147
12	10	39	41	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		7	73	C#5	5	145
12	10	79/2	83/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	157
13	11	40	42	0.5		0	0	4/4	2	2	1/8		1/8	1		3	45	A2	2	169
13	11	40	42	1.0		0	0	4/4	2	1	1/4		1/4	1		9	63	D#4	4	166
13	11	40	42	0.5		0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	161
13	11	40	42	1.0		0	0	4/4	1	1	1/4		1/4	1		12	72	B#4	4	158
13	11	81/2	85/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		8	44	G#2	2	170
13	11	81/2	85/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	162
13	11	41	43	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		13	43	F##2	2	171
13	11	41	43	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		4	64	E4	4	167
13	11	41	43	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		10	70	A#4	4	163
13	11	41	43	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		7	73	C#5	5	159
13	11	83/2	87/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		10	70	A#4	4	164
13	11	42	44	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		8	44	G#2	2	172
13	11	42	44	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	168
13	11	42	44	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		8	68	G#4	4	165
13	11	43	45	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		12	72	B#4	4	160
14	12	44	46	2.0		0	0	4/4	2	2	1/2		1/2	1		7	49	C#3	3	185
14	12	44	46	1.0		0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	180
14	12	44	46	1.0		0	0	4/4	1	2	1/4		1/4	1		8	68	G#4	4	176
14	12	44	46	2.0		0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	173
14	12	45	47	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	181
14	12	45	47	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	177
14	12	91/2	95/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		12	60	B#3	3	182
14	12	91/2	95/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	178
14	12	46	48	1.5		1/2	1/2	4/4	2	1	3/8		1/4	3/2		7	61	C#4	4	183
14	12	46	48	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1	1	4	64	E4	4	179
14	12	47	49	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	61	C#4	4	186
14	12	47	49	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5	174
14	12	95/2	99/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		8	56	G#3	3	187
14	12	95/2	99/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	184
14	12	95/2	99/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	175
15	13	48	50	0.5		0	0	4/4	2	2	1/8		1/8	1		3	57	A3	3	200
15	13	48	50	2.0		0	0	4/4	2	1	1/2		1/2	1		7	61	C#4	4	198
15	13	48	50	1.0		0	0	4/4	1	2	1/4		1/4	1	-1	4	64	E4	4	193
15	13	48	50	1.0		0	0	4/4	1	1	1/4		1/4	1		7	73	C#5	5	188
15	13	97/2	101/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		5	59	B3	3	201
15	13	49	51	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		7	61	C#4	4	202
15	13	49	51	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	194
15	13	49	51	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		8	68	G#4	4	189
15	13	99/2	103/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	190
15	13	50	52	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		8	56	G#3	3	203
15	13	50	52	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1	1	5	59	B3	3	199
15	13	50	52	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		9	63	D#4	4	195
15	13	50	52	1.5		1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	191
15	13	101/2	105/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	196
15	13	51	53	1.0		3/4	3/4	4/4	2	2	1/4		1/4	1		9	51	D#3	3	204
15	13	51	53	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1	1	6	66	F#4	4	197
15	13	103/2	107/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	192
16	14	52	54	1.0		0	0	4/4	2	2	1/4		1/4	1		4	52	E3	3	220
16	14	52	54	1.0		0	0	4/4	2	1	1/4		1/4	1	-1	5	59	B3	3	216
16	14	52	54	0.5		0	0	4/4	1	2	1/8		1/8	1	-1	6	66	F#4	4	210
16	14	52	54	1.0		0	0	4/4	1	1	1/4		1/4	1		8	68	G#4	4	205
16	14	105/2	109/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	211
16	14	53	55	2.0		1/4	1/4	4/4	2	2	1/2		1/2	1		3	45	A2	2	221
16	14	53	55	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	217
16	14	53	55	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		9	63	D#4	4	212
16	14	53	55	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	206
16	14	107/2	111/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	207
16	14	107/2	111/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	213
16	14	54	56	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	218
16	14	54	56	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		5	59	B3	3	214
16	14	54	56	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		9	63	D#4	4	208
16	14	55	57	1.0		3/4	3/4	4/4	2	2	1/4		1/4	1		10	46	A#2	2	222
16	14	55	57	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	219
16	14	55	57	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		7	61	C#4	4	215
16	14	55	57	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1	1	4	64	E4	4	209
17	15	56	58	2.0		0	0	4/4	2	2	1/2		1/2	1		5	47	B2	2	232
17	15	56	58	0.5		0	0	4/4	2	1	1/8		1/8	1		6	54	F#3	3	228
17	15	56	58	2.0		0	0	4/4	1	2	1/2		1/2	1		5	59	B3	3	226
17	15	56	58	1.0		0	0	4/4	1	1	1/4		1/4	1	-1	4	64	E4	4	223
17	15	113/2	117/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	229
17	15	57	59	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	230
17	15	57	59	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		9	63	D#4	4	224
17	15	58	60	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		4	52	E3	3	233
17	15	58	60	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	231
17	15	58	60	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		5	59	B3	3	227
17	15	58	60	2.0		1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	225
