mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	3	3/4	1/4	1/2		1			firstMeasure	2
2	1	1	3.0	3	3/4	3/4	0						3
3	2	4	3.0	3	3/4	3/4	0						4
4	3	7	3.0	3	3/4	3/4	0						5
5	4	10	3.0	3	3/4	3/4	0						6
6	5	13	3.0	3	3/4	3/4	0						7
7	6	16	3.0	3	3/4	3/4	0						8
8	7	19	3.0	3	3/4	3/4	0						9
9	8	22	2.0	3	3/4	1/2	0				line	end	1, 10
10	9	24	1.0	3	3/4	1/4	1/2						11
11	10	25	3.0	3	3/4	3/4	0						12
12	11	28	3.0	3	3/4	3/4	0						13
13	12	31	3.0	3	3/4	3/4	0						14
14	13	34	3.0	3	3/4	3/4	0						15
15	14	37	3.0	3	3/4	3/4	0						16
16	15	40	3.0	3	3/4	3/4	0				line		17
17	16	43	3.0	3	3/4	3/4	0						18
18	17	46	3.0	3	3/4	3/4	0						19
19	18	49	3.0	3	3/4	3/4	0						20
20	19	52	3.0	3	3/4	3/4	0						21
21	20	55	3.0	3	3/4	3/4	0						22
22	21	58	3.0	3	3/4	3/4	0						23
23	22	61	3.0	3	3/4	3/4	0				line		24
24	23	64	3.0	3	3/4	3/4	0						25
25	24	67	3.0	3	3/4	3/4	0						26
26	25	70	3.0	3	3/4	3/4	0						27
27	26	73	3.0	3	3/4	3/4	0						28
28	27	76	3.0	3	3/4	3/4	0						29
29	28	79	3.0	3	3/4	3/4	0						30
30	29	82	3.0	3	3/4	3/4	0						31
31	30	85	3.0	3	3/4	3/4	0				line		32
32	31	88	3.0	3	3/4	3/4	0						33
33	32	91	3.0	3	3/4	3/4	0						34
34	33	94	3.0	3	3/4	3/4	0						35
35	34	97	3.0	3	3/4	3/4	0						36
36	35	100	3.0	3	3/4	3/4	0						37
37	36	103	3.0	3	3/4	3/4	0						38
38	37	106	3.0	3	3/4	3/4	0						39
39	38	109	2.0	3	3/4	1/2	0			end		lastMeasure	-1
