mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-1	3/4	1/4	1/2		1			firstMeasure	2
2	1	1	3.0	-1	3/4	3/4	0						3
3	2	4	3.0	-1	3/4	3/4	0						4
4	3	7	3.0	-1	3/4	3/4	0						5
5	4	10	3.0	-1	3/4	3/4	0						6
6	5	13	3.0	-1	3/4	3/4	0						7
7	6	16	3.0	-1	3/4	3/4	0				line		8
8	7	19	3.0	-1	3/4	3/4	0						9
9	8	22	2.0	-1	3/4	1/2	0					end	1, 10
10	9	24	1.0	-1	3/4	1/4	1/2						11
11	10	25	3.0	-1	3/4	3/4	0						12
12	11	28	3.0	-1	3/4	3/4	0						13
13	12	31	3.0	-1	3/4	3/4	0						14
14	13	34	3.0	-1	3/4	3/4	0						15
15	14	37	3.0	-1	3/4	3/4	0				line		16
16	15	40	3.0	-1	3/4	3/4	0						17
17	16	43	3.0	-1	3/4	3/4	0						18
18	17	46	3.0	-1	3/4	3/4	0						19
19	18	49	3.0	-1	3/4	3/4	0						20
20	19	52	3.0	-1	3/4	3/4	0						21
21	20	55	3.0	-1	3/4	3/4	0						22
22	21	58	3.0	-1	3/4	3/4	0						23
23	22	61	2.0	-1	3/4	1/2	0			end	line	lastMeasure	-1
