mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-1	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	-1	4/4	1	0						3
3	2	5	4.0	-1	4/4	1	0						4
4	3	9	4.0	-1	4/4	1	0						5
5	4	13	3.0	-1	4/4	3/4	0					end	1, 6
6	5	16	1.0	-1	4/4	1/4	3/4						7
7	6	17	4.0	-1	4/4	1	0						8
8	7	21	4.0	-1	4/4	1	0						9
9	8	25	4.0	-1	4/4	1	0						10
10	9	29	4.0	-1	4/4	1	0						11
11	10	33	4.0	-1	4/4	1	0						12
12	11	37	4.0	-1	4/4	1	0						13
13	12	41	4.0	-1	4/4	1	0						14
14	13	45	3.0	-1	4/4	3/4	0			end		lastMeasure	-1
