mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	2.0	0	4/4	1/2	1/2		1			firstMeasure	2
2	1	2	4.0	0	4/4	1	0						3
3	2	6	4.0	0	4/4	1	0						4
4	3	10	4.0	0	4/4	1	0						5
5	4	14	4.0	0	4/4	1	0						6
6	5	18	4.0	0	4/4	1	0						7
7	6	22	4.0	0	4/4	1	0				line		8
8	7	26	4.0	0	4/4	1	0						9
9	8	30	4.0	0	4/4	1	0						10
10	9	34	4.0	0	4/4	1	0						11
11	10	38	4.0	0	4/4	1	0						12
12	11	42	4.0	0	4/4	1	0						13
13	12	46	4.0	0	4/4	1	0						14
14	13	50	4.0	0	4/4	1	0				line		15
15	14	54	4.0	0	4/4	1	0						16
16	15	58	4.0	0	4/4	1	0						17
17	16	62	4.0	0	4/4	1	0						18
18	17	66	4.0	0	4/4	1	0						19
19	18	70	4.0	0	4/4	1	0						20
20	19	74	4.0	0	4/4	1	0						21
21	20	78	4.0	0	4/4	1	0			end		lastMeasure	-1
