mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-2	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	-2	4/4	1	0						3
3	2	5	4.0	-2	4/4	1	0						4
4	3	9	4.0	-2	4/4	1	0						5
5	4	13	4.0	-2	4/4	1	0				line		6
6	5	17	4.0	-2	4/4	1	0						7
7	6	21	4.0	-2	4/4	1	0						8
8	7	25	4.0	-2	4/4	1	0						9
9	8	29	3.0	-2	4/4	3/4	0				line	end	1, 10
10	8	32	1.0	-2	4/4	1/4	3/4		1				11
11	9	33	4.0	-2	4/4	1	0						12
12	10	37	4.0	-2	4/4	1	0						13
13	11	41	4.0	-2	4/4	1	0						14
14	12	45	4.0	-2	4/4	1	0				line		15
15	13	49	4.0	-2	4/4	1	0						16
16	14	53	4.0	-2	4/4	1	0						17
17	15	57	4.0	-2	4/4	1	0			double			18
18	16	61	3.0	-2	3/4	3/4	0						19
19	17	64	3.0	-2	3/4	3/4	0				line		20
20	18	67	3.0	-2	3/4	3/4	0						21
21	19	70	3.0	-2	3/4	3/4	0						22
22	20	73	3.0	-2	3/4	3/4	0						23
23	21	76	3.0	-2	3/4	3/4	0						24
24	22	79	3.0	-2	3/4	3/4	0						25
25	23	82	3.0	-2	3/4	3/4	0				line		26
26	24	85	3.0	-2	3/4	3/4	0						27
27	25	88	3.0	-2	3/4	3/4	0						28
28	26	91	3.0	-2	3/4	3/4	0						29
29	27	94	3.0	-2	3/4	3/4	0						30
30	28	97	3.0	-2	3/4	3/4	0						31
31	29	100	3.0	-2	3/4	3/4	0						32
32	30	103	3.0	-2	3/4	3/4	0			end	line	lastMeasure	-1
