mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	2	4/4	1/4	0		1			firstMeasure	2
2	1	1	3.0	2	4/4	3/4	1/4					end	1, 3
3	1	4	1.0	2	4/4	1/4	0		1				4
4	2	5	4.0	2	4/4	1	0						5
5	3	9	4.0	2	4/4	1	0				line		6
6	4	13	4.0	2	4/4	1	0						7
7	5	17	4.0	2	4/4	1	0						8
8	6	21	4.0	2	4/4	1	0				line		9
9	7	25	4.0	2	4/4	1	0						10
10	8	29	4.0	2	4/4	1	0						11
11	9	33	4.0	2	4/4	1	0						12
12	10	37	3.0	2	4/4	3/4	0			end	line	lastMeasure	-1
