mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	5
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	4
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	3
1	1	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	2
2	2	1	1	1.0	0	0	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	24
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	20
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	16
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	6
2	2	2	2	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		1	43	G2	2	25
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	21
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	17
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	2	3	3	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		0	48	C3	3	26
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	60	C4	4	22
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	18
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	13
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	8
2	2	4	4	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	27
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	23
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	19
2	2	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	14
2	2	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	9
2	2	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	15
