mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		5	35	B1	1	6
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	5
1	0	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	3
1	0	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	4
1	0	1/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	2
2	1	1	1	1.0	0	0	4/4	3	2	1/4	1/4	1		5	47	B2	2	24
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	20
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	11
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	1	2	2	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		10	46	A#2	2	25
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		10	58	A#3	3	21
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	17
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	12
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	8
2	1	3	3	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		5	47	B2	2	26
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	18
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	59	B3	3	22
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	13
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	9
2	1	4	4	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		6	42	F#2	2	27
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	23
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	19
2	1	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	14
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	10
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	15
3	2	5	5	1.0	0	0	4/4	3	2	1/4	1/4	1		1	43	G2	2	41
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	38
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	34
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	31
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	28
3	2	6	6	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		4	40	E2	2	42
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	39
3	2	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	35
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	32
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	29
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	36
3	2	7	7	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		6	42	F#2	2	43
3	2	7	7	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	40
3	2	7	7	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	37
3	2	7	7	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	33
3	2	7	7	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		10	70	A#4	4	30
4	3	9	9	2.0	0	0	4/4	3	2	1/2	1/2	1		6	30	F#1	1	52
4	3	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1		6	42	F#2	2	50
4	3	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		10	58	A#3	3	48
4	3	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4	46
4	3	9	9	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	44
4	3	12	12	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		6	42	F#2	2	53
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	51
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	49
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	47
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	45
5	4	13	13	1.0	0	0	4/4	3	2	1/4	1/4	1		5	35	B1	1	71
5	4	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	66
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	62
5	4	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	58
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	54
5	4	14	14	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		7	37	C#2	2	72
5	4	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	67
5	4	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	63
5	4	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	59
5	4	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	55
5	4	15	15	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		2	38	D2	2	73
5	4	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	68
5	4	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	64
5	4	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	60
5	4	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	56
5	4	16	16	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		1	43	G2	2	74
5	4	16	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	69
5	4	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	65
5	4	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	61
5	4	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	57
5	4	33/2	33/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		6	42	F#2	2	75
5	4	33/2	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	70
6	5	17	17	1.0	0	0	4/4	3	2	1/4	1/4	1		4	40	E2	2	88
6	5	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	85
6	5	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	82
6	5	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	79
6	5	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	76
6	5	18	18	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		6	42	F#2	2	89
6	5	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	86
6	5	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	83
6	5	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	80
6	5	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	77
6	5	19	19	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		5	35	B1	1	90
6	5	19	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	87
6	5	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	84
6	5	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	81
6	5	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	78
7	6	20	20	1.0	0	3/4	4/4	3	2	1/4	1/4	1		6	42	F#2	2	95
7	6	20	20	1.0	0	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	94
7	6	20	20	1.0	0	3/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	93
7	6	20	20	1.0	0	3/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	92
7	6	20	20	1.0	0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	91
8	7	21	21	1.0	0	0	4/4	3	2	1/4	1/4	1		5	47	B2	2	114
8	7	21	21	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	108
