mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	4	15	15	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	49	C#3	3	73
4	4	15	15	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		9	63	D#4	4	69
4	4	15	15	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	65
4	4	15	15	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1	1	5	71	B4	4	61
4	4	31/2	31/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		5	35	B1	1	81
4	4	31/2	31/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	74
5	5	16	16	0.5		0	0	4/4	3	2	1/8		1/8	1		6	42	F#2	2	94
5	5	16	16	0.5		0	0	4/4	2	2	1/8		1/8	1		6	54	F#3	3	90
5	5	16	16	1.0		0	0	4/4	2	1	1/4		1/4	1		7	61	C#4	4	88
5	5	16	16	1.0		0	0	4/4	1	2	1/4		1/4	1		6	66	F#4	4	86
5	5	16	16	1.0		0	0	4/4	1	1	1/4		1/4	1	-1	5	71	B4	4	84
5	5	33/2	33/2	0.5		1/8	1/8	4/4	3	2	1/8		1/8	1		4	40	E2	2	95
5	5	33/2	33/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	91
5	5	17	17	1.0		1/4	1/4	4/4	3	3	1/4		1/4	1		6	30	F#1	1	96
5	5	17	17	1.0		1/4	1/4	4/4	2	3	1/4		1/4	1		6	42	F#2	2	93
5	5	17	17	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		6	54	F#3	3	92
5	5	17	17	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	89
5	5	17	17	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	87
5	5	17	17	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		10	70	A#4	4	85
6	6		18	2.0	1	0	1/2	4/4	3	2	1/2		1/2	1		5	35	B1	1	101
