mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0		0	3/4	4/4	10	2	1/4	1/4	1		6	42	F#2	2	9
1	0	0	0	1.0		0	3/4	4/4	6	2	1/4	1/4	1		6	54	F#3	3	5
1	0	0	0	1.0		0	3/4	4/4	8	2	1/4	1/4	1		6	54	F#3	3	7
1	0	0	0	1.0		0	3/4	4/4	9	2	1/4	1/4	1		6	54	F#3	3	8
1	0	0	0	1.0		0	3/4	4/4	6	1	1/4	1/4	1		10	58	A#3	3	4
1	0	0	0	1.0		0	3/4	4/4	7	1	1/4	1/4	1		10	58	A#3	3	6
1	0	0	0	1.0		0	3/4	4/4	4	2	1/4	1/4	1		6	66	F#4	4	1
1	0	0	0	1.0		0	3/4	4/4	5	2	1/4	1/4	1		6	66	F#4	4	3
1	0	0	0	1.0		0	3/4	4/4	3	1	1/4	1/4	1		7	73	C#5	5	0
1	0	0	0	1.0		0	3/4	4/4	5	1	1/4	1/4	1		7	73	C#5	5	2
2	1	1	1	1.0		0	0	4/4	10	2	1/4	1/4	1		5	35	B1	1	52
2	1	1	1	1.0		0	0	4/4	6	2	1/4	1/4	1		5	47	B2	2	35
2	1	1	1	1.0		0	0	4/4	8	2	1/4	1/4	1		5	47	B2	2	44
2	1	1	1	1.0		0	0	4/4	9	2	1/4	1/4	1		5	47	B2	2	48
2	1	1	1	1.0		0	0	4/4	6	1	1/4	1/4	1		5	59	B3	3	30
2	1	1	1	1.0		0	0	4/4	7	1	1/4	1/4	1		5	59	B3	3	39
2	1	1	1	1.0		0	0	4/4	4	2	1/4	1/4	1		6	66	F#4	4	15
2	1	1	1	1.0		0	0	4/4	5	2	1/4	1/4	1		6	66	F#4	4	25
2	1	1	1	1.0		0	0	4/4	3	1	1/4	1/4	1		2	74	D5	5	10
2	1	1	1	1.0		0	0	4/4	5	1	1/4	1/4	1		2	74	D5	5	20
2	1	2	2	1.0		1/4	1/4	4/4	10	2	1/4	1/4	1		6	42	F#2	2	53
2	1	2	2	1.0		1/4	1/4	4/4	6	2	1/4	1/4	1		6	54	F#3	3	36
2	1	2	2	1.0		1/4	1/4	4/4	8	2	1/4	1/4	1		6	54	F#3	3	45
2	1	2	2	1.0		1/4	1/4	4/4	9	2	1/4	1/4	1		6	54	F#3	3	49
2	1	2	2	1.0		1/4	1/4	4/4	6	1	1/4	1/4	1		10	58	A#3	3	31
2	1	2	2	1.0		1/4	1/4	4/4	7	1	1/4	1/4	1		10	58	A#3	3	40
2	1	2	2	0.5		1/4	1/4	4/4	4	2	1/8	1/8	1		6	66	F#4	4	16
2	1	2	2	0.5		1/4	1/4	4/4	5	2	1/8	1/8	1		6	66	F#4	4	26
2	1	2	2	1.0		1/4	1/4	4/4	3	1	1/4	1/4	1		7	73	C#5	5	11
2	1	2	2	1.0		1/4	1/4	4/4	5	1	1/4	1/4	1		7	73	C#5	5	21
2	1	5/2	5/2	0.5		3/8	3/8	4/4	4	2	1/8	1/8	1		4	64	E4	4	17
2	1	5/2	5/2	0.5		3/8	3/8	4/4	5	2	1/8	1/8	1		4	64	E4	4	27
2	1	3	3	1.0		1/2	1/2	4/4	10	2	1/4	1/4	1		1	43	G2	2	54
2	1	3	3	1.0		1/2	1/2	4/4	6	2	1/4	1/4	1		1	55	G3	3	37
2	1	3	3	1.0		1/2	1/2	4/4	8	2	1/4	1/4	1		1	55	G3	3	46
2	1	3	3	1.0		1/2	1/2	4/4	9	2	1/4	1/4	1		1	55	G3	3	50
2	1	3	3	1.0		1/2	1/2	4/4	6	1	1/4	1/4	1		5	59	B3	3	32
2	1	3	3	1.0		1/2	1/2	4/4	7	1	1/4	1/4	1		5	59	B3	3	41
2	1	3	3	1.0		1/2	1/2	4/4	4	2	1/4	1/4	1		2	62	D4	4	18
2	1	3	3	1.0		1/2	1/2	4/4	5	2	1/4	1/4	1		2	62	D4	4	28
2	1	3	3	1.0		1/2	1/2	4/4	3	1	1/4	1/4	1		5	71	B4	4	12
2	1	3	3	1.0		1/2	1/2	4/4	5	1	1/4	1/4	1		5	71	B4	4	22
2	1	4	4	1.0		3/4	3/4	4/4	10	2	1/4	1/4	1		6	42	F#2	2	55
2	1	4	4	1.0		3/4	3/4	4/4	6	2	1/4	1/4	1		6	54	F#3	3	38
2	1	4	4	1.0		3/4	3/4	4/4	8	2	1/4	1/4	1		6	54	F#3	3	47
2	1	4	4	1.0		3/4	3/4	4/4	9	2	1/4	1/4	1		6	54	F#3	3	51
