mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	0	0	0	1.0	0	3/4	4/4	12	2	1/4	1/4	1		-2	34	Bb1	1		16
1	0	0	0	1.0	0	3/4	4/4	9	2	1/4	1/4	1		-2	46	Bb2	2		12
1	0	0	0	1.0	0	3/4	4/4	13	2	1/4	1/4	1		-2	46	Bb2	2		17
1	0	0	0	1.0	0	3/4	4/4	14	1	1/4	1/4	1		-2	46	Bb2	2		18
1	0	0	0	0.5	0	3/4	4/4	3	1	1/8	1/8	1		2	62	D4	4		3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4		2
1	0	0	0	1.0	0	3/4	4/4	9	1	1/4	1/4	1		-1	65	F4	4		11
1	0	0	0	1.0	0	3/4	4/4	11	1	1/4	1/4	1		-1	65	F4	4		15
1	0	0	0	1.0	0	3/4	4/4	15	1	1/4	1/4	1		-1	65	F4	4		19
1	0	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4		0
1	0	0	0	0.5	0	3/4	4/4	10	1	1/8	1/8	1		-2	70	Bb4	4		13
1	0	0	0	1.0	0	3/4	4/4	4	2	1/4	1/4	1		-2	70	Bb4	4		6
1	0	0	0	1.0	0	3/4	4/4	6	2	1/4	1/4	1		-2	70	Bb4	4		8
1	0	0	0	1.0	0	3/4	4/4	4	1	1/4	1/4	1		2	74	D5	5		5
1	0	0	0	1.0	0	3/4	4/4	5	1	1/4	1/4	1		2	74	D5	5		7
1	0	0	0	1.0	0	3/4	4/4	7	1	1/4	1/4	1		2	74	D5	5		9
1	0	0	0	1.0	0	3/4	4/4	8	1	1/4	1/4	1		2	74	D5	5		10
1	0	1/2	1/2	0.5	1/8	7/8	4/4	3	1	1/8	1/8	1		-3	63	Eb4	4		4
1	0	1/2	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5		1
1	0	1/2	1/2	0.5	1/8	7/8	4/4	10	1	1/8	1/8	1		0	72	C5	5		14
2	1	1	1	1.0	0	0	4/4	12	2	1/4	1/4	1		-2	46	Bb2	2		85
2	1	1	1	1.0	0	0	4/4	9	2	1/4	1/4	1		-2	58	Bb3	3		70
2	1	1	1	1.0	0	0	4/4	13	2	1/4	1/4	1		-2	58	Bb3	3		89
2	1	1	1	1.0	0	0	4/4	14	1	1/4	1/4	1		-2	58	Bb3	3		93
2	1	1	1	1.0	0	0	4/4	9	1	1/4	1/4	1		2	62	D4	4		65
2	1	1	1	1.0	0	0	4/4	15	1	1/4	1/4	1		2	62	D4	4		97
2	1	1	1	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	65	F4	4		26
2	1	1	1	0.5	0	0	4/4	11	1	1/8	1/8	1		-1	65	F4	4		80
2	1	1	1	1.0	0	0	4/4	4	2	1/4	1/4	1		-1	65	F4	4		40
2	1	1	1	1.0	0	0	4/4	6	2	1/4	1/4	1		-1	65	F4	4		50
2	1	1	1	1.5	0	0	4/4	3	1	3/8	1/4	3/2		-1	65	F4	4		31
2	1	1	1	1.0	0	0	4/4	4	1	1/4	1/4	1		-2	70	Bb4	4		35
2	1	1	1	1.0	0	0	4/4	5	1	1/4	1/4	1		-2	70	Bb4	4		45
2	1	1	1	1.0	0	0	4/4	7	1	1/4	1/4	1		-2	70	Bb4	4		55
2	1	1	1	1.0	0	0	4/4	8	1	1/4	1/4	1		-2	70	Bb4	4		60
2	1	1	1	0.5	0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5		20
2	1	1	1	0.5	0	0	4/4	10	1	1/8	1/8	1		2	74	D5	5		74
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		1	67	G4	4		27
2	1	3/2	3/2	0.5	1/8	1/8	4/4	11	1	1/8	1/8	1		1	67	G4	4		81
2	1	3/2	3/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5		21
2	1	3/2	3/2	0.5	1/8	1/8	4/4	10	1	1/8	1/8	1		-3	75	Eb5	5		75
2	1	2	2	1.0	1/4	1/4	4/4	12	2	1/4	1/4	1		3	45	A2	2		86
2	1	2	2	1.0	1/4	1/4	4/4	9	2	1/4	1/4	1		3	57	A3	3		71
2	1	2	2	1.0	1/4	1/4	4/4	13	2	1/4	1/4	1		3	57	A3	3		90
2	1	2	2	1.0	1/4	1/4	4/4	14	1	1/4	1/4	1		3	57	A3	3		94
2	1	2	2	1.0	1/4	1/4	4/4	9	1	1/4	1/4	1		0	60	C4	4		66
2	1	2	2	1.0	1/4	1/4	4/4	15	1	1/4	1/4	1		0	60	C4	4		98
2	1	2	2	1.0	1/4	1/4	4/4	4	2	1/4	1/4	1		-1	65	F4	4		41
2	1	2	2	1.0	1/4	1/4	4/4	6	2	1/4	1/4	1		-1	65	F4	4		51
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	69	A4	4		28
2	1	2	2	1.0	1/4	1/4	4/4	11	1	1/4	1/4	1		3	69	A4	4		82
2	1	2	2	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		0	72	C5	5		36
2	1	2	2	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		0	72	C5	5		46
2	1	2	2	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		0	72	C5	5		56
2	1	2	2	1.0	1/4	1/4	4/4	8	1	1/4	1/4	1		0	72	C5	5		61
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5		22
2	1	2	2	1.0	1/4	1/4	4/4	10	1	1/4	1/4	1		-1	77	F5	5		76
2	1	5/2	5/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		3	69	A4	4		32
2	1	3	3	1.0	1/2	1/2	4/4	12	2	1/4	1/4	1		1	43	G2	2		87
2	1	3	3	1.0	1/2	1/2	4/4	9	2	1/4	1/4	1		1	55	G3	3		72
2	1	3	3	1.0	1/2	1/2	4/4	13	2	1/4	1/4	1		1	55	G3	3		91
2	1	3	3	1.0	1/2	1/2	4/4	14	1	1/4	1/4	1		1	55	G3	3		95
2	1	3	3	0.5	1/2	1/2	4/4	9	1	1/8	1/8	1		-2	58	Bb3	3		67
2	1	3	3	0.5	1/2	1/2	4/4	15	1	1/8	1/8	1		-2	58	Bb3	3		99
2	1	3	3	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		2	62	D4	4		33
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	70	Bb4	4		29
2	1	3	3	1.0	1/2	1/2	4/4	4	2	1/4	1/4	1		-2	70	Bb4	4		42
2	1	3	3	1.0	1/2	1/2	4/4	6	2	1/4	1/4	1		-2	70	Bb4	4		52
2	1	3	3	1.0	1/2	1/2	4/4	11	1	1/4	1/4	1		-2	70	Bb4	4		83
2	1	3	3	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		2	74	D5	5		37
2	1	3	3	0.5	1/2	1/2	4/4	5	1	1/8	1/8	1		2	74	D5	5		47
2	1	3	3	0.5	1/2	1/2	4/4	7	1	1/8	1/8	1		2	74	D5	5		57
2	1	3	3	0.5	1/2	1/2	4/4	8	1	1/8	1/8	1		2	74	D5	5		62
2	1	3	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		1	79	G5	5		23
2	1	3	3	0.5	1/2	1/2	4/4	10	1	1/8	1/8	1		1	79	G5	5		77
2	1	7/2	7/2	0.5	5/8	5/8	4/4	9	1	1/8	1/8	1		0	60	C4	4		68
2	1	7/2	7/2	0.5	5/8	5/8	4/4	15	1	1/8	1/8	1		0	60	C4	4		100
2	1	7/2	7/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		-3	75	Eb5	5		38
2	1	7/2	7/2	0.5	5/8	5/8	4/4	5	1	1/8	1/8	1		-3	75	Eb5	5		48
2	1	7/2	7/2	0.5	5/8	5/8	4/4	7	1	1/8	1/8	1		-3	75	Eb5	5		58
2	1	7/2	7/2	0.5	5/8	5/8	4/4	8	1	1/8	1/8	1		-3	75	Eb5	5		63
2	1	7/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	81	A5	5		24
2	1	7/2	7/2	0.5	5/8	5/8	4/4	10	1	1/8	1/8	1		3	81	A5	5		78
2	1	4	4	1.0	3/4	3/4	4/4	12	2	1/4	1/4	1		2	38	D2	2		88
2	1	4	4	1.0	3/4	3/4	4/4	9	2	1/4	1/4	1		2	50	D3	3		73
2	1	4	4	1.0	3/4	3/4	4/4	13	2	1/4	1/4	1		2	50	D3	3		92
2	1	4	4	1.0	3/4	3/4	4/4	14	1	1/4	1/4	1		2	50	D3	3		96
2	1	4	4	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4		34
2	1	4	4	1.0	3/4	3/4	4/4	9	1	1/4	1/4	1		2	62	D4	4		69
2	1	4	4	1.0	3/4	3/4	4/4	15	1	1/4	1/4	1		2	62	D4	4		101
2	1	4	4	0.5	3/4	3/4	4/4	4	2	1/8	1/8	1		-2	70	Bb4	4		43
2	1	4	4	0.5	3/4	3/4	4/4	6	2	1/8	1/8	1		-2	70	Bb4	4		53
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	77	F5	5		30
2	1	4	4	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-1	77	F5	5		39
2	1	4	4	1.0	3/4	3/4	4/4	5	1	1/4	1/4	1		-1	77	F5	5		49
2	1	4	4	1.0	3/4	3/4	4/4	7	1	1/4	1/4	1		-1	77	F5	5		59
2	1	4	4	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		-1	77	F5	5		64
2	1	4	4	1.0	3/4	3/4	4/4	11	1	1/4	1/4	1		-1	77	F5	5		84
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5		25
2	1	4	4	1.0	3/4	3/4	4/4	10	1	1/4	1/4	1	1	-2	82	Bb5	5		79
2	1	9/2	9/2	0.5	7/8	7/8	4/4	4	2	1/8	1/8	1		3	69	A4	4		44
2	1	9/2	9/2	0.5	7/8	7/8	4/4	6	2	1/8	1/8	1		3	69	A4	4		54
3	2	5	5	1.0	0	0	4/4	12	2	1/4	1/4	1		-3	39	Eb2	2		159
3	2	5	5	1.0	0	0	4/4	9	2	1/4	1/4	1		-3	51	Eb3	3		145
3	2	5	5	1.0	0	0	4/4	13	2	1/4	1/4	1		-3	51	Eb3	3		163
3	2	5	5	1.0	0	0	4/4	14	1	1/4	1/4	1		-3	51	Eb3	3		167
3	2	5	5	1.0	0	0	4/4	3	1	1/4	1/4	1		1	55	G3	3		112
3	2	5	5	1.0	0	0	4/4	9	1	1/4	1/4	1		2	62	D4	4		140
3	2	5	5	1.0	0	0	4/4	15	1	1/4	1/4	1		2	62	D4	4		171
3	2	5	5	1.0	0	0	4/4	4	2	1/4	1/4	1		1	67	G4	4		120
3	2	5	5	1.0	0	0	4/4	6	2	1/4	1/4	1		1	67	G4	4		128
3	2	5	5	2.0	0	0	4/4	4	1	1/2	1/2	1		-3	75	Eb5	5		116
3	2	5	5	2.0	0	0	4/4	5	1	1/2	1/2	1		-3	75	Eb5	5		124
3	2	5	5	2.0	0	0	4/4	7	1	1/2	1/2	1		-3	75	Eb5	5		132
3	2	5	5	2.0	0	0	4/4	8	1	1/2	1/2	1		-3	75	Eb5	5		136
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	79	G5	5		107
3	2	5	5	1.0	0	0	4/4	11	1	1/4	1/4	1		1	79	G5	5		154
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5		102
3	2	5	5	1.0	0	0	4/4	10	1	1/4	1/4	1	-1	-2	82	Bb5	5		149
3	2	6	6	1.0	1/4	1/4	4/4	12	2	1/4	1/4	1		-1	41	F2	2		160
3	2	6	6	1.0	1/4	1/4	4/4	9	2	1/4	1/4	1		-1	53	F3	3		146
3	2	6	6	1.0	1/4	1/4	4/4	13	2	1/4	1/4	1		-1	53	F3	3		164
3	2	6	6	1.0	1/4	1/4	4/4	14	1	1/4	1/4	1		-1	53	F3	3		168
3	2	6	6	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		0	60	C4	4		113
3	2	6	6	1.0	1/4	1/4	4/4	9	1	1/4	1/4	1		0	60	C4	4		141
3	2	6	6	1.0	1/4	1/4	4/4	15	1	1/4	1/4	1		0	60	C4	4		172
3	2	6	6	1.0	1/4	1/4	4/4	4	2	1/4	1/4	1		3	69	A4	4		121
3	2	6	6	1.0	1/4	1/4	4/4	6	2	1/4	1/4	1		3	69	A4	4		129
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	77	F5	5		108
3	2	6	6	1.0	1/4	1/4	4/4	11	1	1/4	1/4	1		-1	77	F5	5		155
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	81	A5	5		103
3	2	6	6	1.0	1/4	1/4	4/4	10	1	1/4	1/4	1		3	81	A5	5		150
3	2	7	7	1.0	1/2	1/2	4/4	12	2	1/4	1/4	1		-2	34	Bb1	1		161
3	2	7	7	1.0	1/2	1/2	4/4	9	2	1/4	1/4	1		-2	46	Bb2	2		147
3	2	7	7	1.0	1/2	1/2	4/4	13	2	1/4	1/4	1		-2	46	Bb2	2		165
3	2	7	7	1.0	1/2	1/2	4/4	14	1	1/4	1/4	1		-2	46	Bb2	2		169
3	2	7	7	1.0	1/2	1/2	4/4	9	1	1/4	1/4	1		-2	58	Bb3	3		142
3	2	7	7	1.0	1/2	1/2	4/4	15	1	1/4	1/4	1		-2	58	Bb3	3		173
3	2	7	7	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		2	62	D4	4		114
3	2	7	7	1.0	1/2	1/2	4/4	4	2	1/4	1/4	1		-1	65	F4	4		122
3	2	7	7	1.0	1/2	1/2	4/4	6	2	1/4	1/4	1		-1	65	F4	4		130
3	2	7	7	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		2	74	D5	5		117
3	2	7	7	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		2	74	D5	5		125
3	2	7	7	1.0	1/2	1/2	4/4	7	1	1/4	1/4	1		2	74	D5	5		133
3	2	7	7	1.0	1/2	1/2	4/4	8	1	1/4	1/4	1		2	74	D5	5		137
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	77	F5	5		109
3	2	7	7	1.0	1/2	1/2	4/4	11	1	1/4	1/4	1		-1	77	F5	5		156
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5		104
