mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
2	2	7	7	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3		39
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4		34
2	2	15/2	15/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		4	64	E4	4		40
2	2	31/4	31/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		2	62	D4	4		41
3	3	8	8	2.0	0	0	4/4	3	2	1/2	1/2	1		3	33	A1	1		65
3	3	8	8	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2		61
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4		58
3	3	8	8	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4		55
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4		52
3	3	10	10	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		1	43	G2	2		66
3	3	10	10	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3		62
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		59
3	3	10	10	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		56
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4		53
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		-1	41	F2	2		67
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		63
3	3	11	11	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		4	40	E2	2		68
3	3	11	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3		64
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		60
3	3	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4		57
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5		54
4	4	12	12	0.5	0	0	4/4	3	2	1/8	1/8	1		2	38	D2	2		96
4	4	12	12	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3		90
4	4	12	12	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	65	F4	4		81
4	4	12	12	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		73
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5		69
4	4	25/2	25/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		4	40	E2	2		97
4	4	25/2	25/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		91
4	4	25/2	25/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64	E4	4		82
4	4	25/2	25/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		74
4	4	13	13	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		-1	41	F2	2		98
4	4	13	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3		92
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		83
4	4	13	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4		75
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		70
4	4	14	14	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		5	35	B1	1		99
4	4	14	14	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2		93
4	4	14	14	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4		84
4	4	14	14	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		-1	65	F4	4		76
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		71
4	4	29/2	29/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		0	36	C2	2		100
4	4	29/2	29/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		94
4	4	29/2	29/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		0	60	C4	4		85
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1	1	4	64	E4	4		77
4	4	59/4	59/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-2	58	Bb3	3		86
4	4	15	15	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2		101
4	4	15	15	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		95
4	4	15	15	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		87
4	4	15	15	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	4	64	E4	4		78
