mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	4	11	11	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	62
5	4	11	11	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	57
5	4	11	11	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	52
5	4	12	12	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		4	40	E2	2	71
5	4	12	12	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	67
5	4	12	12	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	58
5	4	12	12	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	63
5	4	12	12	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	53
5	4	25/2	25/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	54
6	5	13	13	1.0		0	0	4/4	3	2	1/4	1/4	1		-1	41	F2	2	85
6	5	13	13	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	82
6	5	13	13	0.5		0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	75
6	5	13	13	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	79
6	5	13	13	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	72
6	5	27/2	27/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	76
6	5	14	14	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	86
6	5	14	14	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	83
6	5	14	14	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	80
6	5	14	14	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	73
6	5	29/2	29/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	77
6	5	15	15	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-1	29	F1	1	87
6	5	15	15	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	84
6	5	15	15	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	81
6	5	15	15	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	78
6	5	15	15	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	74
7	6		16	1.0	1	0	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	92
7	6		16	1.0	1	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	91
7	6		16	1.0	1	0	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	90
7	6		16	1.0	1	0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	89
7	6		16	1.0	1	0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	88
8	7		17	1.0	1	0	0	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	102
8	7		17	1.0	1	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	100
8	7		17	0.5	1	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	97
8	7		17	1.0	1	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	95
8	7		17	1.0	1	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	93
