mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=89.5	90.0	𝅘𝅥	89.5	0.0	
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	0	Sollt'	Denn	(Gesungen) Las-	muss						0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	2	ich	ich	-set	das						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	3										
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	4										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	5										1
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	6										1
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	7										1
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	8										
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	9										2
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	10										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11										3
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	12										4
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	13										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	14										
1	1	0	0	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	15										5
1	1	1	1	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	16										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	17										
2	2	3	3	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=93	93.0	𝅘𝅥	93.0	0.0	
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	18	mei-	seh'	uns	Grab						
2	2	5	5	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=89	89.0	𝅘𝅥	89.0	0.0	
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	19	nem	in	mit	uns						
2	2	3	3	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	20										6
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	21										6
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	22										6
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	23										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	24										
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	25										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	26										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	27										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	28										
2	2	3	3	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	29										7
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	30										7
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	31										7
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	32										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	33										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	34										
2	2	3	3	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	35										8
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	36										8
2	2	4	4	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	37										8
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	38										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	3	2	1/8	1/8	1	39										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8	1/8	1	40										
3	3	6	6	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=88	88.0	𝅘𝅥	88.0	0.0	
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	41	Gott	al-	Je-	wie-						9
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	42										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43	nicht	-len	-su	-der-						
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	44										10
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	45										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	46										
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	47										11
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	48										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	49										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	50										
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	51										12
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	52										
