mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0										𝅘𝅥=71.3	71.0	𝅘𝅥	71.3	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	1. Durch	das-	4. So	Der	5. Er 	des						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1												
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2												
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3												
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	4												
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	5	1. Durch	das-	4. So	Der	5. Er 	des						
1	0	0	0	1.0	0	3/4	Chord	4/4	4	2	1/4	1/4	1	6												
1	0	0	0	1.0	0	3/4	Chord	4/4	5	1	1/4	1/4	1	7												
1	0	0	0	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	8												
1	0	0	0	1.0	0	3/4	Chord	4/4	6	1	1/4	1/4	1	9	1. Durch	das-	4. So	Der	5. Er 	des						
1	0	0	0	1.0	0	3/4	Chord	4/4	6	2	1/4	1/4	1	10												
1	0	0	0	1.0	0	3/4	Chord	4/4	7	1	1/4	1/4	1	11												
1	0	0	0	1.0	0	3/4	Chord	4/4	7	2	1/4	1/4	1	12												
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	13	A-	-selb'	er	für	ist	Va-						
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	14	-dams	Gift	uns	uns	der	-ters						
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	15	Fall	ist	denn	ist	Weg,	Rat						
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	16	ist	auf	sein	anz	das	un						
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	17												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	18												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	19												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	20												
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	21												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	22												
