mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	51										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	52										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	53										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	54										
3	2	5	5	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	55										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	56										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	57										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	58										
4	3	9	9	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	59	Mar-									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	60										
4	3	10	10	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	61	-ter									
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	62	al-							5		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	63								5		
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	64										
4	3	25/2	25/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
4	3	51/4	51/4	0.0	15/16	15/16	Tempo	4/4	1	1	0						𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	65										
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	66										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	67										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	68								6		
4	3	23/2	23/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	69								6		
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	70										
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	71										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	73								7		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	74								7		
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	75								7		
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	76								7		
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	77										
4	3	9	9	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	78										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	79										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	80								8		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	81								8		
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	82										
4	3	9	9	1.5	0	0	Chord	4/4	4	2	3/8	1/4	3/2	83										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	84										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	85										
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	86										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	87										
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
5	4	13	13	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	88	-le:									
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	89	des									
