mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	229										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	230								26		
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	231								26		
10	9	36	36	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	232								26		
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	233										
11	10	37	37	4.0	0	0	Chord	4/4	1	1	1	1	1	234	-leis.									
11	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=51	51.0	𝅘𝅥	51.0	0.0			
11	10	77/2	77/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=49	49.0	𝅘𝅥	49.0	0.0			
11	10	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=48	48.0	𝅘𝅥	48.0	0.0			
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	235								23		
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	236								23		
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	237										
11	10	39	39	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	238										
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	239								24		
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	240								24		
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	241										
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	242										
11	10	37	37	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	243								27		
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	244										
11	10	37	37	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	245								28		
11	10	39	39	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	246										
12	11	41	41	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
12	11	41	41	0.0	0	0	Dynamic	4/4	1	1	0					f								
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	247	Wär'									
12	11	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	248	er									
12	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	249	nicht									
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	250	er-									
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	251										
12	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	252										
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	253										
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	254										
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	255										
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	256										
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	257										
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	258										
12	11	41	41	0.0	0	0	Dynamic	4/4	2	1	0					f								
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	259										
12	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	260										
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	261										
12	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	262										
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	263										
12	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	264										
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	265										
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	266										
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	267										
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	268										
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	269										
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	270										
12	11	41	41	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	271										
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	272										
12	11	42	42	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	273										
12	11	43	43	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	274										
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	275										
12	11	44	44	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	276										
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	277										
13	12	45	45	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	278	-stan-							29		
13	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	279										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	280	-den,									
13	12	48	48	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	281	so									
13	12	45	45	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	282										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	283										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	284										
13	12	45	45	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	285								30		
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	286										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	287										
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	288										
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	289										
13	12	45	45	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	290								31		
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	291								31		
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	292										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	293										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	294										
13	12	45	45	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	295								32		
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	296								32		
13	12	46	46	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	297										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	298										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	299										
14	13	49	49	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	300	wär'									
14	13	199/4	199/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	301										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	302	die									
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	303										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	304	Welt									
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	305										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	306	ver-									
14	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	307										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	308										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	309										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	310										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	311										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	312										
14	13	49	49	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	313								33		
14	13	99/2	99/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	314										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	315										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	316										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	317										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	318										
14	13	49	49	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	319										
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	320										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	321										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	322										
14	13	52	52	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	323										
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	324										
14	13	49	49	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	325										
14	13	50	50	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	326										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	327										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	328										
14	13	52	52	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	329										
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	330										
15	14	53	53	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	331	-gan-							34		
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	332								34		
15	14	54	54	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	333										
15	14	109/2	109/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0			
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	334	-gen:									
15	14	56	56	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
15	14	56	56	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	335	seit									
15	14	53	53	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	336								35		
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	337										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	338										
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	339										
15	14	53	53	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	340								36		
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	341										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	342										
15	14	56	56	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	343										
15	14	53	53	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	344								37		
15	14	54	54	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	345										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	346										
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	347										
15	14	53	53	0.0	0	0	Dynamic	4/4	3	1	0					f								
15	14	53	53	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	348										
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	349										
15	14	53	53	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	350										
15	14	54	54	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	351										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	352										
15	14	56	56	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	353										
16	15	57	57	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	354	dass									
16	15	58	58	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	355	er									
16	15	117/2	117/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	356	nun									
16	15	60	60	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	357	er-									
16	15	57	57	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	358										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	359										
16	15	58	58	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	360										
16	15	59	59	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	361								38		
16	15	119/2	119/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	362										
16	15	121/2	121/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	363										
16	15	243/4	243/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	364										
16	15	57	57	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	365										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	366										
16	15	58	58	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	367										
16	15	59	59	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	368										
16	15	239/4	239/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	369										
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	370										
16	15	57	57	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	371										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	372										
16	15	58	58	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	373										
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	374										
16	15	59	59	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	375										
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	376										
16	15	57	57	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	377										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	378										
16	15	58	58	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	379										
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	380										
16	15	59	59	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	381										
16	15	60	60	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	382										
17	16	61	61	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	383	-stan-									
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	384	-den									
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	385	ist,									
17	16	64	64	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
17	16	64	64	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	386	so									
17	16	61	61	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	387										
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	388										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	389										
17	16	64	64	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	390										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	391										
17	16	61	61	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	392										
17	16	62	62	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	393										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	394										
17	16	64	64	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	395										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	396										
17	16	61	61	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	397										
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	398										
17	16	62	62	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	399										
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	400										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	401										
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	402										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	403										
17	16	61	61	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	404										
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	405										
17	16	62	62	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	406										
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	407										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	408										
17	16	64	64	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	409										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	410										
18	17	65	65	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
18	17	65	65	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	411	lo-									
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	412										
18	17	66	66	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	413	-ben									
18	17	267/4	267/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	414										
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	415	wir									
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	416	den									
18	17	65	65	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	417										
18	17	66	66	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	418										
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	419										
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	420										
18	17	65	65	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	421										
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	422										
18	17	66	66	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	423										
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	424										
18	17	67	67	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	425										
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	426										
18	17	68	68	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	427										
18	17	65	65	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	428										
18	17	67	67	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	429										
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	430										
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	431										
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	432										
18	17	65	65	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	433										
18	17	67	67	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	434										
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	435										
18	17	68	68	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	436										
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	437										
19	18	69	69	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=59.15	59.0	𝅘𝅥	59.15	0.0			
19	18	69	69	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	438	Her-									
19	18	70	70	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=54.5	54.0	𝅘𝅥	54.5	0.0			
19	18	70	70	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	439	-ren									
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	440	Christ,									
19	18	69	69	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	441								39		
19	18	139/2	139/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	442										
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	443										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	444										
19	18	69	69	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	445										
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	446										
19	18	70	70	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	447										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	448										
19	18	69	69	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	449										
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	450										
19	18	70	70	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	451										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	452										
19	18	69	69	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	453										
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	454										
19	18	70	70	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	455										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	456										
20	19	73	73	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=53.6	54.0	𝅘𝅥	53.6	0.0			
20	19	73	73	0.0	0	0	Dynamic	4/4	1	1	0					mp								
20	19	73	73	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	457	Ky-									
20	19	74	74	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
20	19	74	74	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	458	-rie									
20	19	75	75	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0			
20	19	75	75	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	459	e-									
20	19	151/2	151/2	0.0	5/8	5/8	Tempo	4/4	1	1	0						𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0			
20	19	73	73	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	460										
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	461										
20	19	74	74	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	462										
20	19	75	75	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	463								40		
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	464										
20	19	73	73	0.0	0	0	Dynamic	4/4	2	1	0					mp								
20	19	73	73	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	465								41		
20	19	147/2	147/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	466										
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	467										
20	19	75	75	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	468								42		
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	469								42		
20	19	76	76	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	470								42		
20	19	73	73	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	471										
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	472										
20	19	74	74	1.5	1/4	1/4	Chord	4/4	2	2	3/8	1/4	3/2	473										
20	19	151/2	151/2	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	474								43		
20	19	303/4	303/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	475								43		
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	476								43		
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	477										
20	19	73	73	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	478										
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	479										
20	19	74	74	1.5	1/4	1/4	Chord	4/4	4	2	3/8	1/4	3/2	480										
20	19	151/2	151/2	0.25	5/8	5/8	Chord	4/4	4	2	1/16	1/16	1	481										
20	19	303/4	303/4	0.25	11/16	11/16	Chord	4/4	4	2	1/16	1/16	1	482										
20	19	76	76	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	483										
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	484										
21	20	77	77	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=50.5	51.0	𝅘𝅥	50.5	0.0			
21	20	77	77	4.0	0	0	Chord	4/4	1	1	1	1	1	485	-leis!									
21	20	78	78	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=45.6	46.0	𝅘𝅥	45.6	0.0			
21	20	77	77	4.0	0	0	Chord	4/4	1	2	1	1	1	486										
21	20	77	77	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	487								42		
