mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	52												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	53												
4	3	11	11	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	54												1
4	3	45/4	45/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	55												1
4	3	23/2	23/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	56												
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	57												
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	58												
4	3	9	9	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	59												
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	60												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	61												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	62												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	63												
4	3	9	9	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	64												
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	65												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	66												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	67												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	68												
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
5	4	13	13	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	69	dir.											
5	4	13	13	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	70												
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	71												
5	4	13	13	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	72												
