mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	23/2	23/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	76									2
4	3	47/4	47/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	77									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	78									
4	3	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	79									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	80									
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81									
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84									
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	85									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	86									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	87									
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	88									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	89									
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	90									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	91									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	92									
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	93									
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	94									
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	95	aus	ins-							
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	96									
5	4	14	14	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	97	und	-ge-	ornamentTrill						3
5	4	59/4	59/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	98									3
5	4	119/8	119/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	99									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	100	ein,	-mein							
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	101	und	dich							
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	102									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	103									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	104									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	105									
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	106									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	107									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	108									
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	109									
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	110									
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	111									
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	112									
