mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75.13	75.0	𝅘𝅥	75.13	0.0	
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Sopr. I						
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	0	Welt,								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	1	a-								
1	1	0	0	0.0	0	0	StaffText	4/4	1	2	0						Sopr. II						
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	2									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	3									
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0						Alt						
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4	Welt,								
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	5	a-								
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	6	-de!								
1	1	0	0	0.0	0	0	StaffText	4/4	3	1	0						Ten.						
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	7									
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	8									
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	9									
1	1	0	0	0.0	0	0	StaffText	4/4	3	2	0						Bass						
1	1	0	0	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	10									
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	11									
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	12									
1	1	0	0	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	13									
1	1	1	1	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	14									
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	15									
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	16	-de!								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	17	ich								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18	bin								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19	dein								
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	20									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	21									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	22									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	23									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25	ich								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	26	bin								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	27	dein								
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	29									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	30									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	31									
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	32									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	33									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	34									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	35									
2	2	4	4	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	36									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	37									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	38									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	39									
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	40	mü-								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	41	-de,								
