mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0					𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0	Chris-						
1	0	0	0	1.0	0	1/2	Chord	3/4	1	2	1/4	1/4	1	1							
1	0	0	0	1.0	0	1/2	Chord	3/4	2	1	1/4	1/4	1	2							
1	0	0	0	1.0	0	1/2	Chord	3/4	2	2	1/4	1/4	1	3							
1	0	0	0	1.0	0	1/2	Chord	3/4	3	2	1/4	1/4	1	4							
2	1	1	1	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	5	-tus,						
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	6	der						
2	1	1	1	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	7							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	8							
2	1	1	1	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	9							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10							
2	1	1	1	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	11							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	12							
2	1	1	1	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	13							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	14							
3	2	4	4	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
3	2	4	4	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	15	ist						
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16	mein						
3	2	4	4	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	17							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	18							
3	2	4	4	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	19							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	20							
3	2	4	4	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	21							0
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	22							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	23							
3	2	4	4	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	24							1
3	2	5	5	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	25							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	26							
4	3	7	7	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
4	3	7	7	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	27	Le-						
4	3	8	8	0.0	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
4	3	7	7	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	28							2
4	3	17/2	17/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	29							2
4	3	35/4	35/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	30							2
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	31							
4	3	7	7	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	32							3
4	3	17/2	17/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	33							3
4	3	35/4	35/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	34							3
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	35							
4	3	7	7	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	36							4
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	37							4
4	3	8	8	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	38							
4	3	7	7	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	39							5
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	40							5
4	3	8	8	2.0	1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	41							
5	4	10	10	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	42	-ben,						
5	4	10	10	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	43							
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	44							
5	4	10	10	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	45							
5	4	10	10	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	46							
6	5	13	13	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=85.5	86.0	𝅘𝅥	85.5	0.0	
6	5	13	13	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	47	Ster-						6
7	6	16	16	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	6
7	6	16	16	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	48							6
7	6	16	16	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	49	Ster-						7
8	7	19	19	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	50							6
8	7	19	19	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	51							7
8	7	19	19	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	52	Ster-						8
9	8	22	22	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=88	88.0	𝅘𝅥	88.0	0.0	6
9	8	22	22	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	53							6
9	8	22	22	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	54							7
9	8	22	22	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	55							8
9	8	22	22	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	56	Ster						9
9	8	22	22	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	57	Ster						10
10	9	25	25	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=87	87.0	𝅘𝅥	87.0	0.0	6
10	9	25	25	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	58							6
10	9	53/2	53/2	0.0	3/8	3/8	Tempo	3/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	6
10	9	25	25	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	59							7
10	9	25	25	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	60							8
10	9	25	25	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	61							9
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	62							9
10	9	27	27	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	63							9
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	64							9
10	9	25	25	1.5	0	0	Chord	3/4	3	2	3/8	1/4	3/2	65							10
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	66							10
10	9	27	27	0.5	1/2	1/2	Chord	3/4	3	2	1/8	1/8	1	67							10
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8	1/8	1	68							10
11	10	28	28	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	6
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	69							6
