mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
1	0	0	0	0.0	0	3/4	StaffText	4/4	1	1	0						Viol. I						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0									
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	1	Weil								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	2									
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	3									
1	0	0	0	0.5	0	3/4	Chord	4/4	3	2	1/8	1/8	1	4									
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	3	2	1/8	1/8	1	5									
1	0	0	0	0.5	0	3/4	Chord	4/4	4	2	1/8	1/8	1	6									
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	2	1/8	1/8	1	7									
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11									
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12	du								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13	vom								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14	Tod								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15	er-								
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	16									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	17									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	18									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	19									
