mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	38										
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	39	-zens-	-ge-	-ten	ornamentTrill						4
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	40										4
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	41										
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	42										5
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	43										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	44										
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	45										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	46										6
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	47										6
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	48										
3	3	6	6	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	49										7
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	50										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	51										
3	3	6	6	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	52										8
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	53										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	54										
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	55	-grund	-richt't,	ihn,							
4	4	9	9	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	56										
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	57										
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	58										
4	4	9	9	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	59										
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	60	lo-	lässt's	dass							
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	61										
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	62	-ben	an	er	ornamentTrill						9
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	63			uns							9
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	64										
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	65										
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	66										
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	67										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68										
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	69										10
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	70										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	71										
5	5	12	12	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	72										11
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	73										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	74										
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	75	Gott	Nah-	geb'							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	76	mit	-rung	des							
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	77										12
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	78										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	79										
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	80										13
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	81										13
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	82										13
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	83										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	84										
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	85										14
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	86										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	87										
6	6	15	15	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	88										15
6	6	16	16	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	89										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	90										
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	91										
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	92				ornamentTrill						
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	93	un-	man-	Geis-							16
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	94										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	95	-serm	geln	-tes							
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	96										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	97										
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	98										17
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	99										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	100										
7	7	18	18	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	101										18
7	7	19	19	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	102										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	103										
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	104	Mund									
8	8	21	21	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	105		nicht;	Sinn,							
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	106										
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	107										
8	8	21	21	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	108										
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	109	wie er	Berg	dass							
9	9	26	26	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	110	sein	und	wir							
9	9	24	24	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	111										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	112										
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	113										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	114										
9	9	24	24	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	115										19
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	116										19
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	117										19
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	118										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	119										
9	9	24	24	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	120										20
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	121										20
9	9	25	25	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	122										20
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	123										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	124										
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	125	Güt	Thal,	sol-							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	126	an	die	-ches							
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	127										21
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	128										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	129										
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	130										22
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	131										22
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	132										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	133										
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	134										23
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	135										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	136										
10	10	27	27	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	137										24
10	10	28	28	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	138										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	139										
11	11	30	30	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	140	uns	macht	recht							
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	141		er	ver-							
11	11	30	30	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	142										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	143	be-									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	144										25
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	145										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	146										
11	11	30	30	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	147										26
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	148										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	149										
11	11	30	30	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	150										27
11	11	31	31	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	151										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	152										
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	153		nass,	-steh'n,							
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	154	-weist									
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	155										
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	156										
12	12	33	33	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	157										
13	13	36	36	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	158		dass	stets							28
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	159										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	160	hat	dem	nach							
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	161	so									
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	162										
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	163										29
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	164										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	165										
13	13	36	36	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	166										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	167										
13	13	36	36	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	168										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	169										
14	14	39	39	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	170	er	Vieh	sein'n							
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	171	uns	auch	Ge-							
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	172										30
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	173										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	174										
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	175										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	176										
14	14	39	39	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	177										31
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	178										31
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	179										
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	180										
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	181										
14	14	39	39	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	182										32
14	14	40	40	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	183										32
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	184										
14	14	41	41	0.5	1/2	1/2	Chord	3/4	3	2	1/8	1/8	1	185										
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8	1/8	1	186										
15	15	42	42	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	187	auch	wächst	-bo-							
15	15	44	44	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	188	ge-	sein	-ten							
15	15	42	42	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	189										
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	190										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	191										
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	192										
15	15	43	43	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	193										
15	15	42	42	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	194										33
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	195										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	196										
15	15	42	42	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	197										34
15	15	43	43	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	198										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	199										
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	200	-speist:	Grass;	geh'n,							
16	16	45	45	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	201										
16	16	45	45	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	202										
16	16	45	45	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	203										
16	16	45	45	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	204										
17	17	48	48	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	205	Wie	aus	sei-							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	206	er	der	-nen							
17	17	48	48	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	207										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	208										
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	209										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	210										
17	17	48	48	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	211										35
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	212										35
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	213										35
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	214										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	215										
17	17	48	48	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	216										36
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	217										36
17	17	49	49	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	218										36
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	219										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	220										
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	221	Thier	Er-	Na-							37
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	222										37
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	223										37
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	224										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	225	und	-den	-men							
18	18	51	51	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	226										38
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	227										38
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	228										38
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	229										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	230										
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	231										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	232										
18	18	51	51	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	233										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	234										
18	18	51	51	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	235										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	236										
19	19	54	54	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	237	Vö-	Wein	ma-							39
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	238	gel									
19	19	56	56	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	239	er-	und	-chen							
19	19	54	54	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	240										40
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	241										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	242										
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	243										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	244										
19	19	54	54	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	245										41
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	246										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	247										
19	19	54	54	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	248										42
19	19	55	55	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	249										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	250										
20	20	57	57	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	251	-nährt,	Brod	gross							
20	20	57	57	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	252										
20	20	57	57	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	253										
20	20	57	57	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	254										
20	20	57	57	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	255										
21	21	60	60	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
21	21	60	60	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	256	so	schaf-	in							
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	257	hat	-fet	Chri-							
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	258										43
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	259										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	260										
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	261										44
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	262										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	263										
21	21	60	60	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	264										45
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	265										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	266										
21	21	60	60	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	267										46
21	21	61	61	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	268										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	269										
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	270	er	Gott	-sto							47
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	271										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	272	uns	und	ohn'							
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	273										48
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	274										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	275										
22	22	63	63	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	276										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	277										
22	22	63	63	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	278										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	279										
22	22	63	63	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	280										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	281										
