mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	4	4	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	25											1
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	26											
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	27											
3	2	4	4	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	28											2
3	2	5	5	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	29											
3	2	6	6	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	30											
3	2	4	4	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	31											
3	2	6	6	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	32											
3	2	4	4	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	33											
3	2	6	6	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	34											
4	3	7	7	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=80.4	80.0	𝅘𝅥	80.4	0.0	
4	3	7	7	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	35											
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	36											
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	37											
4	3	7	7	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	38	sin-	Tha-	-schüt-	ornamentTrill							
4	3	7	7	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	39											3
4	3	8	8	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	40											
4	3	7	7	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	41											4
4	3	9	9	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	42											
4	3	7	7	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	43											5
4	3	8	8	2.0	1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	44											
4	3	7	7	1.0	0	0	Chord	3/4	4	2	1/4	1/4	1	45											
4	3	8	8	2.0	1/4	1/4	Chord	3/4	4	2	1/2	1/2	1	46											
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	47											
5	4	12	12	0.0	1/2	1/2	Tempo	3/4	1	1	0									𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	48											
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	49	-ge	-ten,	-te,	articTenutoStaccatoAbove							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	50	dem	hilf	mein								
5	4	10	10	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	51				articTenutoStaccatoBelow							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	52											
5	4	10	10	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	53				articTenutoStaccatoAbove							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	54											
5	4	10	10	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	55				articTenutoStaccatoBelow							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	56											
5	4	10	10	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	57											
5	4	12	12	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	58											
6	5	13	13	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	59											
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	60											
6	5	13	13	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	61	Schöp-	selbst	Herz								
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	62	-fer	das	sei								
6	5	13	13	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	63											
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	64											
6	5	13	13	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	65											
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	66											
6	5	13	13	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	67											
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	68											
6	5	13	13	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	69											
6	5	15	15	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	70											
7	6	16	16	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	71											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	72											
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	73	al-	Be-	dei-								6
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	74											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	75	-ler	-ste	-ne								
7	6	16	16	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	76											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	77											
7	6	16	16	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	78											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	79											
7	6	16	16	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	80											7
7	6	17	17	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	81											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	82											
7	6	16	16	1.0	0	0	Chord	3/4	4	2	1/4	1/4	1	83											
7	6	17	17	1.0	1/4	1/4	Chord	3/4	4	2	1/4	1/4	1	84											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	85											
8	7	19	19	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	86											
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	87											
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	88											
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	89											
8	7	19	19	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	90	Din-	ra-	Hüt-								
8	7	19	19	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	91											8
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	92											8
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	93											8
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	94											
8	7	19	19	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	95											9
8	7	20	20	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	96											9
8	7	21	21	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	97											
8	7	19	19	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	98											
8	7	19	19	3.0	0	0	Chord	3/4	4	2	3/4	1/2	3/2	99											
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	100											
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	101											
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	102	-ge,	-ten;	-te,	articTenutoStaccatoAbove							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103	dem	den	dein								
9	8	22	22	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	104				articTenutoStaccatoBelow							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	105											
9	8	22	22	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	106				articTenutoStaccatoAbove							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	107											
9	8	22	22	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	108				articTenutoStaccatoBelow							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	109											
9	8	22	22	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	110											
9	8	24	24	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	111											
10	9	25	25	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	112											
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	113											
10	9	25	25	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	114	Ge-	An-	Wort								
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	115	-ber	-fang,	sei								
10	9	25	25	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	116											
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	117											
10	9	25	25	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	118											
10	9	27	27	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	119											
10	9	25	25	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	120											
10	9	27	27	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	121											
10	9	25	25	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	122											
10	9	27	27	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	123											
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	124											
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	125											
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	126											
11	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	127	al-	Mitt'l	mei-								
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	128	-ler	und	-ne								
11	10	28	28	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	129											
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	130											
11	10	28	28	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	131											
11	10	30	30	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	132											
11	10	28	28	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	133											
11	10	30	30	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	134											
11	10	28	28	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	135											
11	10	30	30	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	136											
12	11	31	31	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	137											
12	11	31	31	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	138	Gü-	En-	Spei-								
12	11	31	31	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	139											10
12	11	32	32	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	140											10
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	141											10
12	11	33	33	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	142											10
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	143											
12	11	31	31	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	144											11
12	11	32	32	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	145											11
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	146											11
12	11	33	33	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	147											11
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	148											
12	11	31	31	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	149											
12	11	31	31	3.0	0	0	Chord	3/4	4	2	3/4	1/2	3/2	150											
13	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	151											
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	152											
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	153	-ter,	-de,	-se,								
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	154	dem	ach	bis								
13	12	34	34	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	155											
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	156											
13	12	34	34	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	157											
13	12	36	36	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	158											
13	12	34	34	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	159											
13	12	36	36	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	160											
13	12	34	34	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	161											
13	12	36	36	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	162											
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	163											
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	164											
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	165											
14	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	166	from-	Herr,	ich								
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	167	-men	zum	gen								
14	13	37	37	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	168											12
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	169											
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	170											
14	13	37	37	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	171											13
14	13	38	38	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	172											
14	13	39	39	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	173											
14	13	37	37	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	174											14
14	13	38	38	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	175											
14	13	39	39	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	176											
14	13	37	37	1.0	0	0	Chord	3/4	4	2	1/4	1/4	1	177											
14	13	38	38	1.0	1/4	1/4	Chord	3/4	4	2	1/4	1/4	1	178											
14	13	39	39	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	179											
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	180											
15	14	41	41	0.0	1/4	1/4	Tempo	3/4	1	1	0									𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	181											
15	14	42	42	0.0	1/2	1/2	Tempo	3/4	1	1	0									𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	182											
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	183	Men-	Be-	Him-								15
15	14	41	41	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	184											
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	185											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	186	-schen	-sten	-mel								16
15	14	40	40	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	187											17
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	188											
15	14	42	42	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	189											
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	190											
15	14	40	40	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	191											18
15	14	41	41	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	192											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	193											
15	14	40	40	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	194											19
15	14	41	41	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	195											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	196											
15	14	40	40	1.0	0	0	Chord	3/4	4	2	1/4	1/4	1	197											
15	14	41	41	1.0	1/4	1/4	Chord	3/4	4	2	1/4	1/4	1	198											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	199											
16	15	43	43	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	200											
16	15	44	44	0.0	1/4	1/4	Tempo	3/4	1	1	0									𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	201											
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	202											
16	15	45	45	0.0	1/2	1/2	Tempo	3/4	1	1	0									𝅘𝅥=66.66	67.0	𝅘𝅥	66.66	0.0	
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	203											
16	15	43	43	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	204	Hü-	wen-	rei-								
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	205											
16	15	44	44	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	206											20
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	207											
16	15	43	43	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	208											21
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	209											21
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	210											
16	15	43	43	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	211											22
16	15	45	45	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	212											
16	15	43	43	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	213											23
16	15	44	44	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	214											23
16	15	45	45	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	215											
16	15	43	43	1.0	0	0	Chord	3/4	4	2	1/4	1/4	1	216											
16	15	44	44	1.0	1/4	1/4	Chord	3/4	4	2	1/4	1/4	1	217											
16	15	45	45	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	218											
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	219											
17	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	220	-ter.	-de.	-se.								
17	16	46	46	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	221											
17	16	46	46	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	222											
17	16	46	46	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	223											
17	16	46	46	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	224											
