mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	9	59/2	59/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	203												9
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	204												
10	9	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	205												
10	9	29	29	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	206												
10	9	31	31	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	207												
10	9	29	29	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	208												
10	9	31	31	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	209												
11	10	33	33	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
11	10	33	33	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	210	dir	Du										
11	10	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	211	zu	kannst										
11	10	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0											𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
11	10	35	35	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	212	le-	ma-										
11	10	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0											𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
11	10	33	33	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	213												
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	214												
11	10	35	35	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	215												10
11	10	71/2	71/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	216												10
11	10	143/4	143/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	217												10
11	10	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	218												
11	10	33	33	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	219												
11	10	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	220												
11	10	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	221												11
11	10	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	222												11
11	10	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	223												
11	10	33	33	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	224												
11	10	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	225												
11	10	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	226												12
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	227												
11	10	33	33	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	228												
11	10	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	229												
11	10	35	35	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	230												13
11	10	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	231												
12	11	37	37	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	232	-ben,	-ssen,										
12	11	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0											𝅘𝅥=67.2	67.0	𝅘𝅥	67.2	0.0	
12	11	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	233	mein'm	dass										
12	11	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0											𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
12	11	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	234	Näch-	mir's										
12	11	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0											𝅘𝅥=65.3	65.0	𝅘𝅥	65.3	0.0	
12	11	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	235	-sten	nicht										
12	11	37	37	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	236												
12	11	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	237												
12	11	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	238												
12	11	40	40	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	239												
12	11	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	240												
12	11	37	37	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	241												
12	11	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	242												
12	11	39	39	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	243												
12	11	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	244												
12	11	40	40	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	245												
12	11	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	246												
12	11	37	37	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	247												
12	11	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	248												
12	11	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	249												
12	11	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	250												
12	11	40	40	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	251												
12	11	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	252												
12	11	37	37	1.0	0	0	Chord	4/4	2	3	1/4		1/4	1	253												
12	11	38	38	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	254												
12	11	77/2	77/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	255												
12	11	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	256												
12	11	40	40	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	257												
12	11	81/2	81/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	258												
12	11	37	37	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	259												
13	12	41	41	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
13	12	41	41	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	260	nütz	bring'										
13	12	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0											𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0	
13	12	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	261	zu	Ge-										
13	12	85/2	85/2	0.0	3/8	3/8	Tempo	4/4	1	1	0											𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
13	12	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	262	sein,	-fahr;										
13	12	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0											𝅘𝅥=64.2	64.0	𝅘𝅥	64.2	0.0	
