mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	1	4	4	1.0	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	109												
2	1	1	1	1.0	0	0	Chord	4/4	10	1	1/4	1/4	1	110												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	10	1	1/4	1/4	1	111												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	10	1	1/4	1/4	1	112												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	10	1	1/4	1/4	1	113												
2	1	1	1	1.0	0	0	Chord	4/4	11	2	1/4	1/4	1	114												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	11	2	1/4	1/4	1	115												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	11	2	1/4	1/4	1	116												
2	1	4	4	0.5	3/4	3/4	Chord	4/4	11	2	1/8	1/8	1	117												
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	11	2	1/8	1/8	1	118												
2	1	1	1	1.0	0	0	Chord	4/4	12	1	1/4	1/4	1	119												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	12	1	1/4	1/4	1	120												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	12	1	1/4	1/4	1	121												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	12	1	1/4	1/4	1	122												
2	1	1	1	0.5	0	0	Chord	4/4	13	2	1/8	1/8	1	123												
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	13	2	1/8	1/8	1	124												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	13	2	1/4	1/4	1	125												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	13	2	1/4	1/4	1	126												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	13	2	1/4	1/4	1	127												
2	1	1	1	0.5	0	0	Chord	4/4	14	2	1/8	1/8	1	128												
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	14	2	1/8	1/8	1	129												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	14	2	1/4	1/4	1	130												
2	1	3	3	1.0	1/2	1/2	Chord	4/4	14	2	1/4	1/4	1	131												
2	1	4	4	1.0	3/4	3/4	Chord	4/4	14	2	1/4	1/4	1	132												
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	133												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	134												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136												
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	137												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	138												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	139												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	140												
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	141	-treu-	man-	-her-	al-								
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	142	-er	-geln	-zig-	-le-								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	143	Hirt,	wird,	-keit	-zeit								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	144	hält	ir-	fol-	im								
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	145												
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	146												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	147												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	148												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	149												
3	2	5	5	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	150												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	151												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	152												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	153												
3	2	5	5	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	154												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	155												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	156												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	157												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	158												
3	2	5	5	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	159												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	160												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	161												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	162												
3	2	5	5	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	163												
3	2	6	6	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	164												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	165												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	166												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	167												
3	2	5	5	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	168	-treu-	man-										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	169	-er	-geln										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	170	Hirt,	wird,										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	171	hält	ir-										
3	2	5	5	1.0	0	0	Chord	4/4	6	2	1/4	1/4	1	172												
3	2	6	6	0.5	1/4	1/4	Chord	4/4	6	2	1/8	1/8	1	173												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	6	2	1/8	1/8	1	174												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	175												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	176												
3	2	5	5	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	177												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	178												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	179												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	180												
3	2	5	5	0.5	0	0	Chord	4/4	7	2	1/8	1/8	1	181												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	7	2	1/8	1/8	1	182												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	7	2	1/4	1/4	1	183												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	184												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	7	2	1/4	1/4	1	185												
3	2	5	5	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	186	-treu-	man-										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	187	-er	-geln										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	188	Hirt,	wird,										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	189	hält	ir-										
3	2	5	5	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	190												
3	2	6	6	0.5	1/4	1/4	Chord	4/4	8	2	1/8	1/8	1	191												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	8	2	1/8	1/8	1	192												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	193												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	194												
3	2	5	5	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	195												
