mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	3	1/4	1/4	1	56								
4	3	9	9	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	57	schö-							
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	58								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	59	-nen							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	60	Pa-							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	61	-ra-							
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	62								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	63								
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	64								
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	65								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	66								
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	67								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	68								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	69								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	70								
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	71								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	72								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	73								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	74								
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	75								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	76								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	77								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	78								
5	4	13	13	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	79	-deis							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	80	der							
5	4	13	13	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	81								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	82								
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	83								
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	84								
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	85								
5	4	13	13	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	86								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	87								
5	4	13	13	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	88								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	89								
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	90	Che-							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	91	-rub							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	92	steht							
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	93	nicht							
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	94								
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	95								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	96								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	97								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	98								
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	99								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	100								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	101								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	102								
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	103								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	104								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	105								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	106								
6	5	17	17	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	107								
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	108								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	109								
6	5	20	20	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	110								
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	111	mehr							
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	112	da-							
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	113								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	114	-für,							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	115	Gott							
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	116								
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	117								
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	118								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	119								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	120								
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	121								
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	122								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	123								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124								
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	125								
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	126								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	127								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	128								
7	6	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	129								
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	130								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	131								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	132								
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	133	sei							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	134	Lob,							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135	Ehr'							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136	und							
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	137								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	138								
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	139								
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	140								
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	141								
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	142								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	143								
8	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	144								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	145								
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	146								
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	147								
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	148								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	149								
8	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	150								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	151								
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	152								
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	153								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	154								
8	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	155								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	156								
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	157								
8	7	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	158								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	159								
9	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	160	Preis,							0
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	161								0
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	162								0
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	163								0
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164								
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165	Gott							
9	8	29	29	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	166								1
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	167								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	168								
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	169								2
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	170								2
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	171								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	172								
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	173								3
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	174								3
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	175								3
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	176								3
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	177								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	178								
9	8	29	29	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	179								4
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	180								4
9	8	30	30	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	181								4
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	182								4
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	183								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	184								
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	185	sei							
10	9	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	186	Lob,							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	187								
10	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	188	Ehr'							
10	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	189	und							
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	190								
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	191								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	192								
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	193								
10	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	194								
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	195								
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	196								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	197								
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	198								
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	199								
10	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	200								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	201								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	202								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	203								
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	204								
10	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	205								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	206								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	207								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	208								
10	9	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	209								
11	10	37	37	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	210	Preis.							
11	10	37	37	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	211								
11	10	37	37	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	212								
11	10	37	37	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	213								
11	10	37	37	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	214								
