mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	15/2	15/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	17									0
2	2	31/4	31/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	18									0
2	2	4	4	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	19	ü-	mich							
2	2	5	5	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	20	-ber	den							
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	21									
2	2	6	6	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	22	Tod	Geist							1
2	2	13/2	13/2	0.25		5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	23									1
2	2	27/4	27/4	0.25		11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	24									1
2	2	7	7	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	25									
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	26	und	auf-							
2	2	4	4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	27									
2	2	5	5	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	28									
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	29									
2	2	7	7	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	30									
2	2	4	4	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	31									
2	2	5	5	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	32									
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	33									
2	2	7	7	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	34									
2	2	4	4	1.0		0	0	Chord	4/4	3	2	1/4		1/4	1	35									
2	2	5	5	1.0		1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	36									
2	2	6	6	1.0		1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	37									
2	2	7	7	1.0		3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	38									
3	3	8	8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	39									
3	3	9	9	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	40	ben,	-ben							
3	3	11	11	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	41	mach'	mit							
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	42	ein-	recht							
3	3	8	8	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	43	Le-	-ge-							
3	3	9	9	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	44	-ben	-ben							
3	3	8	8	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	45									
3	3	9	9	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	46									
3	3	8	8	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	47									
3	3	9	9	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	48									
3	3	9	9	0.5		1/4	1/4	Chord	4/4	2	3	1/8		1/8	1	49									
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	3	1/8		1/8	1	50									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	51									
3	3	8	8	1.0		0	0	Chord	4/4	3	2	1/4		1/4	1	52									
3	3	9	9	0.5		1/4	1/4	Chord	4/4	3	3	1/8		1/8	1	53									
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	3	3	1/8		1/8	1	54									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	3	3	1/2		1/2	1	55									
4	4	12	12	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	56	-mal	wohl-							
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	57	mein	-ge-							
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	58									
4	4	14	14	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	59	En-	-fass-							2
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	60									2
4	4	15	15	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	61									2
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	62	mach	mit							
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	63	ein-	recht							
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	64	-mal	wohl-							
4	4	15	15	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	65	mein	-ge-							
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	66									
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	67									
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	68									
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	69									
4	4	13	13	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	70	mach	mit							3
4	4	14	14	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	71	ein-	recht							
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	72									
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	73	-mal	wohl-							
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	74	mein	-ge-							
4	4	12	12	0.5		0	0	Chord	4/4	2	3	1/8		1/8	1	75									
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	3	1/8		1/8	1	76									
4	4	13	13	1.0		1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	77	mach	mit							4
4	4	14	14	0.5		1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	78	ein-	recht							
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	79									
4	4	15	15	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	80	-mal	wohl-							
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	81	mein	-ge-							
4	4	12	12	0.5		0	0	Chord	4/4	3	3	1/8		1/8	1	82									
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	3	3	1/8		1/8	1	83									
5	5	16	16	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
5	5	16	16	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	84									
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	85	-de	-tem							
5	5	16	16	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	86	En-	-fass-							
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	87	-de	-tem							
5	5	16	16	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	88									
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	89									
5	5	16	16	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	90	En-	-fass-							
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	91									
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	92	-de	-tem							
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	93									
5	5	16	16	0.5		0	0	Chord	4/4	3	2	1/8		1/8	1	94	En-	-fass-							
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	95									
5	5	17	17	1.0		1/4	1/4	Chord	4/4	3	3	1/4		1/4	1	96									
6	6		18	2.0	1	0	1/2	Chord	4/4	1	1	1/2		1/2	1	97	gut,								
6	6		18	2.0	1	0	1/2	Chord	4/4	1	2	1/2		1/2	1	98	gut,								
6	6		18	2.0	1	0	1/2	Chord	4/4	2	1	1/2		1/2	1	99									
6	6		18	2.0	1	0	1/2	Chord	4/4	2	2	1/2		1/2	1	100	gut								
6	6		18	2.0	1	0	1/2	Chord	4/4	3	2	1/2		1/2	1	101	gut								
7	7	18	20	2.0	2	0	1/2	Chord	4/4	1	1	1/2		1/2	1	102		Mut!							
7	7	18	20	2.0	2	0	1/2	Chord	4/4	1	2	1/2		1/2	1	103		Mut!							
7	7	18	20	2.0	2	0	1/2	Chord	4/4	2	1	1/2		1/2	1	104									
7	7	18	20	2.0	2	0	1/2	Chord	4/4	2	2	1/2		1/2	1	105		Mut!							
7	7	18	20	1.5	2	0	1/2	Chord	4/4	2	3	3/8		1/4	3/2	106									
7	7	39/2	43/2	0.5	2	3/8	7/8	Chord	4/4	2	3	1/8		1/8	1	107									
7	7	18	20	1.5	2	0	1/2	Chord	4/4	3	3	3/8		1/4	3/2	108									
7	7	39/2	43/2	0.5	2	3/8	7/8	Chord	4/4	3	3	1/8		1/8	1	109									
8	8	20	22	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
8	8	21	23	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	110	Hilf,								
8	8	43/2	47/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	111	dass								
8	8	22	24	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	112	ich								
8	8	23	25	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	113	ein								
8	8	21	23	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	114									
8	8	43/2	47/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	115									
8	8	22	24	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	116									
8	8	23	25	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	117									
8	8	47/2	51/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	118									
8	8	23	25	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	119									
8	8	47/2	51/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	120									
8	8	23	25	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	121	Hilf,								
8	8	47/2	51/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	122	dass								
8	8	20	22	1.0		0	0	Chord	4/4	2	3	1/4		1/4	1	123									
8	8	21	23	1.0		1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	124									
8	8	22	24	1.0		1/2	1/2	Chord	4/4	2	3	1/4		1/4	1	125									
8	8	23	25	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	126	Hilf,								
8	8	47/2	51/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	127	dass								
8	8	20	22	1.0		0	0	Chord	4/4	3	3	1/4		1/4	1	128									
8	8	21	23	1.0		1/4	1/4	Chord	4/4	3	3	1/4		1/4	1	129									
8	8	22	24	1.0		1/2	1/2	Chord	4/4	3	3	1/4		1/4	1	130									
9	9	24	26	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	131	ehr-								
9	9	51/2	55/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	132	-lich								
9	9	26	28	0.0		1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	133									
9	9	26	28	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	134	Grab								
9	9	24	26	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	135									
9	9	49/2	53/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	136									
9	9	25	27	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	137									
9	9	51/2	55/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	138									
9	9	26	28	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	139									
9	9	24	26	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	140									
9	9	49/2	53/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	141									
9	9	25	27	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	142									
9	9	51/2	55/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	143									
9	9	26	28	0.0		1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	144									
9	9	26	28	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	145									
9	9	24	26	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	146	ich								
9	9	49/2	53/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	147	ein								
9	9	25	27	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	148	ehr-								
9	9	51/2	55/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	149	-lich								
9	9	26	28	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	150	Grab								
9	9	27	29	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	151	ne-								
9	9	55/2	59/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	152	-ben								
9	9	24	26	0.5		0	0	Chord	4/4	3	2	1/8		1/8	1	153	ich								
9	9	49/2	53/2	0.5		1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	154	ein								
9	9	25	27	0.5		1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	155	ehr-								
9	9	51/2	55/2	0.5		3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	156	-lich								
9	9	26	28	1.0		1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	157	Grab								
9	9	27	29	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	158	ne-								
9	9	55/2	59/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	159	-ben								
10	10	29	31	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	160	ne-								
10	10	59/2	63/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	161	-ben								
10	10	30	32	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	162	from-								
10	10	31	33	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	163	-men								
10	10	29	31	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	164									
10	10	59/2	63/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	165									
10	10	30	32	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	166									
10	10	31	33	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	167									
10	10	29	31	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	168									
10	10	59/2	63/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	169									
10	10	30	32	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	170									
10	10	31	33	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	171									
10	10	28	30	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	172	from-								
10	10	31	33	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	173	-men								
10	10	63/2	67/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	174									
10	10	28	30	3.0		0	0	Chord	4/4	3	2	3/4		1/2	3/2	175	from-								
10	10	31	33	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	176	-men								
10	10	63/2	67/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	177									
11	11	32	34	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	178	Chris-								
11	11	33	35	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	179	-ten								
11	11	34	36	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	180	hab',								
11	11	35	37	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	181	und								
11	11	71/2	75/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	182	auch								
11	11	32	34	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	183									
11	11	33	35	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	184									
11	11	34	36	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	185									
11	11	32	34	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	186									
11	11	65/2	69/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	187									
11	11	33	35	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	188									
11	11	34	36	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	189									
11	11	32	34	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	190									
11	11	33	35	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	191									
11	11	34	36	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	192									
11	11	34	36	1.5		1/2	1/2	Chord	4/4	2	3	3/8		1/4	3/2	193									
11	11	71/2	75/2	0.5		7/8	7/8	Chord	4/4	2	3	1/8		1/8	1	194									
11	11	32	34	1.0		0	0	Chord	4/4	3	2	1/4		1/4	1	195									
11	11	33	35	1.0		1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	196									
11	11	34	36	1.5		1/2	1/2	Chord	4/4	3	3	3/8		1/4	3/2	197									
11	11	71/2	75/2	0.5		7/8	7/8	Chord	4/4	3	3	1/8		1/8	1	198									
12	12	36	38	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	199	end-								
12	12	75/2	79/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	200	-lich								
12	12	38	40	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	201	in								
12	12	39	41	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	202	der								
12	12	37	39	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	203	und								
12	12	39	41	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	204	auch								
12	12	37	39	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	205									
12	12	75/2	79/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	206									
12	12	38	40	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	207									
12	12	39	41	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	208									
12	12	37	39	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	209	und								
12	12	75/2	79/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	210	auch								
12	12	38	40	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	211	end-								
12	12	77/2	81/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	212									
12	12	39	41	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	213	-lich								
12	12	79/2	83/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	214									
12	12	36	38	1.0		0	0	Chord	4/4	2	3	1/4		1/4	1	215									
12	12	37	39	0.5		1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	216	und								
12	12	75/2	79/2	0.5		3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	217	auch								
12	12	38	40	0.5		1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	218	end-								
12	12	77/2	81/2	0.5		5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	219									
12	12	39	41	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	220	-lich								
12	12	79/2	83/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	221									
12	12	36	38	1.0		0	0	Chord	4/4	3	3	1/4		1/4	1	222									
13	13	40	42	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	223	Er-								5
13	13	41	43	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	224									5
13	13	43	45	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	225									
13	13	40	42	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	226	end-								
13	13	81/2	85/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	227	-lich								
13	13	41	43	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	228	in								
13	13	83/2	87/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	229	der								
13	13	42	44	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	230	Er-								
13	13	40	42	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	231									
13	13	41	43	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	232									
13	13	42	44	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	233									
13	13	40	42	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	234	in								
13	13	81/2	85/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	235									
13	13	41	43	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	236	der								
13	13	42	44	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	237	Er-								
13	13	40	42	0.5		0	0	Chord	4/4	3	2	1/8		1/8	1	238	in								
13	13	81/2	85/2	0.5		1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	239									
13	13	41	43	1.0		1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	240	der								
13	13	42	44	2.0		1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	241	Er-								
14	14	44	46	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	242	-de								
14	14	45	47	0.0		1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
14	14	47	49	0.0		3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
14	14	47	49	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	243	nim-								
14	14	95/2	99/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	244	-mer-								
14	14	44	46	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	245	-de								
14	14	45	47	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	246	nim-								
14	14	91/2	95/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	247	-mer-								
14	14	46	48	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	248	-mehr								
14	14	44	46	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	249									
14	14	45	47	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	250									
14	14	91/2	95/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	251									
14	14	46	48	1.5		1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	252									
14	14	95/2	99/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	253									
14	14	44	46	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	254	-de								
14	14	47	49	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	255	nim-								
14	14	95/2	99/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	256	-mer-								
14	14	44	46	2.0		0	0	Chord	4/4	3	2	1/2		1/2	1	257	-de								
14	14	47	49	0.5		3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	258	nim-								
14	14	95/2	99/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	259	-mer-								
15	15	48	50	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	260	-mehr								
15	15	49	51	0.0		1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
15	15	49	51	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	261	zu								
15	15	99/2	103/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	262									
15	15	50	52	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	263	Schan-								6
15	15	103/2	107/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	264									6
15	15	48	50	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	265									
15	15	49	51	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	266	zu								
15	15	50	52	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	267	Schan-								7
15	15	101/2	105/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	268									7
15	15	51	53	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	269									7
15	15	48	50	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	270									8
15	15	50	52	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	271									8
15	15	48	50	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	272	-mehr								
15	15	97/2	101/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	273									
15	15	49	51	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	274	zu								
15	15	50	52	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	275									9
15	15	51	53	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	276									9
