mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=67.6	68.0	𝅘𝅥	67.6	0.0	
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							Sopr.						
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Weg	Weg,								
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	mit	ihr								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	al-	eit-								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	-len	-len								
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0							Alt						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	4	Weg,	Weg,								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	5	weg	weg								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	6	mit	ihr								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	7	al-	eit-								0
1	1	5/2	5/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	8										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	9	-len	-len								
1	1	0	0	0.0	0	0	StaffText	4/4	3	1	0							Ten.						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	10	Weg,	Weg,								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	11	weg,	weg,								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	12	weg,	weg,								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	13	weg	weg,								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	14	mit	ihl								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	15	al-	eit-								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	16	-len	-len								
1	1	0	0	0.0	0	0	StaffText	4/4	4	1	0							Bass						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	17	Weg,	Weg,								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	18	weg,	weg,								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	19	weg,	weg,								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	20	weg	weg,								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	21	mit	ihr								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	22										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	23										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	24										
1	1	2	2	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	25										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	26										
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	27	Schä-	Eh-								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	28	-tzen,	-ren,								
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	29	Schä-	Eh-								1
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	30										1
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	31										1
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	33	-tzen,	-ren,								
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	34	mit	ihr								
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	35	al-	eit-								
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	36	-len	-len								
2	2	4	4	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	37	Schä-	Eh-								2
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	38										2
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	39										2
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	40										2
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	41										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	42	-tzen,	-ren,								
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	43	mit	ihr								
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	44	al-	eit-								
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	45	-len	-len								
2	2	4	4	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	46	al-	eit-								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	47	-len	-len								
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	48	Schä-	Eh-								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	49										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	50	-tzen,	-ren,								
2	2	4	4	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	51										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	52										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	53										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	54										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	55										
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	56	du	ich								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57	bist	mag								
