mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	276	rau-	-hal-	-rei-										
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	277	-ben.	-te.	-che.										
13	13	48	48	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	278													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	279													
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	280													2
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	281													2
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	282													2
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	283													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	284													
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	285													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	286													
13	13	48	48	1.0	0	0	Chord	4/4	2	3	1/4	1/4	1	287													3
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	3	1/4	1/4	1	288													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	3	1/2	1/2	1	289													
13	13	48	48	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	290													4
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	291													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	3	1/2	1/2	1	292													
