mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	169													
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	170													
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	171													
8	8	28	28	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	172													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	173													
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	174													
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	175													
8	8	28	28	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	176													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	177													
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	178													
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	179													
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	180	wenn	ü-	ich										
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	181													
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	182	der	-ber	den										
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	183	Sa-	mir	Aus-										
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	184	-tan	in	-er-										
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	185													
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	186													
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	187													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	188													
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	189													
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	190													
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	191													
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	192													
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	193													
9	9	69/2	69/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	194													
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	195													
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	196													
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	197													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	198													
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	199													
9	9	32	32	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	200													
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	201													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	202													
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	203													
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	204	al-	Gna-	-wähl-										
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	205	-len	-den	-ten										
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	206	Glau-	wal-	glei-										
10	10	36	36	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	207													
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	208													
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	209													
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	210													0
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	211													0
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	212													0
