mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	1	1	1	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	65										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	66										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	8	2	1/8	1/8	1	67										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	8	2	1/8	1/8	1	68										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	69										
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	70										
3	2	6	6	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	71										
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	72										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	73										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	74										
3	2	5	5	0.25	0	0	Chord	4/4	1	2	1/16	1/16	1	75										
3	2	21/4	21/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16	1/16	1	76										
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	77										
3	2	6	6	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	78										
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	79										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	80										
3	2	8	8	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	81										
3	2	33/4	33/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	82										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	83										
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	84	-wohl-	Sa-								
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	85	-ge-	-chen								
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	86										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	87	-than,	an,								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	88	es	will								
3	2	5	5	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	89										
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	90										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	91										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	92										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	93										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	94										
3	2	5	5	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	95										
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	96										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	97										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	98										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	99										
3	2	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	100										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	101										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	102										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	103										
3	2	6	6	0.0	1/4	1/4	StaffText	4/4	3	3	0							Cont.						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	104										
3	2	5	5	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	105										
3	2	6	6	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	106										
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	107										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	108										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	109										
3	2	5	5	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	110										
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	5	2	1/8	1/8	1	111										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	112										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	113										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	5	2	1/8	1/8	1	114										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	115										
3	2	5	5	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	116										
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	117										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	118										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	119										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	120										
3	2	6	6	0.0	1/4	1/4	StaffText	4/4	6	3	0							Cont.						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	6	3	1/4	1/4	1	121										
3	2	5	5	1.0	0	0	Chord	4/4	7	2	1/4	1/4	1	122										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	7	2	1/4	1/4	1	123										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	124										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	7	2	1/4	1/4	1	125										
3	2	6	6	0.0	1/4	1/4	StaffText	4/4	7	3	0							Cont.						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	7	3	1/4	1/4	1	126										
3	2	5	5	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	127										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	128										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	129										
3	2	6	6	0.0	1/4	1/4	StaffText	4/4	8	3	0							Cont.						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	8	3	1/4	1/4	1	130										
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	131										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	132										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	133										
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	134										
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	135										
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	136										
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	137										
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	138										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	139										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	140										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	141										
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	142	bleibt	ich								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	143	ge-	ihm								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	144	-recht	hal-								
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	145	sein	-ten								1
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	146										1
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	147										
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	148										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	149										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	150										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	151										
4	3	9	9	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	152										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	153										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	154										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	155										
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	156										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	157										
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	158										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	159										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	160										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	161										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	162										
4	3	9	9	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	163										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	164										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	165										
4	3	12	12	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	166										
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16	1/16	1	167										
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	168										
4	3	9	9	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	169										
