mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	5	1	1/8	1/8	1	232														
6	6	17	17	0.5	1/2	1/2	Chord	3/4	5	1	1/8	1/8	1	233														
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	5	1	1/8	1/8	1	234														
6	6	15	15	1.5	0	0	Chord	3/4	6	1	3/8	1/4	3/2	235	Kommt	den-	Er											
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	6	1	1/8	1/8	1	236	her	-ke	ist											
6	6	17	17	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	237	zu	da-	dein											
6	6	15	15	1.5	0	0	Chord	3/4	6	2	3/8	1/4	3/2	238														
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	6	2	1/8	1/8	1	239														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	6	2	1/4	1/4	1	240														
6	6	15	15	1.5	0	0	Chord	3/4	7	1	3/8	1/4	3/2	241														
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	7	1	1/8	1/8	1	242														
6	6	17	17	0.5	1/2	1/2	Chord	3/4	7	1	1/8	1/8	1	243														
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	7	1	1/8	1/8	1	244														
6	6	15	15	1.0	0	0	Chord	3/4	7	2	1/4	1/4	1	245														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	7	2	1/4	1/4	1	246														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	7	2	1/4	1/4	1	247														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	7	3	1/4	1/4	1	248														
6	6	15	15	1.0	0	0	Chord	3/4	8	2	1/4	1/4	1	249														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	8	2	1/4	1/4	1	250														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	8	3	1/4	1/4	1	251														
6	6	15	15	1.0	0	0	Chord	3/4	9	2	1/4	1/4	1	252														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	9	2	1/4	1/4	1	253														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	9	3	1/4	1/4	1	254														
6	6	15	15	1.5	0	0	Chord	3/4	10	1	3/8	1/4	3/2	255	Kommt	den-	Er											
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	10	1	1/8	1/8	1	256	her	-ke	ist											
6	6	17	17	1.0	1/2	1/2	Chord	3/4	10	1	1/4	1/4	1	257	zu	da-	dein											
7	7	18	18	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	258														
7	7	18	18	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	259														
7	7	18	18	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	260	hauf,													
7	7	18	18	3.0	0	0	Chord	3/4	4	2	3/4	1/2	3/2	261														
7	7	18	18	3.0	0	0	Chord	3/4	5	1	3/4	1/2	3/2	262														
7	7	18	18	3.0	0	0	Chord	3/4	6	1	3/4	1/2	3/2	263	hauf,	-ran,	Licht;											
7	7	18	18	3.0	0	0	Chord	3/4	6	2	3/4	1/2	3/2	264														
7	7	18	18	3.0	0	0	Chord	3/4	7	1	3/4	1/2	3/2	265														
7	7	18	18	3.0	0	0	Chord	3/4	7	2	3/4	1/2	3/2	266														
7	7	18	18	3.0	0	0	Chord	3/4	8	2	3/4	1/2	3/2	267														
7	7	18	18	3.0	0	0	Chord	3/4	9	2	3/4	1/2	3/2	268														
7	7	18	18	3.0	0	0	Chord	3/4	10	1	3/4	1/2	3/2	269	hauf,	-ran,	Licht;											
8	8	21	21	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	270														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	271														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	272							ornamentTrill							
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	273														
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	274														
8	8	21	21	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	275														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	276														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	277														
8	8	21	21	1.5	0	0	Chord	3/4	4	2	3/8	1/4	3/2	278														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8	1/8	1	279														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	4	2	1/4	1/4	1	280														
8	8	21	21	1.5	0	0	Chord	3/4	5	1	3/8	1/4	3/2	281														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	5	1	1/8	1/8	1	282														
8	8	23	23	0.5	1/2	1/2	Chord	3/4	5	1	1/8	1/8	1	283														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	5	1	1/8	1/8	1	284														
8	8	21	21	1.5	0	0	Chord	3/4	6	1	3/8	1/4	3/2	285	Psal-	was	See-											
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	6	1	1/8	1/8	1	286	-ter!	der	-le,											
8	8	23	23	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	287														
8	8	21	21	1.5	0	0	Chord	3/4	6	2	3/8	1/4	3/2	288														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	6	2	1/8	1/8	1	289														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	6	2	1/4	1/4	1	290	und	All-	ver-											
