mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	59											
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	60											
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	61	-gan-										0
4	4	13	13	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	62											
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=87	87.0	𝅘𝅥	87.0	0.0	
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	63	-gen,										
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	64											1
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	65											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	66											
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	67											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	68											
4	4	12	12	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	69											2
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	70											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	71											
4	4	12	12	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	72											3
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	73											
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	74											
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	75	der										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	76	ward										
5	5	18	18	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	77	für										
5	5	19	19	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	78	uns										
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	79											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	80											
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	81											
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	82											
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	83											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	84											
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	85											
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	86											
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	87											
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	88											
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	89											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	90											
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	91											
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	92											
5	5	16	16	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	93											
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	94											
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	95											
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	96											
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	97	in										
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	98											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	99	der										
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	100	Nacht										
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	101											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	102											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	103											
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	104											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	105											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	106											
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	107											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	108											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	109											
6	6	20	20	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	110											
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	111											
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	112											
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	113	als										
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	114	ein										
7	7	26	26	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=85.3	85.0	𝅘𝅥	85.3	0.0	
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	115	Dieb										
7	7	27	27	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	116	ge-										
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	117											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	118											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	119											
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	120											
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	121											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	122											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	123											
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124											
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	125											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	126											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	127											4
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	128											
7	7	24	24	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	129											
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	130											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	131											5
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	132											
8	8	28	28	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	133	-fan-										6
8	8	29	29	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	134											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	135	-gen,										
8	8	28	28	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	136											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	137											
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	138											7
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	139											7
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	140											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	141											
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	142											8
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	143											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	144											
8	8	28	28	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	145											9
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	146											
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	147											
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	148	ge-										
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	149	-führt										
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	150	vor										
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	151	gott-										
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	152											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	153											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	154											
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	155											
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	156											
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	157											
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	158											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	159											
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	160											
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	161											
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	162											
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	163											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	164											
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	165											
9	9	32	32	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	166											
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	167											
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	168											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	169											
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	170											
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	171	-lo-										
10	10	37	37	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	172	-se										
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	173	Leut'										
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	174											
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	175											
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	176											
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	177											
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	178											
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	179											
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	180											
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	181											
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	182											
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	183											
10	10	36	36	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	184											
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	185											
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	186											
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	187											
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	188	und										
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	189	fälsch-										
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	-lich										
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	ver-										
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	192											
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	193											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	194											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	195											
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	196											
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	197											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	198											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	199											
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	200											
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	201											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	202											
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	203											
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	204											
11	11	40	40	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	205											
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	206											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	207											
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	208											
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	209											
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	210	-kla-										10
12	12	45	45	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	211											
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	212	-get,										
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	213											11
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	214											11
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	215											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	216											
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	217											12
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	218											12
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	219											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	220											
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	221											13
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	222											13
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	223											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	224											
12	12	44	44	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	225											14
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	226											14
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	227											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	228											
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	229	ver-										
13	13	49	49	0.0	1/4	1/4	Dynamic	4/4	1	1	0						mp								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	230	-lacht,			articMarcatoAbove							
13	13	50	50	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mf								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	231	ver-										
13	13	51	51	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	232	-höhnt										
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	233											
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	234				articMarcatoBelow							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	235											
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	236											
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	237											
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	238											
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	239				articMarcatoAbove							
13	13	50	50	0.0	1/2	1/2	Dynamic	4/4	2	1	0						mf								
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	240											
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	241											
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	242											
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	243											
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	244											
13	13	49	49	0.0	1/4	1/4	Dynamic	4/4	2	2	0						mp								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	245				articMarcatoBelow							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	246											
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	247											
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	248											
13	13	48	48	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	249											
13	13	49	49	0.0	1/4	1/4	Dynamic	4/4	3	2	0						mp								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	250				articMarcatoAbove							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	251											
13	13	51	51	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	252											
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	253											
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	254	und										
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	255											
14	14	53	53	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	256	ver-										
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	257	-speit,										
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	258											
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	259											
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	260											
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	261											
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	262											
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	263											
14	14	52	52	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	264											
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	265											
