mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	4	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	62									
4	4	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	63									
4	4	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	64									
4	4	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	65									
4	4	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	66									
4	4	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	67									
4	4	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	68									
4	4	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	69									
4	4	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	70									
4	4	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	71									
4	4	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	72									
5	5	13	13	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
5	5	13	13	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	73	-ra-	Fin-	-ge-						
5	5	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
5	5	29/2	29/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
5	5	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74	-then,	-gern,	-ben,						
5	5	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
5	5	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	75	auf	sah	und						
5	5	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	76									0
5	5	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	77									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	78									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	79									
5	5	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	80									1
5	5	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81									1
5	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84									
5	5	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	85									2
5	5	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	86									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	87									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	88									
5	5	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	89									3
5	5	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	90									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	91									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	92									
6	6	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	93	un-	auf	den-						
6	6	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	94	-ser	gen	-ket,						
6	6	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	95	Heil	Him-	dass						
6	6	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	96	war	-mel,	ich						
6	6	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	97									
6	6	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	98									
6	6	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	99									
6	6	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	100									
6	6	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	101									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	102									
6	6	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	103									
