mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0									𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
1	0	1/2	1/2	0.0	1/8	7/8	StaffText	4/4	1	1	0								Flöte I u. II.						
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	1	1/8	1/8	1	0											
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	1											
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	2	1*. Herz	weil	4. Der	doch							
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	3											
1	0	0	0	0.5	0	3/4	Chord	4/4	4	1	1/8	1/8	1	4											
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	1	1/8	1/8	1	5											
1	0	0	0	1.0	0	3/4	Chord	4/4	4	2	1/4	1/4	1	6											
1	0	0	0	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	7											
2	1	1	1	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	8											
2	1	5/4	5/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	9											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	10											
2	1	2	2	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	11											
2	1	9/4	9/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32	1/32	1	12											
2	1	19/8	19/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32	1/32	1	13											
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	14											
2	1	3	3	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	15											
2	1	13/4	13/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	16											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	17											
2	1	4	4	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	18											
2	1	17/4	17/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32	1/32	1	19											
2	1	35/8	35/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32	1/32	1	20											
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	21											
2	1	1	1	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	22											
2	1	5/4	5/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	23											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	24											
2	1	2	2	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	25											
2	1	9/4	9/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32	1/32	1	26											
2	1	19/8	19/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32	1/32	1	27											
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	28											
2	1	3	3	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	29											
2	1	13/4	13/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	30											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	31											
2	1	4	4	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	32											
2	1	17/4	17/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32	1/32	1	33											
2	1	35/8	35/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32	1/32	1	34											
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	35											
2	1	1	1	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	36	lich	ich	Leib	auf-							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	37	thut	hir	zwar	-er-							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	38	mich	bin	in	-weckt							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	39	ver-	um-	der	soll							
2	1	1	1	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	40											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	41											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	42											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	43											
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	44											
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	45											
2	1	1	1	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	46											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	47											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	48											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	49											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	50											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	51											
2	1	1	1	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	52											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	53											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	54											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	55											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	56											
2	1	1	1	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	57											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	58											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	59											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	5	2	1/8	1/8	1	60											
