mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=87.8	88.0	𝅘𝅥	87.8	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0	1. Drum	2. Hilf	3. Er-						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	will	mir	-halt'						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	ich,	mein'	mein						
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	6									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8									
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	9									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	10									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	11									
1	1	0	0	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	12									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	13									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	14									
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	15	weil	Sach'	Herz						0
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	16									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	17	ich	recht	im						
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	18									1
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	19									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	20									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	21									2
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	22									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	23									
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	24									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	25									
2	2	3	3	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	26									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	27									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	28	le-	grei-	Glau-						3
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	29									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30	-be	-fen	-ben						
3	3	6	6	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	31									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	32									
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	33									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	34									
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	35									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	36									
3	3	6	6	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	37									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	38									
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	39	noch,	an,	rein,						
4	4	9	9	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	40									
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	41									
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	42									
4	4	9	9	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	43									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	44	das	dass	so						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	45	Kreuz	ich	leb'						
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	46	dir	mein'n	und						
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	47									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	48									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	49									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	50									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	51									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52									
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	53									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	54									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	55									
5	5	12	12	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	56									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	57									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	58									
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	59	fröh-	Lauf	sterb'						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	60	-lich	voll-	ich						
6	6	15	15	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	61									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	62									
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	63									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	64									
6	6	15	15	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	65									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	66									
6	6	15	15	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	67									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	68									
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	69	tra-	-en-	dir						
7	7	19	19	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	70	-gen	-den	al-						
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	71									
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	72									4
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	73									
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	74									
7	7	19	19	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	75									5
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	76									
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	77									
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	78									
7	7	18	18	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	79									
7	7	19	19	2.0	1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	80									
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	81	nach;	kann,	-lein;						
8	8	21	21	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	82									
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	83									
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	84									
8	8	21	21	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	85									
9	9	24	24	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=86.7	87.0	𝅘𝅥	86.7	0.0	
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	86	mein	hilf	Je-						
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	87	Gott	mir	-su,						
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	88	mach'	auch	mein						
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	89									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	90									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	91									
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	92									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	93									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	94									
9	9	24	24	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	95									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	96									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	97									
9	9	24	24	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	98									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	99									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	100									
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	101	mich	zwin-	Trost,						6
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	102									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	103	dar-	-gen	hör'						
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	104									7
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	105									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	106									
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	107									8
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	108									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	109									
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	110									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	111									
10	10	27	27	2.0	0	0	Chord	3/4	3	2	1/2	1/2	1	112									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	113									
11	11	30	30	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=80.8	81.0	𝅘𝅥	80.8	0.0	
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	114	-zu	Fleisch	mein						
11	11	31	31	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	115	be-	und	Be-						
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	116									
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	117									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	118									9
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	119									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	120									
11	11	30	30	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	121									10
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	122									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	123									
11	11	30	30	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	124									11
11	11	31	31	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	125									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	126									
12	12	33	33	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	127	-reit,	Blut,	-gier,						
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	128									
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	129									
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	130									
12	12	33	33	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	131									
13	13	36	36	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	132	es	für	o						
13	13	37	37	0.0	1/4	1/4	Tempo	3/4	1	1	0							𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	133	dient	Sünd	mein						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	134	zum	und	Hei-						
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	135									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	136									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	137									
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	138									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	139									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	140									
13	13	36	36	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	141									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	142									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	143									
