mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	31									5
3	2	6	6	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	32									5
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	33									
3	2	4	4	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	34									
3	2	5	5	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	35									6
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	36									6
3	2	6	6	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	37									6
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	38									
3	2	4	4	1.0	0	0	Chord	3/4	4	2	1/4		1/4	1	39									
3	2	5	5	0.5	1/4	1/4	Chord	3/4	4	2	1/8		1/8	1	40									7
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	41									7
3	2	6	6	0.5	1/2	1/2	Chord	3/4	4	2	1/8		1/8	1	42									7
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	4	2	1/8		1/8	1	43									
4	3	7	7	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=83.76	84.0	𝅘𝅥	83.76	0.0	
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	44	will	Lie-							8
4	3	8	8	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=82.7	83.0	𝅘𝅥	82.7	0.0	
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	45									
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	46	ich	-der							
4	3	7	7	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	47									9
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	48									9
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	49									
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	50									
4	3	7	7	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	51									
4	3	9	9	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	52									
4	3	7	7	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	53									10
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	54									10
4	3	8	8	1.0	1/4	1/4	Chord	3/4	3	2	1/4		1/4	1	55									
4	3	9	9	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	56									
4	3	7	7	0.5	0	0	Chord	3/4	4	2	1/8		1/8	1	57									11
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	4	2	1/8		1/8	1	58									11
4	3	8	8	1.0	1/4	1/4	Chord	3/4	4	2	1/4		1/4	1	59									
4	3	9	9	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	60									
5	4	10	10	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	61	sing-	brin-	ornamentTrill						
5	4	23/2	23/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								𝅘𝅥=80.8	81.0	𝅘𝅥	80.8	0.0	
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62	-gen,	-gen,							
5	4	10	10	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	63									12
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	64									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	65									
5	4	10	10	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	66									13
5	4	23/2	23/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	67									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	68									
5	4	10	10	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	69									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	70									
5	4	10	10	2.0	0	0	Chord	3/4	4	2	1/2		1/2	1	71									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	72									
6	5	13	13	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0	
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	73	denn	ach,							
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	74	wo	gib							
6	5	15	15	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	75	ist	mir							
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	76									
6	5	14	14	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	77									
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	78									
6	5	13	13	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	79									
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	80									
6	5	14	14	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	81									
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	82									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	83									
6	5	13	13	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	84									
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	85									
6	5	14	14	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	86									
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	87									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	88									
6	5	13	13	0.5	0	0	Chord	3/4	4	2	1/8		1/8	1	89									
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	4	2	1/8		1/8	1	90									
6	5	14	14	0.5	1/4	1/4	Chord	3/4	4	2	1/8		1/8	1	91									
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	92									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	93									
7	6	16	16	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=81.99	82.0	𝅘𝅥	81.99	0.0	
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	94	doch	dei-							
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	95	ein	-nes							
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	96									
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	97	sol-	Gei-							
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	98									
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	99									
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	100									
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	101									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	102									
7	6	16	16	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	103									
7	6	17	17	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	104									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	105									
7	6	16	16	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	106									
7	6	17	17	1.0	1/4	1/4	Chord	3/4	3	2	1/4		1/4	1	107									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	108									
7	6	16	16	1.0	0	0	Chord	3/4	4	2	1/4		1/4	1	109									
7	6	17	17	1.0	1/4	1/4	Chord	3/4	4	2	1/4		1/4	1	110									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	111									
8	7	19	19	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=82.65	83.0	𝅘𝅥	82.65	0.0	
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112	-cher	-stes							
8	7	39/2	39/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								𝅘𝅥=93	93.0	𝅘𝅥	93.0	0.0	
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113									
8	7	20	20	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=89.53	90.0	𝅘𝅥	89.53	0.0	
8	7	20	20	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	114	Gott	Kraft	ornamentTrill						
8	7	41/2	41/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								𝅘𝅥=81.4	81.0	𝅘𝅥	81.4	0.0	
8	7	21	21	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
8	7	43/2	43/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115	wie	dar-							
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	116									
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	117									
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	118									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	119									
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	120									
8	7	19	19	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	121									
8	7	20	20	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	122									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	123									
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	124									
8	7	19	19	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	125									
8	7	20	20	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	126									
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	127									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	128									
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	129									
8	7	19	19	1.0	0	0	Chord	3/4	4	2	1/4		1/4	1	130									
8	7	20	20	0.5	1/4	1/4	Chord	3/4	4	2	1/8		1/8	1	131									
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	132									
8	7	21	21	0.5	1/2	1/2	Chord	3/4	4	2	1/8		1/8	1	133									
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	4	2	1/8		1/8	1	134									
9	8	22	22	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	135	du?	-zu,							
9	8	22	22	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	136									
9	8	22	22	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	137									
9	8	22	22	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	138									
9	8	22	22	2.0	0	0	Chord	3/4	4	2	1/2		1/2	1	139									
10	9	24	24	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=81.5	81.0	𝅘𝅥	81.5	0.0	
10	9	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	140	dass								
10	9	24	24	1.0	0	1/2	Chord	3/4	1	2	1/4		1/4	1	141									
10	9	24	24	1.0	0	1/2	Chord	3/4	3	1	1/4		1/4	1	142									
10	9	24	24	0.5	0	1/2	Chord	3/4	3	2	1/8		1/8	1	143									
10	9	49/2	49/2	0.5	1/8	5/8	Chord	3/4	3	2	1/8		1/8	1	144									
10	9	24	24	0.5	0	1/2	Chord	3/4	4	2	1/8		1/8	1	145									
10	9	49/2	49/2	0.5	1/8	5/8	Chord	3/4	4	2	1/8		1/8	1	146									
11	10	25	25	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=82.3	82.0	𝅘𝅥	82.3	0.0	
11	10	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	147	ich								14
11	10	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	148									
11	10	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	149	es								
11	10	25	25	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	150									
11	10	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	151									
11	10	25	25	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	152									15
11	10	26	26	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	153									
11	10	27	27	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	154									
11	10	25	25	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	155									
11	10	26	26	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	156									16
11	10	53/2	53/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	157									16
11	10	27	27	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	158									16
11	10	55/2	55/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	159									
11	10	25	25	1.0	0	0	Chord	3/4	4	2	1/4		1/4	1	160									
11	10	26	26	0.5	1/4	1/4	Chord	3/4	4	2	1/8		1/8	1	161									17
11	10	53/2	53/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	162									17
11	10	27	27	0.5	1/2	1/2	Chord	3/4	4	2	1/8		1/8	1	163									17
11	10	55/2	55/2	0.5	5/8	5/8	Chord	3/4	4	2	1/8		1/8	1	164									
12	11	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	165	thu'								
12	11	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	166	im								
12	11	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	167									
12	11	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	168	Na-								
12	11	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	169									
12	11	28	28	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	170									
12	11	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	171									
12	11	30	30	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	172									
12	11	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	173									
12	11	28	28	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	174									
12	11	59/2	59/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	175									
12	11	30	30	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	176									
12	11	28	28	1.5	0	0	Chord	3/4	3	2	3/8		1/4	3/2	177									
12	11	59/2	59/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	178									
12	11	30	30	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	179									
12	11	28	28	1.5	0	0	Chord	3/4	4	2	3/8		1/4	3/2	180									
12	11	59/2	59/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	181									
12	11	30	30	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	182									
13	12	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	183	-men								
13	12	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	184									
13	12	32	32	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	185	Je-								
13	12	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	186	-su								
13	12	31	31	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	187									
13	12	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	188									
13	12	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	189									
13	12	31	31	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	190									
13	12	63/2	63/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	191									
13	12	32	32	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	192									
13	12	33	33	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	193									
13	12	31	31	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	194									
13	12	63/2	63/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	195									
13	12	32	32	1.0	1/4	1/4	Chord	3/4	3	2	1/4		1/4	1	196									
13	12	33	33	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	197									
13	12	31	31	0.5	0	0	Chord	3/4	4	2	1/8		1/8	1	198									
13	12	63/2	63/2	0.5	1/8	1/8	Chord	3/4	4	2	1/8		1/8	1	199									
13	12	32	32	1.0	1/4	1/4	Chord	3/4	4	2	1/4		1/4	1	200									
13	12	33	33	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	201									
14	13	34	34	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	202	Christ,								
14	13	36	36	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=81.6	82.0	𝅘𝅥	81.6	0.0	
14	13	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203	so								
14	13	34	34	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	204									
14	13	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	205									
14	13	34	34	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	206									
14	13	36	36	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	207									
14	13	34	34	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	208									
14	13	36	36	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	209									
14	13	34	34	2.0	0	0	Chord	3/4	4	2	1/2		1/2	1	210									
14	13	36	36	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	211									
15	14	37	37	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
15	14	37	37	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	212									
15	14	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	213	wie								
15	14	38	38	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=81.93	82.0	𝅘𝅥	81.93	0.0	
15	14	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	214	es								18
15	14	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	215									18
15	14	39	39	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	18
15	14	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	216									18
15	14	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	217									
15	14	37	37	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	218									
15	14	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	219									19
15	14	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	220									
15	14	37	37	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	221									
15	14	39	39	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	222									
15	14	37	37	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	223									
15	14	39	39	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	224									
15	14	37	37	2.0	0	0	Chord	3/4	4	2	1/2		1/2	1	225									
15	14	39	39	1.0	1/2	1/2	Chord	3/4	4	2	1/4		1/4	1	226									
16	15	40	40	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
16	15	40	40	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	227	dir								
16	15	83/2	83/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
16	15	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	228	durch								
16	15	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	229	ihn								
16	15	40	40	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	230									
16	15	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	231									
16	15	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	232									
16	15	40	40	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	233									
16	15	83/2	83/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	234									
16	15	42	42	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	235									
16	15	40	40	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	236									
16	15	41	41	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	237									
16	15	83/2	83/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	238									
16	15	42	42	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	239									
16	15	85/2	85/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	240									
16	15	40	40	1.0	0	0	Chord	3/4	4	2	1/4		1/4	1	241									
16	15	41	41	0.5	1/4	1/4	Chord	3/4	4	2	1/8		1/8	1	242									
16	15	83/2	83/2	0.5	3/8	3/8	Chord	3/4	4	2	1/8		1/8	1	243									
16	15	42	42	0.5	1/2	1/2	Chord	3/4	4	2	1/8		1/8	1	244									
16	15	85/2	85/2	0.5	5/8	5/8	Chord	3/4	4	2	1/8		1/8	1	245									
17	16	43	43	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=77.7	78.0	𝅘𝅥	77.7	0.0	
17	16	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	246	ge-								
17	16	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	247									
17	16	44	44	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
17	16	44	44	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	248									
17	16	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	249	-fäl-								
17	16	45	45	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
