mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76.7	77.0	𝅘𝅥	76.7	0.0	
1	1	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	1. Ist	4. Ist							
1	1	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	1									
1	1	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	2									
1	1	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	3									
1	1	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4									
1	1	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	5									
2	2	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6	Gott	Gott							
2	2	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7	mein	mein							
2	2	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	8	Schild	Schutz							
2	2	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	9	und	und							
2	2	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	10									
2	2	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	11									
2	2	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	12									
2	2	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	13									
2	2	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	14									
2	2	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	15									
2	2	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16									
2	2	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17									
2	2	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18									
2	2	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19									
2	2	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	20									
2	2	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	21									
2	2	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	22									
2	2	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	23									
2	2	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	24									
2	2	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	25									
2	2	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	26									
2	2	4	4	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	27									
3	3	5	5	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
3	3	5	5	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	28	Hel-	treu-							
3	3	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	29	-fers-	-er							
3	3	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	30	-mann,	Hirt,							
3	3	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	31	was	kein							
3	3	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	32									
3	3	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	33									
3	3	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	34									
3	3	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	35									
3	3	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	36									
3	3	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37									
3	3	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	38									
3	3	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	39									
3	3	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	40									
3	3	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	41									
3	3	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	42									
3	3	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	43									
3	3	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	44									
3	3	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	45									
3	3	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	46									
3	3	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	47									
4	4	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	48	wird	Un-							
4	4	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	49	sein,	-glück							
4	4	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	50	dass	mich							
4	4	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
4	4	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	51	mir	be-							
4	4	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	52									
4	4	10	10	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	53									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	54									
4	4	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	55									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	56									
4	4	12	12	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	57									
4	4	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	58									
4	4	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	59									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	60									
4	4	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	61									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	62									
4	4	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	63									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	64									
4	4	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	65									
4	4	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	66									
4	4	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	67									
4	4	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	68									
4	4	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	69									
4	4	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	70									
4	4	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	71									
4	4	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	72									
4	4	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	73									
4	4	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	74									
5	5	13	13	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	75	scha-	-rüh-							
5	5	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
5	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	76	den	-ren							
5	5	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	77	kann?	wird;							
5	5	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
5	5	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	78	Weicht	weicht							
5	5	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	79									
5	5	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	80									
5	5	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	81									0
5	5	29/2	29/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	82									0
5	5	59/4	59/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	83									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	84									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	85									
5	5	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	86									
5	5	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	87									
5	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	88									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	89									
5	5	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	90									
5	5	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	91									
5	5	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	92									
5	5	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	93									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	94									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	95									
5	5	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	96									
5	5	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	97									
5	5	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	98									
5	5	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	99									
6	6	17	17	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	100	al-	al-							
6	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	101									
6	6	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
6	6	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	102	-le	-le							
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	103									
6	6	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
6	6	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	104	mei-	mei-							
6	6	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	105	-ne	-ne							
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	106									
6	6	17	17	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	107									
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	108									
6	6	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	109									
6	6	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	110									
6	6	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	111									
6	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	112									
6	6	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	113									
6	6	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	114									
6	6	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	115									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	116									
6	6	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	117									
6	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	118									
6	6	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	119									
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	120									
6	6	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	121									
6	6	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	122									
6	6	20	20	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	123									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	124									
6	6	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	125									
6	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	126									
6	6	18	18	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	127									
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	128									
6	6	19	19	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	129									
6	6	39/2	39/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	130									
6	6	20	20	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	131									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	132									
7	7	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
7	7	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	133	Fein-	Fein-							
7	7	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
7	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	134	-de,	-de,							
7	7	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
7	7	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	135	die	die							
7	7	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	136									1
7	7	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	137									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	138									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	139									
7	7	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	140									2
7	7	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	141									2
7	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	142									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	143									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	144									
7	7	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	145									3
7	7	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	146									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	147									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	148									
7	7	23	23	0.0	1/2	1/2	StaffText	4/4	2	3	0						Cont.						
7	7	23	23	1.0	1/2	1/2	Chord	4/4	2	3	1/4	1/4	1	149									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	2	3	1/4	1/4	1	150									
7	7	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	151									4
7	7	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	152									
7	7	23	23	0.0	1/2	1/2	StaffText	4/4	3	3	0						Cont.						
7	7	23	23	1.0	1/2	1/2	Chord	4/4	3	3	1/4	1/4	1	153									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	3	3	1/4	1/4	1	154									
8	8	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	155	ihr	ihr							
8	8	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	156	mir	mir							
8	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	157									
8	8	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
8	8	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	158	lis-	stif-							
8	8	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
8	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	159	-tig-	-tet							
8	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	160									
8	8	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	161									
8	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	162									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	163									
8	8	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	164									
8	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	165									
8	8	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	166									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	167									
8	8	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	168									
8	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	169									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	170									
8	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	171									
8	8	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	172									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	173									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	174									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	175									
8	8	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	176									
8	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	177									
8	8	25	25	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	178									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	179									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	2	3	1/4	1/4	1	180									
8	8	27	27	0.5	1/2	1/2	Chord	4/4	2	3	1/8	1/8	1	181									
8	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	3	1/8	1/8	1	182									
8	8	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	183									
8	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	184									
8	8	25	25	0.5	0	0	Chord	4/4	3	3	1/8	1/8	1	185									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	3	1/8	1/8	1	186									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	187									
