mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	0	Nun						
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	prei-						
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	-set						
1	1	0	0	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	3							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5							
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	6							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	7							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	8							
1	1	0	0	0.5		0	0	Chord	3/4	2	2	1/8	1/8	1	9							
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	10							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	11							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	12							
1	1	0	0	0.5		0	0	Chord	3/4	3	2	1/8	1/8	1	13							
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	14							
1	1	1	1	1.0		1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	15							
1	1	2	2	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	16							
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	17	al-						
2	2	4	4	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	18	-le						
2	2	3	3	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	19							
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	20							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	21							
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	22							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	23							
2	2	3	3	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	24							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	25							
2	2	3	3	1.0		0	0	Chord	3/4	3	2	1/4	1/4	1	26							
2	2	4	4	2.0		1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	27							
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	28	Got-						
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	29	-tes						
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30	Barm-						
3	3	6	6	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	31							
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	32							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	33							
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	34							
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	35							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	36							
3	3	6	6	1.5		0	0	Chord	3/4	2	2	3/8	1/4	3/2	37							
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	38							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	39							
3	3	6	6	1.5		0	0	Chord	3/4	3	2	3/8	1/4	3/2	40							
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	41							
3	3	8	8	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	42							
4	4	9	9	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	43	-her-						
4	4	11	11	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	44	-zig-						
4	4	9	9	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	45							
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	46							
4	4	9	9	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	47							
4	4	11	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	48							
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	49							
4	4	9	9	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	50							0
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	51							
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	52							
4	4	9	9	1.0		0	0	Chord	3/4	3	2	1/4	1/4	1	53							1
4	4	10	10	1.0		1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	54							
4	4	11	11	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	55							
5	5	12	12	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	56	-keit,						
5	5	12	12	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	57							
5	5	12	12	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	58							
5	5	12	12	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	59							
5	5	12	12	3.0		0	0	Chord	3/4	3	2	3/4	1/2	3/2	60							
6	6	15	15	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	61	lob'						
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	62	ihn						
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	63	mit						
6	6	15	15	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	64							
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	65							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	66							
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	67							
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	68							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	69							
6	6	15	15	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	70							
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	71							
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	72							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	73							
6	6	15	15	1.0		0	0	Chord	3/4	3	2	1/4	1/4	1	74							
6	6	16	16	0.5		1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	75							
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	76							
6	6	17	17	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	77							
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	78	Schal-						
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	79	-le						
7	7	18	18	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	80							
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	81							
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	82							
7	7	19	19	2.0		1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	83							
7	7	18	18	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	84							
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	85							
7	7	18	18	2.0		0	0	Chord	3/4	3	2	1/2	1/2	1	86							
7	7	20	20	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	87							
8	8	21	21	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	88	du						
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	89	wer-						
8	8	23	23	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	90	-the						
8	8	21	21	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	91							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	92							
8	8	23	23	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	93							
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	94							
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	95							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	96							
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	97							
8	8	21	21	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	98							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	99							
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	100							
8	8	21	21	1.0		0	0	Chord	3/4	3	2	1/4	1/4	1	101							
8	8	22	22	1.0		1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	102							
8	8	23	23	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	103							
9	9	24	24	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
9	9	24	24	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	104	Chri-						
9	9	26	26	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
9	9	26	26	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	105	-sten-						
9	9	24	24	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	106							2
9	9	25	25	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	107							2
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	108							
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	109							
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	110							
9	9	24	24	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	111							3
9	9	49/2	49/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	112							3
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	113							
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	114							
9	9	24	24	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	115							4
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	116							
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	117							
9	9	24	24	1.0		0	0	Chord	3/4	3	2	1/4	1/4	1	118							5
9	9	25	25	1.0		1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	119							
9	9	26	26	1.0		1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	120							
10	10	27	27	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	121	-heit!						
10	10	27	27	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	122							
10	10	27	27	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	123							
