mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	1	1	1	1.0		0	0	Chord	4/4	5	1	1/4	1/4	1	20	dan-								
2	1	2	2	1.0		1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	21	-ke,								
2	1	3	3	1.0		1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	22	Gott,								
2	1	4	4	0.5		3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	23	und								
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	24									
2	1	1	1	1.0		0	0	Chord	4/4	5	2	1/4	1/4	1	25									
2	1	2	2	0.5		1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	26									
2	1	5/2	5/2	0.5		3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	27									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	28									
2	1	4	4	1.0		3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	29									
2	1	1	1	1.0		0	0	Chord	4/4	6	1	1/4	1/4	1	30									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	31									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	32									
2	1	4	4	0.5		3/4	3/4	Chord	4/4	6	1	1/8	1/8	1	33									
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	6	1	1/8	1/8	1	34									
2	1	1	1	1.0		0	0	Chord	4/4	6	2	1/4	1/4	1	35									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	36									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	37									
2	1	4	4	1.0		3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	38									
2	1	1	1	1.0		0	0	Chord	4/4	7	1	1/4	1/4	1	39									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	40									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	41									
2	1	4	4	0.5		3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	42									
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	43									
2	1	1	1	1.0		0	0	Chord	4/4	8	2	1/4	1/4	1	44									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	45									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	46									
2	1	4	4	1.0		3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	47									
2	1	1	1	1.0		0	0	Chord	4/4	9	2	1/4	1/4	1	48									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	49									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	50									
2	1	4	4	1.0		3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	51									
2	1	1	1	1.0		0	0	Chord	4/4	10	2	1/4	1/4	1	52									
2	1	2	2	1.0		1/4	1/4	Chord	4/4	10	2	1/4	1/4	1	53									
2	1	3	3	1.0		1/2	1/2	Chord	4/4	10	2	1/4	1/4	1	54									
2	1	4	4	1.0		3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	55									
3	2	6	6	2.0		1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	56									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	57									
3	2	6	6	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	58									
3	2	7	7	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	59									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	60									
3	2	6	6	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	61									
3	2	7	7	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	62									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	63									
3	2	5	5	1.0		0	0	Chord	4/4	3	1	1/4	1/4	1	64									0
3	2	6	6	1.0		1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	65									0
3	2	7	7	1.0		1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	66									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	67									
3	2	5	5	1.0		0	0	Chord	4/4	4	2	1/4	1/4	1	68									1
3	2	6	6	0.5		1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	69									1
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	70									1
3	2	7	7	1.0		1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	71									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	72									
3	2	5	5	1.0		0	0	Chord	4/4	5	1	1/4	1/4	1	73	lo-								2
