mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	89								
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	90								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	91								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	92								
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	93								
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	94								
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	95								
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	96								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	97								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	98								
5	4	13	13	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	99								6
5	4	27/2	27/2	1.0	1/8	1/8	Chord	4/4	2	2	1/4		1/4	1	100								
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	101								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	102								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	103								
5	4	13	13	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	104								7
5	4	27/2	27/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4		1/4	1	105								
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	106								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	107								
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	108								
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
6	5	17	17	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	109	Le-	-ge-						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	110	-bens,	-bens,						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	111								8
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	112								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	113								
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	114								9
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	115								9
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	116								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	117								
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	118								10
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	119								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	120								
6	5	17	17	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	121								11
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	122								
6	5	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	123								
7	6	20	20	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
7	6	20	20	1.0	0	3/4	Chord	4/4	1	1	1/4		1/4	1	124		Er						
7	6	20	20	1.0	0	3/4	Chord	4/4	1	2	1/4		1/4	1	125								
7	6	20	20	1.0	0	3/4	Chord	4/4	2	1	1/4		1/4	1	126								
7	6	20	20	1.0	0	3/4	Chord	4/4	2	2	1/4		1/4	1	127								
7	6	20	20	1.0	0	3/4	Chord	4/4	3	2	1/4		1/4	1	128								
8	7	21	21	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	129		ist						
8	7	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	130		dein						
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	131								
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	132		Quell						
8	7	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	133		und						
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	134								
8	7	21	21	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	135								
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	136								
8	7	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	137								
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	138								
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	139								
8	7	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	140								
8	7	21	21	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	141								
8	7	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	142								
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	143								
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	144								
8	7	24	24	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145								
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	146								
8	7	21	21	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	147								
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	148								
8	7	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	149								
8	7	23	23	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	150								
8	7	47/2	47/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	151								
8	7	24	24	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	152								
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	153								
8	7	21	21	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	154								
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	155								
8	7	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	156								
8	7	23	23	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	157								
8	7	47/2	47/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	158								
8	7	24	24	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	159								
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	160								
9	8	25	25	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	161		dei-						
9	8	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
9	8	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	162		-ne						
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	163								
9	8	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
9	8	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	164		Son-						
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	165								
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	166		-ne,						
9	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	167								
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	168								
9	8	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	169								
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	170								
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	171								
9	8	25	25	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	172								
9	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	173								
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	174								
9	8	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	175								
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	176								
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	177								
9	8	25	25	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	178								
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	179								
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	180								
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	181								
9	8	25	25	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	182								
9	8	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	183								
9	8	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	184								
9	8	28	28	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	185								
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	186		scheint						
10	9	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	187		täg-						
10	9	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
10	9	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	188		-lich						
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	189								
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	190								
10	9	31	31	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	191								
10	9	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	192								
10	9	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	193								
10	9	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	194								
10	9	31	31	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	195								
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	196								
10	9	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	197								
10	9	31	31	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	198								
10	9	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	199								
10	9	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	200								
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	201								
10	9	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	202								
10	9	31	31	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	203								
10	9	63/2	63/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	204								
10	9	32	32	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	205								
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	206								
11	10	33	33	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	207		hell						
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	208								
11	10	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	209		zu						
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	210								
11	10	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
11	10	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	211		dei-						
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	212								
11	10	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	213		-ner						
11	10	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	214								
11	10	33	33	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	215								
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	216								
11	10	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	217								
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	218								
11	10	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	219								
11	10	36	36	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	220								12
11	10	73/2	73/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	221								12
11	10	147/4	147/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	222								
11	10	33	33	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	223								
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	224								
11	10	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	225								
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	226								
11	10	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	227								
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	228								
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	229								
11	10	33	33	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	230								
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	231								
11	10	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	232								
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	233								
11	10	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	234								
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	235								
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	236								
11	10	33	33	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	237								
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	238								
11	10	34	34	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	239								
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	240								
11	10	35	35	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	241								
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	242								
11	10	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	243								
12	11	37	37	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	244		Won-						
12	11	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	245								
12	11	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	246		-ne,						
12	11	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
12	11	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	247		gib						
12	11	37	37	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	248								
12	11	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	249								
12	11	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	250								
12	11	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	251								
12	11	37	37	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	252								
12	11	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	253								
12	11	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	254								
12	11	37	37	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	255								
12	11	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	256								
12	11	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	257								
12	11	37	37	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	258								
12	11	38	38	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	259								
12	11	40	40	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	260								
13	12	41	41	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	12	41	41	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	261								
13	12	41	41	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	262		dich						
13	12	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	263		zu-						
13	12	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	264								
13	12	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	265		-frie-						
13	12	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	266								
13	12	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
13	12	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	267		-den,						
13	12	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	268		zu-						
13	12	41	41	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	269								
13	12	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	270								
13	12	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	271								
13	12	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	272								
13	12	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	273								
13	12	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	274								
13	12	41	41	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	275								
13	12	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	276								
13	12	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	277								
