mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	2	5	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	29	Her-	-fäh-						0
4	2	6	6	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
4	2	6	6	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	30								
4	2	13/2	13/2	0.0		3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=69.863	70.0	𝅘𝅥	69.863	0.0	
4	2	7	7	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	31	-re,	-re,						
4	2	8	8	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
4	2	8	8	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	32	dass	da-						
4	2	5	5	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	33								1
4	2	11/2	11/2	1.0		1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	34								1
4	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	35								
4	2	7	7	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	36								
4	2	8	8	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	37								
4	2	5	5	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	38								2
4	2	6	6	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	39								
4	2	7	7	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	40								
4	2	8	8	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41								
4	2	5	5	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	42								3
4	2	6	6	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	43								
4	2	7	7	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	44								
4	2	8	8	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	45								
4	2	5	5	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	46								4
4	2	6	6	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	47								
4	2	7	7	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	48								
4	2	8	8	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	49								
5	3	9	9	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	50	du	-rin						
5	3	10	10	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=72.24	72.0	𝅘𝅥	72.24	0.0	
5	3	10	10	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	51	mich	ich						
5	3	11	11	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	52	hast	lag						5
5	3	12	12	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	5
5	3	12	12	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	53								5
5	3	25/2	25/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	54								5
5	3	9	9	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	55								
5	3	10	10	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	56								
5	3	11	11	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	57								6
5	3	12	12	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	58								6
5	3	9	9	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	59								
5	3	19/2	19/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	60								
5	3	10	10	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	61								
5	3	11	11	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	62								7
5	3	12	12	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	63								7
5	3	9	9	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	64								
5	3	10	10	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	65								
5	3	11	11	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	66								8
5	3	12	12	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	67								8
5	3	9	9	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	68								
5	3	10	10	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	69								
5	3	11	11	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	70								
5	3	12	12	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	71								
6	4	13	13	0.0		0	0	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
6	4	13	13	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	72								
6	4	14	14	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
6	4	14	14	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	73	be-	so						
6	4	29/2	29/2	0.0		3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=69.863	70.0	𝅘𝅥	69.863	0.0	
6	4	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74	-wahrt	hart						
6	4	13	13	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	75								6
6	4	27/2	27/2	1.0		1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	76								
6	4	29/2	29/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	77								
6	4	15	15	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	78								
6	4	13	13	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	79								
6	4	14	14	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	80								
6	4	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	81								
6	4	13	13	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	82								
6	4	14	14	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	83								
6	4	15	15	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	84								
6	4	13	13	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	85								
6	4	14	14	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	86								
6	4	15	15	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	87								
7	4		16	0.0	1	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
7	4		16	1.0	1	0	3/4	Chord	4/4	1	1	1/4	1/4	1	88	in							
7	4		16	1.0	1	0	3/4	Chord	4/4	1	2	1/4	1/4	1	89								
7	4		16	1.0	1	0	3/4	Chord	4/4	2	1	1/4	1/4	1	90								
7	4		16	1.0	1	0	3/4	Chord	4/4	2	2	1/4	1/4	1	91								
7	4		16	1.0	1	0	3/4	Chord	4/4	3	2	1/4	1/4	1	92								
8	1		17	1.0	1	0	0	Chord	4/4	1	1	1/4	1/4	1	93	die-							
8	1		18	0.0	1	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=71.75	72.0	𝅘𝅥	71.75	0.0	
8	1		18	1.0	1	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	94	-ser							
8	1		17	1.0	1	0	0	Chord	4/4	1	2	1/4	1/4	1	95								
8	1		18	1.0	1	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	96								
8	1		17	0.5	1	0	0	Chord	4/4	2	1	1/8	1/8	1	97								
8	1		35/2	0.5	1	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	98								
8	1		18	1.0	1	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	99								
8	1		17	1.0	1	0	0	Chord	4/4	2	2	1/4	1/4	1	100								
8	1		18	1.0	1	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	101								
8	1		17	1.0	1	0	0	Chord	4/4	3	2	1/4	1/4	1	102								
8	1		18	1.0	1	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	103								
9	4	16	19	0.0	2	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
9	4	16	19	1.0	2	0	3/4	Chord	4/4	1	1	1/4	1/4	1	104	mit							
9	4	16	19	0.5	2	0	3/4	Chord	4/4	1	2	1/8	1/8	1	105								
9	4	33/2	39/2	0.5	2	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	106								
9	4	16	19	0.5	2	0	3/4	Chord	4/4	2	1	1/8	1/8	1	107								
9	4	33/2	39/2	0.5	2	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	108								
9	4	16	19	1.0	2	0	3/4	Chord	4/4	2	2	1/4	1/4	1	109								
9	4	16	19	1.0	2	0	3/4	Chord	4/4	3	2	1/4	1/4	1	110								
10	5	17	20	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	111	Fin-							
10	5	18	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	112	-ster-							
10	5	19	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	113	-niss							
10	5	20	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	114	um-							
10	5	17	20	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	115								
10	5	18	21	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	116								
10	5	37/2	43/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	117								
10	5	19	22	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	118								
10	5	20	23	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	119								
10	5	41/2	47/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	120								
10	5	17	20	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	121								
10	5	35/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	122								
10	5	18	21	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	123								
10	5	37/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	124								
10	5	19	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	125								
10	5	20	23	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	126								
10	5	17	20	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	127								
10	5	18	21	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	128								
10	5	19	22	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	129								
10	5	20	23	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	130								
10	5	17	20	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	131								
10	5	18	21	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	132								
10	5	19	22	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	133								
10	5	20	23	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	134								
11	6	21	24	0.0		0	0	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
11	6	21	24	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	135	-fan-							9
11	6	43/2	49/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	136								9
11	6	22	25	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
11	6	22	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	137								
11	6	23	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	138	-gen,							
11	6	24	27	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
11	6	24	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	139	da-							
11	6	21	24	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	140								10
11	6	22	25	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	141								
11	6	23	26	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	142								
11	6	24	27	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	143								
11	6	21	24	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	144								
11	6	23	26	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	145								
11	6	24	27	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	146								
11	6	21	24	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	147								11
11	6	22	25	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	148								
11	6	23	26	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	149								
11	6	24	27	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	150								
11	6	21	24	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	151								12
11	6	22	25	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	152								
11	6	23	26	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	153								
11	6	24	27	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	154								
12	7	25	28	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	155	-zu							
12	7	26	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156	in							
12	7	27	30	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	157	gro-							
12	7	28	31	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
12	7	28	31	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	158	-sser							
12	7	25	28	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	159								
12	7	26	29	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	160								
12	7	53/2	59/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	161								
12	7	27	30	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	162								
12	7	55/2	61/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	163								
12	7	28	31	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	164								
12	7	25	28	1.5		0	0	Chord	4/4	2	1	3/8	1/4	3/2	165								
12	7	53/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	166								
12	7	27	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167								
12	7	28	31	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168								
12	7	25	28	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	169								
12	7	26	29	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	170								
12	7	53/2	59/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	171								
12	7	27	30	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	172								
12	7	28	31	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	173								
12	7	25	28	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	174								
12	7	26	29	0.5		1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	175								
12	7	53/2	59/2	0.5		3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	176								
12	7	27	30	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	177								
12	7	28	31	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	178								
13	8	29	32	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	179	Noth,							
13	8	32	35	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
13	8	32	35	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	180	da-							
13	8	29	32	3.0		0	0	Chord	4/4	1	2	3/4	1/2	3/2	181								
13	8	32	35	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	182								
13	8	29	32	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	183								
13	8	32	35	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	184								
13	8	29	32	3.0		0	0	Chord	4/4	2	2	3/4	1/2	3/2	185								
13	8	32	35	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	186								
13	8	29	32	3.0		0	0	Chord	4/4	3	2	3/4	1/2	3/2	187								
13	8	32	35	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	188								
14	9	33	36	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	189	-raus							
14	9	34	37	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	190	ich							
14	9	35	38	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	191	bin							
14	9	36	39	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	192	ent-							
14	9	33	36	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	193								
14	9	34	37	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	194								
14	9	69/2	75/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	195								
14	9	35	38	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	196								
14	9	36	39	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	197								
14	9	73/2	79/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	198								
14	9	33	36	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	199								
14	9	34	37	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	200								
14	9	35	38	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	201								
14	9	71/2	77/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	202								
14	9	36	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	203								
14	9	33	36	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	204								
14	9	34	37	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	205								
14	9	35	38	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	206								
14	9	36	39	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	207								
14	9	33	36	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	208								
14	9	34	37	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	209								
14	9	35	38	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	210								
14	9	36	39	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	211								
15	10	37	40	0.0		0	0	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
15	10	37	40	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	212	-gan-							13
15	10	38	41	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	13
15	10	38	41	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	213								13
15	10	77/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	214								
15	10	39	42	0.0		1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
15	10	39	42	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	215	-gen,							
15	10	40	43	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	216	halfst							
15	10	37	40	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	217								14
15	10	38	41	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	218								
15	10	39	42	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	219								
15	10	40	43	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	220								
15	10	37	40	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	221								15
15	10	75/2	81/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	222								15
15	10	38	41	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	223								15
15	10	77/2	83/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	224								
15	10	39	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	225								
15	10	40	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	226								
15	10	37	40	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	227								16
15	10	38	41	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	228								
15	10	39	42	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	229								
15	10	40	43	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	230								
15	10	37	40	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	231								
15	10	38	41	1.0		1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	232								
15	10	39	42	1.0		1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	233								
15	10	40	43	1.0		3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	234								
16	11	41	44	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	235	du							
16	11	42	45	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	236	mir,							
16	11	43	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	237	Her-							17
16	11	44	47	0.0		3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	17
16	11	44	47	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	238								17
16	11	89/2	95/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	239								17
16	11	41	44	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	240								
16	11	42	45	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	241								
16	11	43	46	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	242								18
16	11	44	47	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	243								18
16	11	89/2	95/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	244								18
16	11	41	44	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	245								
16	11	42	45	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	246								
16	11	85/2	91/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	247								
16	11	43	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	248								19
16	11	44	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	249								19
16	11	41	44	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	250								
16	11	42	45	2.0		1/4	1/4	Chord	4/4	2	2	1/2	1/2	1	251								
16	11	44	47	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	252								20
16	11	89/2	95/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	253								20
16	11	41	44	1.0		0	0	Chord	4/4	3	2	1/4	1/4	1	254								
16	11	42	45	2.0		1/4	1/4	Chord	4/4	3	2	1/2	1/2	1	255								
16	11	44	47	0.5		3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	256								
16	11	89/2	95/2	0.5		7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	257								
17	12	45	48	0.0		0	0	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
17	12	45	48	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	258								
17	12	46	49	0.0		1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0	
17	12	46	49	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	259	-rc							
17	12	47	50	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	260	Gott.							
17	12	45	48	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	261								18
