mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	6	2	1/8	1/8	1	54											
2	1	1	1	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	55											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	56											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	57											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	58											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	59											
2	1	1	1	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	60											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	61											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	8	1	1/8	1/8	1	62											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	8	1	1/8	1/8	1	63											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	64											
2	1	1	1	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	65											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	66											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	9	1	1/8	1/8	1	67											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8	1/8	1	68											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	9	1	1/4	1/4	1	69											
2	1	1	1	1.0	0	0	Chord	4/4	9	2	1/4	1/4	1	70											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	71											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	72											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	73											
2	1	1	1	0.5	0	0	Chord	4/4	10	1	1/8	1/8	1	74											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	10	1	1/8	1/8	1	75											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	10	1	1/4	1/4	1	76											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	10	1	1/8	1/8	1	77											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	10	1	1/8	1/8	1	78											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	10	1	1/4	1/4	1	79											
2	1	1	1	0.5	0	0	Chord	4/4	11	1	1/8	1/8	1	80											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	11	1	1/8	1/8	1	81											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	11	1	1/4	1/4	1	82											
