mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	1. Christ	der	6. So	das						
1	0	1/2	1/2	0.0	1/8	7/8	Tempo	4/4	1	1	0								𝅘𝅥=71.3	71.0	𝅘𝅥	71.3	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1										
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	2										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	3										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4										
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	5										
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	6	Christ	der								
1	0	0	0	1.0	0	3/4	Chord	4/4	4	2	1/4	1/4	1	7										
1	0	0	0	0.5	0	3/4	Chord	4/4	5	1	1/8	1/8	1	8										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	5	1	1/8	1/8	1	9										
1	0	0	0	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	10										
1	0	0	0	1.0	0	3/4	Chord	4/4	6	1	1/4	1/4	1	11	Christ	der								
1	0	0	0	1.0	0	3/4	Chord	4/4	6	2	1/4	1/4	1	12										
1	0	0	0	0.5	0	3/4	Chord	4/4	7	1	1/8	1/8	1	13										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	7	1	1/8	1/8	1	14										
1	0	0	0	1.0	0	3/4	Chord	4/4	7	2	1/4	1/4	1	15										
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	16	lag	ist	fei-	uns						
2	1	2	2	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	17	in	wie-	-ern	der						
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	18										
2	1	3	3	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=71.147	71.0	𝅘𝅥	71.147	0.0	
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	19	To-	-der	wir	Her-						
2	1	4	4	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=68.8	69.0	𝅘𝅥	68.8	0.0	
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	20	-des-	er-	das	-re						
2	1	1	1	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	21										0
2	1	3/2	3/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	22										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	23										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	24										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	25										
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	27										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	28										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	30										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	31										
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	32										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	33										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	34										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	35										1
2	1	7/2	7/2	1.0	5/8	5/8	Chord	4/4	2	2	1/4	1/4	1	36										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	37										
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	38										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	39										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	40										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	41										2
2	1	7/2	7/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4	1/4	1	42										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	43										
2	1	1	1	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	44	lag	ist								
2	1	2	2	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	45	in	wie-								
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	46										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	47	To-	-der								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	48	-des-	er-								
2	1	1	1	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	49										3
2	1	3/2	3/2	1.0	1/8	1/8	Chord	4/4	4	2	1/4	1/4	1	50										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	51										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	52										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	53										
2	1	1	1	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	54										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	55										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	56										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	57										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	58										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	59										
2	1	1	1	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	60										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	61										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	62										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	63										4
2	1	7/2	7/2	1.0	5/8	5/8	Chord	4/4	5	2	1/4	1/4	1	64										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	65										
2	1	1	1	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	66	lag	ist								
2	1	2	2	0.5	1/4	1/4	Chord	4/4	6	1	1/8	1/8	1	67	in	wie-								
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	6	1	1/8	1/8	1	68										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	69	To-	-der								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	70	-des-	er-								
2	1	1	1	0.5	0	0	Chord	4/4	6	2	1/8	1/8	1	71										5
2	1	3/2	3/2	1.0	1/8	1/8	Chord	4/4	6	2	1/4	1/4	1	72										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	6	2	1/8	1/8	1	73										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	74										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	75										
2	1	1	1	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	76										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	77										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	78										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	79										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	80										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	81										
2	1	1	1	1.0	0	0	Chord	4/4	7	2	1/4	1/4	1	82										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	7	2	1/8	1/8	1	83										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	7	2	1/8	1/8	1	84										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	7	2	1/8	1/8	1	85										6
2	1	7/2	7/2	1.0	5/8	5/8	Chord	4/4	7	2	1/4	1/4	1	86										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	7	2	1/8	1/8	1	87										
3	2	5	5	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	88	-ban-	-stan-	ho-	schei-						7
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	89			-he	-nen						
3	2	13/2	13/2	0.0	3/8	3/8	Tempo	4/4	1	1	0								𝅘𝅥=67.4	67.0	𝅘𝅥	67.4	0.0	
3	2	27/4	27/4	0.0	7/16	7/16	Tempo	4/4	1	1	0								𝅘𝅥=67.23	67.0	𝅘𝅥	67.23	0.0	
3	2	7	7	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	90	-den	-den	Fest,	läßt.						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	91	für	und	mit	Er						
3	2	5	5	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	92										8
3	2	11/2	11/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	93										8
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	94										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	95										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	96										
3	2	5	5	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	97										9
3	2	11/2	11/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	98										9
3	2	13/2	13/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	99										9
3	2	27/4	27/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	100										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	101										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	102										
3	2	5	5	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	103										10
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	104										10
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	105										10
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	106										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	107										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	108										
3	2	5	5	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	109										11
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	110										11
3	2	6	6	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	111										11
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	112										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	113										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	114										
3	2	5	5	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	115	-ban-	-stan-								12
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	116										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	117	-den	-den								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	118	für	und								
3	2	5	5	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	119										13
3	2	11/2	11/2	1.0	1/8	1/8	Chord	4/4	4	2	1/4	1/4	1	120										13
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	121										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	122										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	123										
3	2	5	5	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	124										14
