mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	28												
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	29												
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	30												
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	31												
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	32												
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33												
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	34												
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	35												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	36												
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	37												
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	38												
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	39												
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	40												
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	41												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	42												
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	43												
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	44												
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	45												
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	46	kommt	in	sich	bit-								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	47	und	der	an-	-ten								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	48	ler-	rech-	-neh-	treu-								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	49	-net	-ten	-men	-lich								
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	50												
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	51												
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	52												
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	53												
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54												
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55												
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	56												
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	57												
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58												
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	59												
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	60												
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	61												
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	62												
3	3	8	8	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	63												
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	64												
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	65												
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	66												
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	67	all-	Chri-	fremd-	für								
4	4	13	13	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	68	-zu-	-sten	-der	sie								
4	4	27/2	27/2	0.0	3/8	3/8	Tempo	4/4	1	1	0										𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0										𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	69	-mal	Zahl,	Noth,	Gott.								
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	70												
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	71												
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	72												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	73												
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	74												
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	75												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	76												
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	77												
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	78												
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	79												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	80												
4	4	12	12	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	81												
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	82												
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	83												
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	84												
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	85	die	Die										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	86	be-	be-										
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	87	-ken-	-hülf-										
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	88	-nen	-lich										
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	89												
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	90												
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	91												
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	92												0
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	93												0
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	94												
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	95												
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	96												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	97												
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	98												
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	99												
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	100												
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	101												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	102												
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	103												
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	104												
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	105												
5	5	16	16	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	106												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	107												
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	108												
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	109												
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	110												
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	111	mit	sind										
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	112	dem	mit										
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	113	Mund,	Rath,										
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	114												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	115												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	116												
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	117												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	118												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	119												
6	6	20	20	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	120												
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	121												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	122												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	123												
6	6	20	20	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	124												
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	125												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	126												
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	127												
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	128	glau-	auch,										
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	129	-ben	wo										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	130	auch	mög-										
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	131	von	-lich,										
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	132												
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	133												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	134												
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	135												
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	136												
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	137												
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	138												
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	139												
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	140												
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	141												
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	142												
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	143												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	144												
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	145												
7	7	24	24	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	146												
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	147												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	148												
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	149												
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	150	Her-	mit										
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	151	-zens-	der										
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	152	-grund,	That,										
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	153												
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	154												
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	155												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	156												
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	157												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	158												
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	159												
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	160												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	161												
8	8	28	28	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	162												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	163												
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	164												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	165												
8	8	28	28	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	166												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	167												
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	168												
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	169												
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	170	und	wer-										
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	171												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	172	be-	-den										
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173	-mü-	wie-										
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	174	-hen	-der										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	175												
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	176												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	177												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	178												
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	179												
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	180												
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	181												
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	182												
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	183												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	184												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	185												
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	186												
9	9	32	32	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	187												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	188												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	189												
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	190												
9	9	32	32	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	191												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	192												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	193												
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	194												
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	195	sich	Hülf'										
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	196	da-	em-										
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	197	-ne-	-pfan-										
10	10	36	36	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	198												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	199												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	200												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	201												1
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	202												1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	203												
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	204												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	205												
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	206												2
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	207												
10	10	36	36	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	208												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	209												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	210												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	211												3
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	212												3
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	213												
10	10	36	36	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	214												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	215												
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	216												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	217												4
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	218												4
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	219												
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	220	-ben,	-gen										
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	221	Gut's	und										
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	222												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	223	zu	Barm-										
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	224												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	225												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	226												
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	227												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	228												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	229												
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	230												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	231												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	232												
11	11	40	40	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	233												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	234												
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	235												
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	236	thun,	-her-										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	237	so	-zig-										
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	238	lang	-keit										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	239	sie	er-										
12	12	44	44	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	240												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	241												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	242												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	243												
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	244												
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	245												
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	246												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	247												
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	248												
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	249												
12	12	44	44	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	250												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	251												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	252												
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	253												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	254												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	255												
12	12	44	44	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	256												
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	257												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	258												
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	259												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	260												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	261												
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	262	le-	-lan-										
13	13	99/2	99/2	0.0	3/8	3/8	Tempo	4/4	1	1	0										𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	263	-ben.	-gen.										
13	13	48	48	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	264												5
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	265												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	266												
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	267												6
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	268												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	269												
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	270												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	271												
13	13	48	48	0.0	0	0	StaffText	4/4	2	3	0									Cont.						
13	13	48	48	1.0	0	0	Chord	4/4	2	3	1/4	1/4	1	272												7
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	3	1/4	1/4	1	273												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	274												
13	13	48	48	0.0	0	0	StaffText	4/4	3	3	0									Cont.						
13	13	48	48	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	275												8
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	276												
