mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	So	Ver-					
1	0	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	1							
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	2							
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	3							
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	4							
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	5							
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	6							
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	7	wan-	-die-					
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	8	-delt	-net					
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	9	froh	eu-					
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10	auf	-res					
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	11							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	12							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	13							
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	14							
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	15							
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19							
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	20							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	21							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	22							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	23							
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	24							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	25							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	26							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	27							
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28	Got-	Got-					
3	2	6	6	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	29	-tes	-tes					
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	30							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	31	We-	Se-					
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	32	-gen,	-gen,					
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	33							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	34							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	35							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	36							
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	37							
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	38							
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	39							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	40							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41							
3	2	5	5	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	42							
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	43							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	44							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	45							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	46							
3	2	5	5	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	47							
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	48							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	49							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	50							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	51							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	52	und	denn					
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	53	was	der					
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	54	ihr	ist					
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	55							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	56							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	57							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	58							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	59							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	60							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	61							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	62							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	63							
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	64							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	65							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	66							
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	67	thut,	al-					
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	68	das	-le					
5	4	15	15	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=73.5	74.0	𝅘𝅥	73.5	0.0
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	69	thut	Mor-					
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	70	ge-	-gen					
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	71							
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	72							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	73							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	74							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	75							
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	76							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	77							
5	4	15	15	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	78							
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	79							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	80							
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	81							
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	82							
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	83							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	84							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	85							
5	4	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	86							
5	4	14	14	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	87							
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	88							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	89							
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	90							
6	5	17	17	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	91	-treu!	neu:					
6	5	17	17	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	92							
6	5	17	17	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	93							
6	5	17	17	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	94							
6	5	17	17	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	95							
7	6	20	20	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
7	6	20	20	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	96	denn						
7	6	20	20	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	97							
7	6	20	20	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	98							
7	6	20	20	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	99							
7	6	20	20	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	100							
8	7	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	101	wel-						
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	102	-cher						
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	103	sei-						
8	7	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	104	-ne						
8	7	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	105							
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	106							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	107							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	108							
8	7	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	109							
8	7	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	110							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	111							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	112							
8	7	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	113							
8	7	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	114							
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	115							
8	7	23	23	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	116							
8	7	47/2	47/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	117							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	118							
8	7	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	119							
8	7	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	120							
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	121							
8	7	23	23	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	122							
8	7	47/2	47/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	123							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	124							
9	8	25	25	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	125	Zu-						
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	126	-ver-						
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	127	-sicht						
9	8	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	128	auf						
9	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	129							
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	130							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	131							
9	8	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	132							
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	133							
9	8	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	134							
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	135							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136							
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	137							
9	8	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	138							
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	139							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	140							
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	141							
9	8	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	142							
9	8	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	143							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	144							
9	8	28	28	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	145							
10	9	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146	Gott						
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147	setzt						
10	9	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148	den						
10	9	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	149	ver-						
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	150							
10	9	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	151							
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	152							
10	9	31	31	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	153							
10	9	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	154							
10	9	32	32	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	155							
