mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-2	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	-2	4/4	1	0						3
3	2	5	4.0	-2	4/4	1	0						4
4	3	9	4.0	-2	4/4	1	0						5
5	4	13	3.0	-2	4/4	3/4	0				line	end	1, 6
6	4	16	1.0	-2	4/4	1/4	3/4		1				7
7	5	17	4.0	-2	4/4	1	0						8
8	6	21	4.0	-2	4/4	1	0						9
9	7	25	4.0	-2	4/4	1	0						10
10	8	29	4.0	-2	4/4	1	0				line		11
11	9	33	4.0	-2	4/4	1	0						12
12	10	37	4.0	-2	4/4	1	0						13
13	11	41	4.0	-2	4/4	1	0						14
14	12	45	3.0	-2	4/4	3/4	0			end	line	lastMeasure	-1
