mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	6.0	2	3/2	3/2	0					firstMeasure	2
2	2	6	6.0	2	3/2	3/2	0						3
3	3	12	6.0	2	3/2	3/2	0						4
4	4	18	6.0	2	3/2	3/2	0						5
5	5	24	6.0	2	3/2	3/2	0				line		6
6	6	30	6.0	2	3/2	3/2	0						7
7	7	36	6.0	2	3/2	3/2	0						8
8	8	42	4.0	2	3/2	1	0					end	1, 9
9	9	46	6.0	2	3/2	3/2	0					start	10
10	10	52	6.0	2	3/2	3/2	0				line		11
11	11	58	6.0	2	3/2	3/2	0						12
12	12	64	6.0	2	3/2	3/2	0						13
13	13	70	6.0	2	3/2	3/2	0						14
14	14	76	6.0	2	3/2	3/2	0						15
15	15	82	6.0	2	3/2	3/2	0						16
16	16	88	4.0	2	3/2	1	0					end	9, -1
