mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	3	1.0	2.0
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2	1.0	2.0
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	1	1.0	2.0
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0	1.0	2.0
2	1	2	1a	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	19	2.0	2.5
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	14	2.0	2.86
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	9	2.0	2.86
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	4	2.0	2.86
2	1	2	1a	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	20	2.5	2.86
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	21	2.86	3.56
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	15	2.86	3.56
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	10	2.86	3.36
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	5	2.86	3.56
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	11	3.36	3.56
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	22	3.56	4.28
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61	C#4	4	16	3.56	4.02
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	12	3.56	4.28
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		10	70	A#4	4	6	3.56	4.02
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	17	4.02	4.28
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	7	4.02	4.28
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	23	4.28	4.74
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	18	4.28	5.14
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	13	4.28	5.14
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	8	4.28	5.14
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	24	4.74	5.14
3	2	3	2a	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	38	5.14	5.88
3	2	3	2a	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	33	5.14	5.88
3	2	3	2a	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	29	5.14	5.88
3	2	3	2a	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	25	5.14	5.88
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	39	5.88	6.62
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	34	5.88	6.62
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	30	5.88	6.62
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	26	5.88	6.62
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	40	6.62	7.32
3	2	3	2a	7	7	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59	B3	3	35	6.62	7.02
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	31	6.62	7.32
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	27	6.62	7.32
3	2	3	2a	15/2	15/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	36	7.02	7.32
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	41	7.32	8.26
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	37	7.32	8.26
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	32	7.32	8.26
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	28	7.32	8.26
4	3	4	3a	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		10	58	A#3	3	53	8.26	9.26
4	3	4	3a	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	49	8.26	9.26
4	3	4	3a	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	46	8.26	10.0
4	3	4	3a	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	42	8.26	9.26
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	50	9.26	10.0
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	54	9.26	10.0
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	43	9.26	10.0
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	55	10.0	10.72
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		10	58	A#3	3	51	10.0	10.72
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	47	10.0	10.72
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	44	10.0	10.72
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	56	10.72	11.72
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	52	10.72	11.72
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	48	10.72	11.72
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	45	10.72	11.72
5	4	5	4a	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	67	11.72	12.54
5	4	5	4a	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	73	11.72	12.54
5	4	5	4a	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	62	11.72	12.54
5	4	5	4a	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	57	11.72	12.54
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	74	12.54	13.26
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	68	12.54	13.26
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	63	12.54	13.26
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	58	12.54	13.26
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	75	13.26	14.26
5	4	5	4a	15	15	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	69	13.26	13.76
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	64	13.26	14.26
5	4	5	4a	15	15	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		6	78	F#5	5	59	13.26	13.76
5	4	5	4a	31/2	31/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	70	13.76	14.26
5	4	5	4a	31/2	31/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	60	13.76	14.26
5	4	5	4a	16	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	76	14.26	14.46
5	4	5	4a	16	16	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	71	14.26	14.46
5	4	5	4a	16	16	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	65	14.26	14.46
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	61	14.26	14.72
5	4	5	4a	33/2	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	77	14.46	14.72
5	4	5	4a	33/2	33/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	72	14.46	14.72
5	4	5	4a	33/2	33/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	66	14.46	14.72
6	5	6	5a	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	92	14.72	15.58
6	5	6	5a	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	88	14.72	15.58
6	5	6	5a	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	83	14.72	15.58
6	5	6	5a	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		1	79	G5	5	78	14.72	15.58
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4	93	15.58	16.26
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	89	15.58	16.26
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	84	15.58	16.26
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	79	15.58	16.26
6	5	6	5a	19	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	62	D4	4	94	16.26	16.76
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	90	16.26	17.02
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	85	16.26	17.02
6	5	6	5a	19	19	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		6	78	F#5	5	80	16.26	16.76
6	5	6	5a	39/2	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		7	61	C#4	4	95	16.76	17.02
6	5	6	5a	39/2	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	81	16.76	17.02
6	5	6	5a	20	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	59	B3	3	96	17.02	17.52
6	5	6	5a	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	91	17.02	17.86
6	5	6	5a	20	20	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	74	D5	5	86	17.02	17.52
6	5	6	5a	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	82	17.02	17.86
6	5	6	5a	41/2	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	97	17.52	17.86
6	5	6	5a	41/2	41/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		7	73	C#5	5	87	17.52	17.86
7	6	7	6a	21	21	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	111	17.86	18.68
7	6	7	6a	21	21	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	106	17.86	18.68
7	6	7	6a	21	21	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	101	17.86	18.68
7	6	7	6a	21	21	2.0	0	0	4/4	1	1	1/2	1/2	1		4	76	E5	5	98	17.86	19.68
7	6	7	6a	22	22	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	112	18.68	19.68
7	6	7	6a	22	22	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	107	18.68	19.68
7	6	7	6a	22	22	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	102	18.68	19.18
7	6	7	6a	45/2	45/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	103	19.18	19.68
7	6	7	6a	23	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	113	19.68	20.68
