mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	9
1	1	1	1a	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		8	56	G#3	3	6
1	1	1	1a	0	0	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	3
1	1	1	1a	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	0
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	10
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	7
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	1
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	4
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	11
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	8
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	5
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	2	2	2a	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	27
2	2	2	2a	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	22
2	2	2	2a	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	17
2	2	2	2a	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	12
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	23
2	2	2	2a	5	5	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	18
2	2	2	2a	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	13
2	2	2	2a	11/2	11/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	19
