mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4		1/4	1		6	54	F#3	3	3	1.02	2.02
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	2	1.02	2.02
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4		1/4	1		3	69	A4	4	1	1.02	2.02
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	0	1.02	2.02
2	1	2	1a	1	1	0.0	0	0	4/4	1	1	0	appoggiatura	1/8	1		0	72	C5	5	4	2.02	2.02
2	1	2	1a	1	1	2.0	0	0	4/4	2	2	1/2		1/2	1		1	55	G3	3	24	2.02	14.08
2	1	2	1a	1	1	0.5	0	0	4/4	2	1	1/8		1/8	1		2	62	D4	4	19	2.02	6.22
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4	13	2.02	8.94
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4		1/4	1		-2	70	Bb4	4	5	2.02	8.94
2	1	2	1a	3/2	3/2	1.0	1/8	1/8	4/4	2	1	1/4		1/4	1		-3	63	Eb4	4	20	6.22	9.7
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	14	8.94	14.08
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		3	69	A4	4	6	8.94	9.7
2	1	2	1a	5/2	5/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		-3	63	Eb4	4	21	9.7	11.469999999999999
2	1	2	1a	5/2	5/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	7	9.7	11.469999999999999
2	1	2	1a	11/4	11/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	22	11.469999999999999	14.08
