mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	15	0.78	1.78
1	1	1	1a	0	0	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	10	0.78	1.28
1	1	1	1a	0	0	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	4	0.78	1.28
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	0	0.78	1.78
1	1	1	1a	1/2	1/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	11	1.28	1.78
1	1	1	1a	1/2	1/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		5	71	B4	4	5	1.28	1.78
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	12	1.78	2.66
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	16	1.78	2.66
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		0	72	C5	5	6	1.78	2.66
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	1	1.78	2.66
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	56	G#3	3	17	2.66	3.48
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	13	2.66	3.48
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2	2.66	3.48
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	71	B4	4	7	2.66	3.48
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	18	3.48	3.96
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	14	3.48	4.38
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	8	3.48	3.96
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	3	3.48	4.38
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	19	3.96	4.38
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	9	3.96	4.38
2	2	2	2a	4	4	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	37	4.38	4.88
2	2	2	2a	4	4	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	31	4.38	4.88
2	2	2	2a	4	4	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	25	4.38	4.88
2	2	2	2a	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	20	4.38	5.2
2	2	2	2a	9/2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	38	4.88	5.2
