mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	4
1	0	1	0a	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	2
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	0	1	0a	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	3
2	1	2	1a	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	16
2	1	2	1a	1	1	1.5	0	0	4/4	1	2	3/8	1/4	3/2		6	66	F#4	4	10
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		10	70	A#4	4	5
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	23
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	17
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	6
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	24
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	18
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	11
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	7
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2	25
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		6	66	F#4	4	19
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4	12
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	1	2	1a	7/2	7/2	1.0	5/8	5/8	4/4	2	2	1/4	1/4	1		5	59	B3	3	26
2	1	2	1a	7/2	7/2	1.0	5/8	5/8	4/4	2	1	1/4	1/4	1		1	67	G4	4	20
2	1	2	1a	7/2	7/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		10	70	A#4	4	13
2	1	2	1a	15/4	15/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		5	71	B4	4	14
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		7	73	C#5	5	15
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	9
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		10	58	A#3	3	27
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	21
3	2	3	2a	5	5	0.5	0	0	4/4	2	2	1/8	1/8	1		5	59	B3	3	46
3	2	3	2a	5	5	0.5	0	0	4/4	2	1	1/8	1/8	1		6	66	F#4	4	38
3	2	3	2a	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	33
3	2	3	2a	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	28
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	47
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	39
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	48
3	2	3	2a	6	6	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		7	61	C#4	4	40
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	34
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	29
3	2	3	2a	25/4	25/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	41
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	49
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	42
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	35
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	50
3	2	3	2a	7	7	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	43
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	36
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	30
3	2	3	2a	15/2	15/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	44
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		9	51	D#3	3	51
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	45
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	37
3	2	3	2a	8	8	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	31
3	2	3	2a	17/2	17/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	32
4	3	4	3a	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	70
4	3	4	3a	9	9	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	64
4	3	4	3a	9	9	0.5	0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	57
4	3	4	3a	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	52
4	3	4	3a	19/2	19/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		0	60	C4	4	65
4	3	4	3a	19/2	19/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		4	64	E4	4	58
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	71
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	53
4	3	4	3a	21/2	21/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		5	59	B3	3	66
4	3	4	3a	21/2	21/2	0.25	3/8	3/8	4/4	1	2	1/16	1/16	1		9	63	D#4	4	59
4	3	4	3a	43/4	43/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	57	A3	3	67
4	3	4	3a	43/4	43/4	0.25	7/16	7/16	4/4	1	2	1/16	1/16	1		7	61	C#4	4	60
4	3	4	3a	11	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	72
4	3	4	3a	11	11	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	59	B3	3	61
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	68
4	3	4	3a	11	11	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	54
4	3	4	3a	23/2	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	73
4	3	4	3a	23/2	23/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	62
4	3	4	3a	23/2	23/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	55
4	3	4	3a	12	12	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	74
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	69
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	63
