mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	1.0	0	0	3/4	2	2	1/4	1/4	1		1	43	G2	2	6	0.3	1.2225
1	1	1	1a	0	0	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	4	0.3	1.68
1	1	1	1a	0	0	2.0	0	0	3/4	1	2	1/2	1/2	1		2	62	D4	4	2	0.3	1.68
1	1	1	1a	0	0	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	0	0.3	1.68
1	1	1	1a	1	1	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		5	47	B2	2	7	1.2225	1.68
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	8	1.68	2.1
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	F#3	3	5	1.68	2.1
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	3	1.68	2.1
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	1	1.68	2.1
2	2	2	2a	3	3	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	13	2.1	2.88
2	2	2	2a	3	3	2.0	0	0	3/4	2	2	1/2	1/2	1		1	55	G3	3	15	2.1	2.88
2	2	2	2a	3	3	2.0	0	0	3/4	1	2	1/2	1/2	1		2	62	D4	4	11	2.1	2.88
2	2	2	2a	3	3	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	9	2.1	2.88
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54	F#3	3	16	2.88	3.44
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	14	2.88	3.44
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	12	2.88	3.44
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	10	2.88	3.44
3	3	3	3a	6	6	1.0	0	0	3/4	2	2	1/4	1/4	1		7	49	C#3	3	26	3.44	3.58
3	3	3	3a	6	6	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	23	3.44	3.58
3	3	3	3a	6	6	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	20	3.44	3.58
3	3	3	3a	6	6	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	17	3.44	3.58
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	27	3.58	3.96
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	24	3.58	3.96
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	21	3.58	3.96
3	3	3	3a	7	7	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	66	F#4	4	18	3.58	3.96
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	28	3.96	4.5
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	25	3.96	4.5
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		7	61	C#4	4	22	3.96	4.5
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	19	3.96	4.5
4	4	4	4a	9	9	3.0	0	0	3/4	2	2	3/4	1/2	3/2		2	50	D3	3	32	4.5	5.66
4	4	4	4a	9	9	3.0	0	0	3/4	2	1	3/4	1/2	3/2		6	54	F#3	3	31	4.5	5.66
4	4	4	4a	9	9	3.0	0	0	3/4	1	2	3/4	1/2	3/2		3	57	A3	3	30	4.5	5.66
4	4	4	4a	9	9	3.0	0	0	3/4	1	1	3/4	1/2	3/2		2	62	D4	4	29	4.5	5.66
5	5	5	5a	12	12	2.0	0	0	3/4	2	2	1/2	1/2	1		4	52	E3	3	39	5.66	8.18
5	5	5	5a	12	12	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	37	5.66	8.18
5	5	5	5a	12	12	2.0	0	0	3/4	1	2	1/2	1/2	1		4	64	E4	4	35	5.66	8.18
5	5	5	5a	12	12	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	33	5.66	8.18
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	40	8.18	9.18
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	38	8.18	9.18
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	36	8.18	9.18
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	34	8.18	9.18
6	6	6	6a	15	15	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	47	9.18	10.18
6	6	6	6a	15	15	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	45	9.18	11.18
6	6	6	6a	15	15	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	43	9.18	11.18
6	6	6	6a	15	15	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	41	9.18	11.18
6	6	6	6a	16	16	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	48	10.18	11.18
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	49	11.18	11.9
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	46	11.18	11.9
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	44	11.18	11.9
