mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	14
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	9
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	15
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	10
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3	16
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	11
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4	6
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	17
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	7
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	18
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	12
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	3
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	19
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	13
2	2	2	2a	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	29
2	2	2	2a	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	25
2	2	2	2a	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	22
2	2	2	2a	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	20
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	30
2	2	2	2a	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	26
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	23
2	2	2	2a	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	27
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	40	E2	2	31
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	28
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	24
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	21
3	3	3	3a	8	8	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	48
3	3	3	3a	8	8	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	41
3	3	3	3a	8	8	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	36
3	3	3	3a	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	32
3	3	3	3a	17/2	17/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	42
3	3	3	3a	17/2	17/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	37
3	3	3	3a	9	9	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	49
3	3	3	3a	9	9	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	43
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	38
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	33
3	3	3	3a	19/2	19/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	50
3	3	3	3a	19/2	19/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	44
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	51
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	45
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	39
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	34
3	3	3	3a	11	11	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	46
3	3	3	3a	11	11	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	52
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	40
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	35
3	3	3	3a	23/2	23/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	53
3	3	3	3a	23/2	23/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	47
4	4	4	4a	12	12	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	62
4	4	4	4a	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	59
4	4	4	4a	12	12	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	56
4	4	4	4a	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		4	76	E5	5	54
4	4	4	4a	25/2	25/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	63
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	64
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	60
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	57
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		5	59	B3	3	65
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	61
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		5	71	B4	4	58
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		9	75	D#5	5	55
5	5	5	5a	16	16	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	79
5	5	5	5a	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	75
5	5	5	5a	16	16	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	70
5	5	5	5a	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	66
5	5	5	5a	33/2	33/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	80
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	81
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	76
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	71
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	67
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	82
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	77
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	72	C5	5	72
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78	F#5	5	68
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	83
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		9	63	D#4	4	78
5	5	5	5a	19	19	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	73
5	5	5	5a	19	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	69
5	5	5	5a	39/2	39/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	74
6	6	6	6a	20	20	4.0	0	0	4/4	2	2	1	1	1		4	52	E3	3	87
6	6	6	6a	20	20	4.0	0	0	4/4	2	1	1	1	1		5	59	B3	3	86
6	6	6	6a	20	20	4.0	0	0	4/4	1	2	1	1	1		1	67	G4	4	85
6	6	6	6a	20	20	4.0	0	0	4/4	1	1	1	1	1		4	76	E5	5	84
1	1	7	1b	24	0	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	14
1	1	7	1b	24	0	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	9
1	1	7	1b	24	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	7	1b	24	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	7	1b	25	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	15
1	1	7	1b	25	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	10
1	1	7	1b	25	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	7	1b	25	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	7	1b	26	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3	16
1	1	7	1b	26	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	11
1	1	7	1b	26	2	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4	6
1	1	7	1b	26	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	7	1b	53/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	17
1	1	7	1b	53/2	5/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	7
1	1	7	1b	27	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	18
1	1	7	1b	27	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	12
1	1	7	1b	27	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
1	1	7	1b	27	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	3
1	1	7	1b	55/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	19
1	1	7	1b	55/2	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	13
2	2	8	2b	28	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	29
2	2	8	2b	28	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	25
2	2	8	2b	28	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	22
2	2	8	2b	28	4	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	20
2	2	8	2b	29	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	30
2	2	8	2b	29	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	26
2	2	8	2b	29	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	23
2	2	8	2b	59/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	27
2	2	8	2b	30	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	40	E2	2	31
2	2	8	2b	30	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	28
