mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	1	1	1a	0	0	0.5	0	0	4/4	2	2	1/8	1/8	1		5	59	B3	3	15	0.8	1.3
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	10	0.8	1.66
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	4	0.8	1.66
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0	0.8	1.66
1	1	1	1a	1/2	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	16	1.3	1.66
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	17	1.66	2.36
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	11	1.66	2.0
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	5	1.66	2.36
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1	1.66	2.36
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	12	2.0	2.36
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		6	54	F#3	3	18	2.36	2.76
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	13	2.36	3.26
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	6	2.36	3.26
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2	2.36	3.26
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	19	2.76	3.26
