mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
3	2	3	2a	7	7	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		1	67	G4	4	37	6.48	7.82
3	2	3	2a	15/2	15/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	48	6.98	7.48
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	49	7.48	8.28
3	2	3	2a	17/2	17/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	44	7.82	8.28
3	2	3	2a	17/2	17/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		6	66	F#4	4	38	7.82	8.28
4	3	4	3a	9	9	2.0	0	0	4/4	2	2	1/2		1/2	1		4	52	E3	3	63	8.28	10.12
4	3	4	3a	9	9	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	59	8.28	10.12
4	3	4	3a	9	9	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	53	8.28	10.12
4	3	4	3a	9	9	2.0	0	0	4/4	1	2	1/2		1/2	1		4	64	E4	4	56	8.28	10.12
4	3	4	3a	11	11	1.5	1/2	1/2	4/4	2	2	3/8		1/4	3/2		4	52	E3	3	64	10.12	11.32
4	3	4	3a	11	11	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	55	G3	3	60	10.12	10.6
4	3	4	3a	11	11	1.5	1/2	1/2	4/4	1	2	3/8		1/4	3/2		1	67	G4	4	57	10.12	11.32
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	C5	5	54	10.12	11.0
4	3	4	3a	23/2	23/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	61	10.6	11.0
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	62	11.0	11.68
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	55	11.0	11.68
4	3	4	3a	25/2	25/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	65	11.32	11.68
4	3	4	3a	25/2	25/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	58	11.32	11.68
5	4	5	4a	13	13	0.5	0	0	4/4	2	2	1/8		1/8	1		0	48	C3	3	84	11.68	12.18
5	4	5	4a	13	13	0.5	0	0	4/4	2	1	1/8		1/8	1		5	59	B3	3	78	11.68	12.18
5	4	5	4a	13	13	0.5	0	0	4/4	1	2	1/8		1/8	1		4	64	E4	4	72	11.68	12.18
5	4	5	4a	13	13	1.0	0	0	4/4	1	1	1/4		1/4	1		4	76	E5	5	66	11.68	12.44
5	4	5	4a	27/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	79	12.18	12.44
5	4	5	4a	27/2	27/2	1.0	1/8	1/8	4/4	2	2	1/4		1/4	1		0	60	C4	4	85	12.18	12.94
5	4	5	4a	27/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	73	12.18	12.44
5	4	5	4a	14	14	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	80	12.44	12.94
5	4	5	4a	14	14	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4	74	12.44	12.94
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	67	12.44	13.22
5	4	5	4a	29/2	29/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	81	12.94	13.22
5	4	5	4a	29/2	29/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		5	59	B3	3	86	12.94	13.22
5	4	5	4a	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		1	67	G4	4	75	12.94	13.22
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		3	57	A3	3	87	13.22	14.14
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	60	C4	4	82	13.22	14.14
5	4	5	4a	15	15	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		6	66	F#4	4	68	13.22	13.72
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	76	13.22	14.14
5	4	5	4a	31/2	31/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	69	13.72	14.14
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	88	14.14	14.78
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	83	14.14	14.78
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	77	14.14	14.78
5	4	5	4a	16	16	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	70	14.14	14.44
5	4	5	4a	33/2	33/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	71	14.44	14.78
6	5	6	5a	17	17	1.0	0	0	4/4	2	2	1/4		1/4	1		0	48	C3	3	98	14.78	15.78
6	5	6	5a	17	17	1.0	0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	94	14.78	15.78
6	5	6	5a	17	17	1.0	0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4	91	14.78	15.78
6	5	6	5a	17	17	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	89	14.78	16.78
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		2	50	D3	3	99	15.78	16.78
6	5	6	5a	18	18	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	95	15.78	16.28
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	92	15.78	16.78
6	5	6	5a	37/2	37/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	96	16.28	16.78
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	100	16.78	18.46
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	97	16.78	18.46
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		2	62	D4	4	93	16.78	18.46
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	G4	4	90	16.78	18.46
1	0	7	5a	20	0	1.0	0	3/4	4/4	2	2	1/4		1/4	1		4	52	E3	3	3	18.46	19.46
1	0	7	5a	20	0	1.0	0	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	2	18.46	19.46
