mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	0.5	0	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	3	0.62	1.12
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	2	0.62	1.56
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	1	0.62	1.56
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0	0.62	1.56
1	0	1	0a	1/2	1/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	4	1.12	1.56
2	1	2	1a	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	19	1.56	2.2
2	1	2	1a	1	1	1.5	0	0	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	15	1.56	2.56
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	9	1.56	2.2
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	5	1.56	2.2
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	20	2.2	2.96
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	10	2.2	2.96
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	6	2.2	2.96
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		10	58	A#3	3	16	2.56	2.96
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2	21	2.96	3.36
2	1	2	1a	3	3	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	17	2.96	4.08
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	11	2.96	3.36
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	7	2.96	3.7
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	22	3.36	3.7
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	12	3.36	3.7
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		8	44	G#2	2	23	3.7	4.08
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	13	3.7	4.08
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	8	3.7	4.32
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	24	4.08	4.32
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18	4.08	4.32
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	14	4.08	4.32
3	2	3	2a	5	5	0.5	0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2	42	4.32	4.74
3	2	3	2a	5	5	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	36	4.32	4.74
3	2	3	2a	5	5	0.5	0	0	4/4	1	2	1/8	1/8	1		8	68	G#4	4	29	4.32	4.74
3	2	3	2a	5	5	1.5	0	0	4/4	1	1	3/8	1/4	3/2		7	73	C#5	5	25	4.32	5.46
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	43	4.74	4.96
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	37	4.74	4.96
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	30	4.74	4.96
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	44	4.96	5.9
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		8	56	G#3	3	38	4.96	5.46
3	2	3	2a	6	6	0.25	1/4	1/4	4/4	1	2	1/16	1/16	1		11	65	E#4	4	31	4.96	5.21
3	2	3	2a	25/4	25/4	0.25	5/16	5/16	4/4	1	2	1/16	1/16	1		9	63	D#4	4	32	5.21	5.46
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	39	5.46	5.9
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		11	65	E#4	4	33	5.46	5.9
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	26	5.46	5.9
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	42	F#2	2	45	5.9	6.768235294117647
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	40	5.9	6.768235294117647
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	34	5.9	6.768235294117647
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	27	5.9	6.768235294117647
3	2	3	2a	8	8	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	46	6.768235294117647	7.08
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	41	6.768235294117647	7.38
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	35	6.768235294117647	7.38
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	28	6.768235294117647	7.38
3	2	3	2a	17/2	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	47	7.08	7.38
4	3	4	3a	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	64	7.38	7.72
4	3	4	3a	9	9	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	60	7.38	7.72
4	3	4	3a	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	53	7.38	8.14
4	3	4	3a	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	48	7.38	8.14
4	3	4	3a	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	65	7.72	8.14
4	3	4	3a	19/2	19/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	61	7.72	8.14
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	66	8.14	8.8
4	3	4	3a	10	10	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		1	55	G3	3	62	8.14	9.58
4	3	4	3a	10	10	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	54	8.14	8.48
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	49	8.14	8.8
4	3	4	3a	21/2	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	55	8.48	8.8
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		10	46	A#2	2	67	8.8	9.58
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	56	8.8	9.58
